Organism name,Length,Benchmark ID,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum
Streptococcus hyovaginalis,459,CRW_16S_B_11929,Bacteria,Firmicutes
Streptococcus pluranimalium,461,CRW_16S_B_11930,Bacteria,Firmicutes
Streptococcus lutetiensis,427,CRW_16S_B_11931,Bacteria,Firmicutes
Streptococcus ovis,435,CRW_16S_B_11933,Bacteria,Firmicutes
Streptococcus urinalis,461,CRW_16S_B_11934,Bacteria,Firmicutes
Streptococcus acidominimus,441,CRW_16S_B_11935,Bacteria,Firmicutes
Streptococcus didelphis,458,CRW_16S_B_11936,Bacteria,Firmicutes
Bacillus sp. KT-1,439,CRW_16S_B_12014,Bacteria,Firmicutes
uncultured Paenibacillus sp.,586,CRW_16S_B_12039,Bacteria,Firmicutes
uncultured Streptococcaceae bacterium,798,CRW_16S_B_12127,Bacteria,Firmicutes
Streptococcus halichoeri,455,CRW_16S_B_12867,Bacteria,Firmicutes
Streptococcus devriesei,420,CRW_16S_B_12869,Bacteria,Firmicutes
Streptococcus dysgalactiae subsp. equisimilis,448,CRW_16S_B_12870,Bacteria,Firmicutes
Lactococcus lactis,320,CRW_16S_B_13112,Bacteria,Firmicutes
Bacillus drentensis,438,CRW_16S_B_13170,Bacteria,Firmicutes
Bacillus marisflavi,469,CRW_16S_B_13171,Bacteria,Firmicutes
Paenibacillus motobuensis,481,CRW_16S_B_13309,Bacteria,Firmicutes
Staphylococcus lentus,671,CRW_16S_B_13342,Bacteria,Firmicutes
uncultured Lactococcus sp.,549,CRW_16S_B_13431,Bacteria,Firmicutes
Paenibacillus amylolyticus,501,CRW_16S_B_14845,Bacteria,Firmicutes
Enterococcus faecium,533,CRW_16S_B_14881,Bacteria,Firmicutes
Staphylococcus arlettae,732,CRW_16S_B_14889,Bacteria,Firmicutes
Geobacillus thermocatenulatus,746,CRW_16S_B_14900,Bacteria,Firmicutes
Halobacillus trueperi,470,CRW_16S_B_14906,Bacteria,Firmicutes
Oceanobacillus picturae,446,CRW_16S_B_14907,Bacteria,Firmicutes
Halobacillus locisalis,446,CRW_16S_B_14919,Bacteria,Firmicutes
Virgibacillus halodenitrificans,467,CRW_16S_B_14923,Bacteria,Firmicutes
Virgibacillus pantothenticus,485,CRW_16S_B_14931,Bacteria,Firmicutes
Bacillus sp. m8-50,528,CRW_16S_B_15011,Bacteria,Firmicutes
Bacillus sp. m2-32,531,CRW_16S_B_15017,Bacteria,Firmicutes
Enterococcus hirae,592,CRW_16S_B_15076,Bacteria,Firmicutes
Lactobacillus bifermentans,236,CRW_16S_B_15128,Bacteria,Firmicutes
Lactobacillus brevis,202,CRW_16S_B_15131,Bacteria,Firmicutes
Oenococcus oeni,208,CRW_16S_B_15163,Bacteria,Firmicutes
Lactobacillus hilgardii,227,CRW_16S_B_15178,Bacteria,Firmicutes
Lactobacillus homohiochii,206,CRW_16S_B_15180,Bacteria,Firmicutes
Listeria monocytogenes,377,CRW_16S_B_15196,Bacteria,Firmicutes
Lactobacillus kefiri,223,CRW_16S_B_15202,Bacteria,Firmicutes
Lactobacillus reuteri,203,CRW_16S_B_15222,Bacteria,Firmicutes
Paenibacillus sp. B2,699,CRW_16S_B_15281,Bacteria,Firmicutes
Streptococcus agalactiae,386,CRW_16S_B_15346,Bacteria,Firmicutes
Streptococcus anginosus,396,CRW_16S_B_15351,Bacteria,Firmicutes
Streptococcus dysgalactiae,392,CRW_16S_B_15364,Bacteria,Firmicutes
Streptococcus equi,392,CRW_16S_B_15366,Bacteria,Firmicutes
Streptococcus mitis,396,CRW_16S_B_15369,Bacteria,Firmicutes
Streptococcus mutans,392,CRW_16S_B_15377,Bacteria,Firmicutes
Streptococcus salivarius,319,CRW_16S_B_15395,Bacteria,Firmicutes
Streptococcus sanguinis,398,CRW_16S_B_15397,Bacteria,Firmicutes
Streptococcus sp. 'group G',392,CRW_16S_B_15400,Bacteria,Firmicutes
Staphylococcus auricularis,391,CRW_16S_B_15424,Bacteria,Firmicutes
Staphylococcus capitis,771,CRW_16S_B_15428,Bacteria,Firmicutes
Staphylococcus carnosus,771,CRW_16S_B_15431,Bacteria,Firmicutes
Macrococcus caseolyticus,773,CRW_16S_B_15432,Bacteria,Firmicutes
Staphylococcus cohnii,771,CRW_16S_B_15433,Bacteria,Firmicutes
Staphylococcus hominis,771,CRW_16S_B_15447,Bacteria,Firmicutes
Staphylococcus intermedius,771,CRW_16S_B_15448,Bacteria,Firmicutes
Staphylococcus kloosii,771,CRW_16S_B_15449,Bacteria,Firmicutes
Staphylococcus schleiferi,771,CRW_16S_B_15459,Bacteria,Firmicutes
Staphylococcus sciuri,772,CRW_16S_B_15461,Bacteria,Firmicutes
Weissella confusa,230,CRW_16S_B_15483,Bacteria,Firmicutes
Weissella viridescens,229,CRW_16S_B_15492,Bacteria,Firmicutes
Clostridium acetobutylicum,550,CRW_16S_B_15864,Bacteria,Firmicutes
Clostridium beijerinckii,550,CRW_16S_B_15894,Bacteria,Firmicutes
Clostridium saccharoperbutylacetonicum,551,CRW_16S_B_16012,Bacteria,Firmicutes
uncultured Clostridium sp.,683,CRW_16S_B_16076,Bacteria,Firmicutes
Peptostreptococcus anaerobius,565,CRW_16S_B_16364,Bacteria,Firmicutes
Thermoanaerobacter acetoethylicus,770,CRW_16S_B_16431,Bacteria,Firmicutes
Thermoanaerobacter brockii,763,CRW_16S_B_16434,Bacteria,Firmicutes
Thermoanaerobacter ethanolicus,650,CRW_16S_B_16443,Bacteria,Firmicutes
Acholeplasma axanthum,546,CRW_16S_B_16477,Bacteria,Tenericutes
Pineapple proliferation phytoplasma,786,CRW_16S_B_16609,Bacteria,Tenericutes
Aster yellows phytoplasma,424,CRW_16S_B_16611,Bacteria,Tenericutes
Candidatus Phytoplasma solani,403,CRW_16S_B_16798,Bacteria,Tenericutes
Erysipelothrix tonsillarum,552,CRW_16S_B_16830,Bacteria,Firmicutes
Mycoplasma collis,372,CRW_16S_B_16870,Bacteria,Tenericutes
Candidatus Phytoplasma ulmi,700,CRW_16S_B_16933,Bacteria,Tenericutes
Paulownia witches'-broom phytoplasma,698,CRW_16S_B_16945,Bacteria,Tenericutes
Mycoplasma mycoides,546,CRW_16S_B_16966,Bacteria,Tenericutes
Mycoplasma sp.,425,CRW_16S_B_16995,Bacteria,Tenericutes
uncultured proteobacterium,500,CRW_16S_B_4761,Bacteria,Proteobacteria
uncultured Bradyrhizobium sp.,523,CRW_16S_B_4794,Bacteria,Proteobacteria
Rhizobium tropici,260,CRW_16S_B_4947,Bacteria,Proteobacteria
uncultured Sphingomonas sp.,660,CRW_16S_B_5034,Bacteria,Proteobacteria
Bradyrhizobium japonicum,592,CRW_16S_B_5338,Bacteria,Proteobacteria
Caulobacter henricii,458,CRW_16S_B_5497,Bacteria,Proteobacteria
Caenorhabditis elegans,697,CRW_16S_E_17591,Eukaryota,Nematoda
Drosophila virilis,784,CRW_16S_E_17595,Eukaryota,Arthropoda
Sphingomonas mali,657,CRW_16S_B_5674,Bacteria,Proteobacteria
uncultured Rhizobiales bacterium,560,CRW_16S_B_5819,Bacteria,Proteobacteria
uncultured Rhizobium sp.,549,CRW_16S_B_5820,Bacteria,Proteobacteria
uncultured Agrobacterium sp.,738,CRW_16S_B_6274,Bacteria,Proteobacteria
uncultured Sphingomonadaceae bacterium,450,CRW_16S_B_6290,Bacteria,Proteobacteria
uncultured Beijerinckiaceae bacterium,448,CRW_16S_B_6401,Bacteria,Proteobacteria
uncultured Bradyrhizobiaceae bacterium,448,CRW_16S_B_6402,Bacteria,Proteobacteria
uncultured Caulobacter sp.,541,CRW_16S_B_6431,Bacteria,Proteobacteria
Mesorhizobium loti,466,CRW_16S_B_6437,Bacteria,Proteobacteria
Rhodopseudomonas palustris,500,CRW_16S_B_6506,Bacteria,Proteobacteria
Azorhizobium caulinodans,260,CRW_16S_B_6566,Bacteria,Proteobacteria
Azospirillum lipoferum,221,CRW_16S_B_6591,Bacteria,Proteobacteria
Bartonella henselae,424,CRW_16S_B_6611,Bacteria,Proteobacteria
Bartonella sp.,471,CRW_16S_B_6618,Bacteria,Proteobacteria
Bradyrhizobium sp.,264,CRW_16S_B_6628,Bacteria,Proteobacteria
Bradyrhizobium liaoningense,264,CRW_16S_B_6650,Bacteria,Proteobacteria
Caulobacter sp.,249,CRW_16S_B_6750,Bacteria,Proteobacteria
Caulobacter vibrioides,224,CRW_16S_B_6756,Bacteria,Proteobacteria
Gluconobacter oxydans,608,CRW_16S_B_6872,Bacteria,Proteobacteria
Sphingobium yanoikuyae,568,CRW_16S_B_6917,Bacteria,Proteobacteria
Rhizobium leguminosarum,668,CRW_16S_B_7083,Bacteria,Proteobacteria
Agrobacterium albertimagni,469,CRW_16S_B_7152,Bacteria,Proteobacteria
Ensifer adhaerens,421,CRW_16S_B_7264,Bacteria,Proteobacteria
uncultured Caulobacterales bacterium,702,CRW_16S_B_7419,Bacteria,Proteobacteria
magnetic coccus MP17,712,CRW_16S_B_7457,Bacteria,Proteobacteria
Magnetospirillum magnetotacticum,715,CRW_16S_B_7461,Bacteria,Proteobacteria
Erythrobacter longus,261,CRW_16S_B_7508,Bacteria,Proteobacteria
Mesorhizobium huakuii,260,CRW_16S_B_7549,Bacteria,Proteobacteria
Mesorhizobium tianshanense,260,CRW_16S_B_7559,Bacteria,Proteobacteria
Nitrobacter sp.,452,CRW_16S_B_7614,Bacteria,Proteobacteria
Rhizobium sp.,209,CRW_16S_B_7700,Bacteria,Proteobacteria
Rhizobium etli,214,CRW_16S_B_7707,Bacteria,Proteobacteria
Rhodopseudomonas sp.,264,CRW_16S_B_7892,Bacteria,Proteobacteria
Rhodospirillum rubrum,263,CRW_16S_B_7898,Bacteria,Proteobacteria
Sphingomonas asaccharolytica,629,CRW_16S_B_7938,Bacteria,Proteobacteria
Novosphingobium capsulatum,268,CRW_16S_B_7940,Bacteria,Proteobacteria
Sphingomonas paucimobilis,267,CRW_16S_B_7951,Bacteria,Proteobacteria
Sphingomonas pruni,629,CRW_16S_B_7960,Bacteria,Proteobacteria
Novosphingobium subterraneum,573,CRW_16S_B_7966,Bacteria,Proteobacteria
Novosphingobium aromaticivorans,576,CRW_16S_B_7967,Bacteria,Proteobacteria
Sinorhizobium sp.,226,CRW_16S_B_8017,Bacteria,Proteobacteria
Sulfitobacter sp. EE-36,400,CRW_16S_B_8054,Bacteria,Proteobacteria
Acidiphilium acidophilum,225,CRW_16S_B_8083,Bacteria,Proteobacteria
Wolbachia pipientis,642,CRW_16S_B_8122,Bacteria,Proteobacteria
Wolbachia sp.,204,CRW_16S_B_8137,Bacteria,Proteobacteria
Leuconostoc mesenteroides,765,CRW_16S_B_8593,Bacteria,Firmicutes
Bacillus sporothermodurans,630,CRW_16S_B_8755,Bacteria,Firmicutes
Geobacillus thermodenitrificans,557,CRW_16S_B_8757,Bacteria,Firmicutes
Lactobacillus zeae,451,CRW_16S_B_9205,Bacteria,Firmicutes
Staphylococcus sp.,400,CRW_16S_B_9384,Bacteria,Firmicutes
Bacillus sp. N1,649,CRW_16S_B_9469,Bacteria,Firmicutes
Bacillus cereus ATCC 10987,411,CRW_16S_B_9539,Bacteria,Firmicutes
Bacillus fumarioli,544,CRW_16S_B_9584,Bacteria,Firmicutes
Paenibacillus lautus,548,CRW_16S_B_9585,Bacteria,Firmicutes
Bacillus coagulans,501,CRW_16S_B_9596,Bacteria,Firmicutes
Bacillus psychrosaccharolyticus,704,CRW_16S_B_9643,Bacteria,Firmicutes
Paenibacillus pabuli,693,CRW_16S_B_9766,Bacteria,Firmicutes
Paenibacillus wynnii,696,CRW_16S_B_9767,Bacteria,Firmicutes
Lactococcus lactis subsp. cremoris,1296,CRW_16S_B_10367,Bacteria,Firmicutes
Streptococcus suis,1013,CRW_16S_B_10478,Bacteria,Firmicutes
Halobacillus salinus,904,CRW_16S_B_10614,Bacteria,Firmicutes
Streptococcus pyogenes SSI-1,1335,CRW_16S_B_11297,Bacteria,Firmicutes
Bacillus simplex,1096,CRW_16S_B_11491,Bacteria,Firmicutes
Bacillus sp. 19496,1310,CRW_16S_B_11513,Bacteria,Firmicutes
Bacillus sp. R-10919,1222,CRW_16S_B_11528,Bacteria,Firmicutes
Bacillus sp. IDA4740,877,CRW_16S_B_11543,Bacteria,Firmicutes
Streptococcus pyogenes MGAS10270,1231,CRW_16S_B_11721,Bacteria,Firmicutes
Caryophanon latum,1216,CRW_16S_B_11744,Bacteria,Firmicutes
Dehalobacterium formicoaceticum,1319,CRW_16S_B_11747,Bacteria,Firmicutes
Bacillus niabensis,1330,CRW_16S_B_12705,Bacteria,Firmicutes
Bacillus sp. D-1,1234,CRW_16S_B_13064,Bacteria,Firmicutes
Bacillus sp. L64,1119,CRW_16S_B_13246,Bacteria,Firmicutes
Bacillus flexus,1319,CRW_16S_B_13289,Bacteria,Firmicutes
Bacillus sp. 16R,1343,CRW_16S_B_13302,Bacteria,Firmicutes
Staphylococcus sp. A4,1315,CRW_16S_B_13303,Bacteria,Firmicutes
Staphylococcus sp. D3,1324,CRW_16S_B_13304,Bacteria,Firmicutes
Staphylococcus sp. E2,1329,CRW_16S_B_13306,Bacteria,Firmicutes
Bacillus sp. GS1,963,CRW_16S_B_13420,Bacteria,Firmicutes
Bacillus aquimaris,935,CRW_16S_B_13814,Bacteria,Firmicutes
Bacillus funiculus,1292,CRW_16S_B_15033,Bacteria,Firmicutes
Filibacter limicola,1182,CRW_16S_B_15095,Bacteria,Firmicutes
Leuconostoc carnosum,1333,CRW_16S_B_15136,Bacteria,Firmicutes
Lactobacillus helveticus,1335,CRW_16S_B_15177,Bacteria,Firmicutes
Streptococcus alactolyticus,1335,CRW_16S_B_15348,Bacteria,Firmicutes
Streptococcus canis,1335,CRW_16S_B_15360,Bacteria,Firmicutes
Streptococcus criceti,1335,CRW_16S_B_15362,Bacteria,Firmicutes
Streptococcus downei,1239,CRW_16S_B_15363,Bacteria,Firmicutes
Streptococcus hyointestinalis,1299,CRW_16S_B_15371,Bacteria,Firmicutes
Streptococcus macacae,1333,CRW_16S_B_15372,Bacteria,Firmicutes
Streptococcus oralis,1334,CRW_16S_B_15379,Bacteria,Firmicutes
Streptococcus porcinus,1333,CRW_16S_B_15384,Bacteria,Firmicutes
Streptococcus ratti,1335,CRW_16S_B_15393,Bacteria,Firmicutes
Streptococcus sobrinus,1335,CRW_16S_B_15399,Bacteria,Firmicutes
Clostridium sp. RR6,1258,CRW_16S_B_15542,Bacteria,Firmicutes
Clostridium sp. RR29,1261,CRW_16S_B_15544,Bacteria,Firmicutes
Clostridium sp. RR41,1254,CRW_16S_B_15545,Bacteria,Firmicutes
Acetonema longum,1267,CRW_16S_B_15564,Bacteria,Firmicutes
Clostridium botulinum,1323,CRW_16S_B_15599,Bacteria,Firmicutes
Clostridium butyricum,1243,CRW_16S_B_15619,Bacteria,Firmicutes
Clostridium celatum,1326,CRW_16S_B_15924,Bacteria,Firmicutes
Coprococcus eutactus,1326,CRW_16S_B_15987,Bacteria,Firmicutes
Desulfosporosinus orientis,1215,CRW_16S_B_16068,Bacteria,Firmicutes
Clostridium perfringens,1214,CRW_16S_B_16094,Bacteria,Firmicutes
Eubacterium sp.,954,CRW_16S_B_16263,Bacteria,Firmicutes
Lachnospira multipara,977,CRW_16S_B_16343,Bacteria,Firmicutes
Moorella thermoautotrophica,869,CRW_16S_B_16349,Bacteria,Firmicutes
Moorella thermoacetica,873,CRW_16S_B_16353,Bacteria,Firmicutes
unidentified Anaerocellum group bacteria,1290,CRW_16S_B_16354,Bacteria,Firmicutes
Sarcina ventriculi,1304,CRW_16S_B_16413,Bacteria,Firmicutes
Thermoanaerobacter thermohydrosulfuricus,868,CRW_16S_B_16442,Bacteria,Firmicutes
Thermoanaerobacterium thermosulfurigenes,930,CRW_16S_B_16454,Bacteria,Firmicutes
Phytoplasma sp. PY1,1239,CRW_16S_B_16508,Bacteria,Tenericutes
Strawberry phylloid fruit phytoplasma,1246,CRW_16S_B_16523,Bacteria,Tenericutes
Orange little leaf phytoplasma,1247,CRW_16S_B_16601,Bacteria,Tenericutes
Sunshine tree witches'-broom phytoplasma,1250,CRW_16S_B_16602,Bacteria,Tenericutes
Petunia flat stem phytoplasma,1248,CRW_16S_B_16604,Bacteria,Tenericutes
Strawberry virescence phytoplasma,970,CRW_16S_B_16607,Bacteria,Tenericutes
Bamboo witches'-broom phytoplasma,1247,CRW_16S_B_16641,Bacteria,Tenericutes
uncultured Ureaplasma sp.,1010,CRW_16S_B_16666,Bacteria,Tenericutes
Candidatus Phytoplasma fraxini,1232,CRW_16S_B_16673,Bacteria,Tenericutes
Chayote whiteness phytoplasma,1219,CRW_16S_B_16694,Bacteria,Tenericutes
Bulleidia extructa,1348,CRW_16S_B_16741,Bacteria,Firmicutes
Candidatus Phytoplasma fragariae,1333,CRW_16S_B_16761,Bacteria,Tenericutes
Chilli little leaf phytoplasma,1297,CRW_16S_B_16797,Bacteria,Tenericutes
Jujube witches'-broom phytoplasma,1239,CRW_16S_B_16821,Bacteria,Tenericutes
Mesoplasma seiffertii,863,CRW_16S_B_16875,Bacteria,Tenericutes
Brevundimonas diminuta,1343,CRW_16S_B_4676,Bacteria,Proteobacteria
uncultured Methylobacterium sp.,1304,CRW_16S_B_4845,Bacteria,Proteobacteria
Acidocella facilis,922,CRW_16S_B_4908,Bacteria,Proteobacteria
Acidiphilium angustum,977,CRW_16S_B_4910,Bacteria,Proteobacteria
Acidiphilium cryptum,1280,CRW_16S_B_4911,Bacteria,Proteobacteria
Acidiphilium rubrum,1073,CRW_16S_B_4916,Bacteria,Proteobacteria
Acidiphilium sp.,944,CRW_16S_B_4918,Bacteria,Proteobacteria
Zymomonas mobilis,1134,CRW_16S_B_4955,Bacteria,Proteobacteria
Brevundimonas intermedia,1323,CRW_16S_B_5020,Bacteria,Proteobacteria
Sphingomonas sp. Ellin134,1303,CRW_16S_B_5050,Bacteria,Proteobacteria
Mesorhizobium thiogangeticum,1344,CRW_16S_B_5376,Bacteria,Proteobacteria
Chlamydomonas reinhardtii,1200,CRW_16S_E_17085,Eukaryota,Chlorophyta
Pedinomonas minor,1178,CRW_16S_E_17105,Eukaryota,Chlorophyta
Culicosporella lunata,1343,CRW_16S_E_17428,Eukaryota,Microsporidia
Hazardia sp.,1319,CRW_16S_E_17471,Eukaryota,Microsporidia
Hazardia milleri,1318,CRW_16S_E_17472,Eukaryota,Microsporidia
Parathelohania anophelis,1287,CRW_16S_E_17528,Eukaryota,Microsporidia
uncultured Brevundimonas sp.,1318,CRW_16S_B_5576,Bacteria,Proteobacteria
Brevundimonas sp. PP1,1236,CRW_16S_B_5677,Bacteria,Proteobacteria
glacier bacterium FXI3,1345,CRW_16S_B_5688,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14753,1342,CRW_16S_B_5889,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14306,1334,CRW_16S_B_5890,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14291,1334,CRW_16S_B_5891,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14292,1334,CRW_16S_B_5892,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14328,1334,CRW_16S_B_5893,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14309,1334,CRW_16S_B_5894,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 14310,1334,CRW_16S_B_5895,Bacteria,Proteobacteria
Bradyrhizobium sp. ICMP 12835,1340,CRW_16S_B_5897,Bacteria,Proteobacteria
uncultured Sinorhizobium sp.,1350,CRW_16S_B_6102,Bacteria,Proteobacteria
Agrobacterium larrymoorei,1334,CRW_16S_B_6130,Bacteria,Proteobacteria
Agrobacterium rubi,1340,CRW_16S_B_6142,Bacteria,Proteobacteria
Zymomonas mobilis subsp. pomaceae,1343,CRW_16S_B_6203,Bacteria,Proteobacteria
Rhizobium sp. CCBAU 65255,1328,CRW_16S_B_6305,Bacteria,Proteobacteria
Azospirillum halopraeferens,1308,CRW_16S_B_6580,Bacteria,Proteobacteria
Azospirillum sp.,1328,CRW_16S_B_6595,Bacteria,Proteobacteria
Caulobacter sp. FWC17,1320,CRW_16S_B_6763,Bacteria,Proteobacteria
Caulobacter sp. FWC18,1322,CRW_16S_B_6764,Bacteria,Proteobacteria
Mesorhizobium sp. ICMP 12680,1350,CRW_16S_B_6840,Bacteria,Proteobacteria
Mesorhizobium sp. ICMP 12642,1312,CRW_16S_B_6841,Bacteria,Proteobacteria
Bradyrhizobium sp. CCBAU 35234,1325,CRW_16S_B_6850,Bacteria,Proteobacteria
Bradyrhizobium sp. CCBAU 61178,1349,CRW_16S_B_6851,Bacteria,Proteobacteria
Brevundimonas vesicularis,1253,CRW_16S_B_6864,Bacteria,Proteobacteria
Bradyrhizobium sp. CCBAU 05275,1327,CRW_16S_B_6866,Bacteria,Proteobacteria
Bradyrhizobium sp. CCBAU 05293,1346,CRW_16S_B_6867,Bacteria,Proteobacteria
Bradyrhizobium sp. CCBAU 05302,1343,CRW_16S_B_6868,Bacteria,Proteobacteria
Rhizobium sp. CCBAU 25292,1338,CRW_16S_B_6870,Bacteria,Proteobacteria
Sphingomonas echinoides,819,CRW_16S_B_6873,Bacteria,Proteobacteria
Rhizobium sp. CCBAU 23002,1348,CRW_16S_B_6966,Bacteria,Proteobacteria
Agrobacterium sp. CCBAU 23089,1326,CRW_16S_B_7070,Bacteria,Proteobacteria
Agrobacterium sp. CCBAU 25157,1331,CRW_16S_B_7071,Bacteria,Proteobacteria
Methylobacterium sp. Ens25,1342,CRW_16S_B_7107,Bacteria,Proteobacteria
Sinorhizobium sp. CCBAU 01199,1343,CRW_16S_B_7127,Bacteria,Proteobacteria
Ochrobactrum intermedium,1334,CRW_16S_B_7151,Bacteria,Proteobacteria
Sphingomonas mucosissima,1226,CRW_16S_B_7251,Bacteria,Proteobacteria
Ehrlichia canis,1308,CRW_16S_B_7436,Bacteria,Proteobacteria
Erythromicrobium ramosum,1115,CRW_16S_B_7513,Bacteria,Proteobacteria
Gluconobacter cerinus,1341,CRW_16S_B_7515,Bacteria,Proteobacteria
Methylocystis echinoides,1236,CRW_16S_B_7543,Bacteria,Proteobacteria
Methylocystis parvus,1314,CRW_16S_B_7545,Bacteria,Proteobacteria
Methylobacterium sp.,1053,CRW_16S_B_7561,Bacteria,Proteobacteria
Methylobacterium organophilum,1317,CRW_16S_B_7571,Bacteria,Proteobacteria
Nitrobacter winogradskyi,1332,CRW_16S_B_7620,Bacteria,Proteobacteria
Paracoccus denitrificans,1182,CRW_16S_B_7650,Bacteria,Proteobacteria
Paracoccus versutus,938,CRW_16S_B_7657,Bacteria,Proteobacteria
Porphyrobacter sp.,1286,CRW_16S_B_7675,Bacteria,Proteobacteria
Rhodobacter blasticus,1269,CRW_16S_B_7680,Bacteria,Proteobacteria
Rhodobacter capsulatus,1220,CRW_16S_B_7683,Bacteria,Proteobacteria
Rhodobacter veldkampii,1233,CRW_16S_B_7692,Bacteria,Proteobacteria
Rhodospirillum sp. MT-SP-3,1312,CRW_16S_B_7796,Bacteria,Proteobacteria
