Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.species group,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.tribe,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.suborder
Bacillus halodurans,AB013377,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillus <bacterium>,Terrabacteria group,,Bacillus halodurans,,,,,,,,
Bacillus halodurans,AB031211,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_35,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillus <bacterium>,Terrabacteria group,,Bacillus halodurans,,,,,,,,
Bacillus halodurans,AB031211,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_36,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillus <bacterium>,Terrabacteria group,,Bacillus halodurans,,,,,,,,
Bacillus halodurans,AB031214,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_37,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillus <bacterium>,Terrabacteria group,,Bacillus halodurans,,,,,,,,
Vibrio parahaemolyticus,AB041848,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_41,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,Vibrio parahaemolyticus,,,,,,,,,,,
Vibrio parahaemolyticus,AB041850,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_42,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,Vibrio parahaemolyticus,,,,,,,,,,,
Vibrio parahaemolyticus,AB041851,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_43,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,Vibrio parahaemolyticus,,,,,,,,,,,
Vibrio vulnificus,AB073875,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_49,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,
Vibrio vulnificus,AB073877,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_50,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,
Vibrio vulnificus,AB073879,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_51,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,
Campylobacter lari,AB211985,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_86,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacter lari,,,Campylobacter lari subsp. lari,delta/epsilon subdivisions,,,,,,,
Tuberibacillus calidus,AB231788,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_87,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Tuberibacillus,,Tuberibacillus calidus,Terrabacteria group,,,,,,,,,,
Sporolactobacillus terrae,AB231797,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_88,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,,Sporolactobacillus terrae,Terrabacteria group,,,,,,,,,,
Halobacillus sp. IS-Hb2,AB243759,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_105,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus sp. IS-Hb2,Terrabacteria group,,,,,,,,,,
Halobacillus sp. IS-Hb2,AB243760,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_106,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus sp. IS-Hb2,Terrabacteria group,,,,,,,,,,
Halobacillus trueperi,AB243768,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_111,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus trueperi,Terrabacteria group,,,,,,,,,,
Halobacillus trueperi,AB243769,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_112,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus trueperi,Terrabacteria group,,,,,,,,,,
Halobacillus litoralis,AB243772,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_113,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus litoralis,Terrabacteria group,,,,,,,,,,
Halobacillus salinus,AB243776,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_114,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,Halobacillus salinus,Terrabacteria group,,,,,,,,,,
Taylorella asinigenitalis,AB259167,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_158,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,,Taylorella asinigenitalis,,,,,,,,,,,
Acinetobacter baumannii,U60279,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_183,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,Acinetobacter baumannii,,,,,,,,,,,
Acinetobacter calcoaceticus,U60278,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_227,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,Acinetobacter calcoaceticus,,,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_242,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa 9a5c,,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_243,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa 9a5c,,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_244,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa 9a5c,,,,,,,,,,
Pseudomonas aeruginosa PAO1,AE004091,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_250,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAO1,,,,,,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_267,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 301,,,,,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_268,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 301,,,,,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_269,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 301,,,,,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_270,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 301,,,,,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_303,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa Temecula1,,,,,,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_304,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa Temecula1,,,,,,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_305,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,Xylella fastidiosa,Xylella fastidiosa Temecula1,,,,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_345,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 2457T,,,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_346,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 2457T,,,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_347,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 2457T,,,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_348,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 2457T,,,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_349,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,Shigella flexneri,Shigella flexneri 2a,Shigella flexneri 2a str. 2457T,,,,,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_356,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,Escherichia coli,Escherichia coli CFT073,,,,,,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_357,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,Escherichia coli,Escherichia coli CFT073,,,,,,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_358,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,Escherichia coli,Escherichia coli CFT073,,,,,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_384,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella oneidensis,Shewanella oneidensis MR-1,,,,,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_385,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella oneidensis,Shewanella oneidensis MR-1,,,,,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_386,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella oneidensis,Shewanella oneidensis MR-1,,,,,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_387,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella oneidensis,Shewanella oneidensis MR-1,,,,,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_388,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella oneidensis,Shewanella oneidensis MR-1,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_389,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhi,,Salmonella enterica subsp. enterica,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_390,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhi,,Salmonella enterica subsp. enterica,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_391,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhi,,Salmonella enterica subsp. enterica,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_392,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhi,,Salmonella enterica subsp. enterica,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_393,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhi,,Salmonella enterica subsp. enterica,,,,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_395,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium tetani,Terrabacteria group,Clostridium tetani E88,,,,,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_396,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium tetani,Terrabacteria group,Clostridium tetani E88,,,,,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_397,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium tetani,Terrabacteria group,Clostridium tetani E88,,,,,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_403,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Staphylococcus epidermidis,Terrabacteria group,Staphylococcus epidermidis ATCC 12228,,,,,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_404,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Staphylococcus epidermidis,Terrabacteria group,Staphylococcus epidermidis ATCC 12228,,,,,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_405,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Staphylococcus epidermidis,Terrabacteria group,Staphylococcus epidermidis ATCC 12228,,,,,,,,,
Leifsonia xyli subsp. xyli str. CTCB07,AE016822,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_415,--,Yes,root,cellular organisms,Bacteria,,,Micrococcales,Microbacteriaceae,Leifsonia,,Actinobacteria <phylum>,Terrabacteria group,Leifsonia xyli subsp. xyli str. CTCB07,Actinobacteria <class>,,Leifsonia xyli,Leifsonia xyli subsp. xyli,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_418,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_419,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_420,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_421,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_422,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_423,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_424,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,,Chromobacterium violaceum,Chromobacterium group,Chromobacterium violaceum ATCC 12472,,,,,,,,,
