Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.tribe,Taxonomy.NCBI.species group,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subclass,Taxonomy.NCBI.suborder
Thermus thermophilus HB27,AE017221,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_485,--,Yes,root,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,,,Terrabacteria group,Thermus thermophilus HB27,,,,,,,,,,
Treponema denticola ATCC 35405,AE017226,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_496,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema denticola,,Treponema denticola ATCC 35405,,,,,,,,,,,
Xanthomonas campestris pv. campestris,AF064520,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_578,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,,,Xanthomonas campestris pv. campestris,,,,,,,,,,,
Pseudomonas fluorescens,AF134704,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_652,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,,,,,,,Pseudomonas fluorescens group,,,,,,,
spirochete isolate 1-9185MED,AF179256,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_747,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,,Spirochaetes <phylum>,spirochete isolate 1-9185MED,,unclassified Spirochaetaceae,,,,,,,,,,,
spirochete isolate 2-1498,AF179262,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_750,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,,Spirochaetes <phylum>,spirochete isolate 2-1498,,unclassified Spirochaetaceae,,,,,,,,,,,
Treponema denticola,AF179264,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_751,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema denticola,,,,,,,,,,,,,
Treponema phagedenis,AF179266,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_752,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema phagedenis,,,,,,,,,,,,,
Treponema vincentii,AF209195,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_778,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema vincentii,,,,,,,,,,,,,
Neisseria gonorrhoeae,AF223396,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_783,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,,,,,,,,,,,,,,
Neisseria gonorrhoeae,AF223397,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_784,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,,,,,,,,,,,,,,
Neisseria gonorrhoeae,AF223398,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_785,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,,,,,,,,,,,,,,
Neisseria gonorrhoeae,AF223399,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_786,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,,,,,,,,,,,,,,
Pectobacterium wasabiae,AF234277,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_789,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium wasabiae,,,,,,,,,,,,,,
Carnobacterium gallinarum,AF374288,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_952,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium gallinarum,,,Terrabacteria group,,,,,,,,,,,
Carnobacterium mobile,AF374290,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_953,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium mobile,,,Terrabacteria group,,,,,,,,,,,
Candidatus Kuenenia stuttgartiensis,AF375995,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_959,--,Yes,root,cellular organisms,Bacteria,,Candidatus Brocadiae,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Kuenenia,Planctomycetes <phylum>,Candidatus Kuenenia stuttgartiensis,,PVC group,,,,,,,,,,,
Treponema medium,AF378326,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_960,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema medium,,,,,,,,,,,,,
Corynebacterium glutamicum,AF435074,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1064,--,Yes,root,cellular organisms,Bacteria,,,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacterium glutamicum,Terrabacteria group,,,,,,,,,,,
Bacillus amyloliquefaciens,AF478079,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1096,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus <bacterium>,Bacillus amyloliquefaciens,,Terrabacteria group,,,,Bacillus subtilis group,Bacillus amyloliquefaciens group,,,,,,
Bacillus licheniformis,AF478087,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1098,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus <bacterium>,Bacillus licheniformis,,Terrabacteria group,,,,Bacillus subtilis group,,,,,,,
Brevibacillus borstelensis,AF478092,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1099,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus borstelensis,,,Terrabacteria group,,,,,,,,,,,
Brevibacillus borstelensis,AF478093,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1100,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus borstelensis,,,Terrabacteria group,,,,,,,,,,,
Brevibacillus parabrevis,AF478097,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1101,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus parabrevis,,,Terrabacteria group,,,,,,,,,,,
Bacillus lentus,AF478110,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1102,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus <bacterium>,Bacillus lentus,,Terrabacteria group,,,,,,,,,,,
Lactobacillus farciminis,AF500491,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1106,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus farciminis,,,Terrabacteria group,,,,,,,,,,,
Lactobacillus alimentarius,AF500493,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1107,--,Yes,root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus alimentarius,,,Terrabacteria group,,,,,,,,,,,
Acetobacter aceti,AJ007831,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1299,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,,,,,,,,,Acetobacter subgen. Acetobacter,,,,,
Gluconacetobacter liquefaciens,AJ007833,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1301,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter liquefaciens,,,,,,,,,,,,,,
Acetobacter pasteurianus,AJ007834,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1302,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,,,,,,,,,,,,,,
Streptomyces violaceoruber,AJ011500,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1303,--,Yes,root,cellular organisms,Bacteria,,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteria <phylum>,Actinobacteria <class>,Streptomyces violaceoruber,Terrabacteria group,,,,,,,,,,,
Pseudomonas stutzeri,AJ251900,75,33,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_1327,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251901,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1328,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251902,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1329,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251903,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1330,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251904,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1331,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251905,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1332,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251906,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1333,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251907,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1334,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251908,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1335,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251909,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1336,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ251910,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1337,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas balearica,AJ279238,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1340,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas balearica,,,,,,,Pseudomonas stutzeri group,,,,,,,
Pseudomonas balearica,AJ279239,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1341,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas balearica,,,,,,,Pseudomonas stutzeri group,,,,,,,
Pseudomonas chlororaphis,AJ279240,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1342,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,Pseudomonas chlororaphis subsp. chlororaphis,,,,,,Pseudomonas chlororaphis group,,,,,,,
Pseudomonas cichorii,AJ279242,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1343,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas cichorii,,,,,,,Pseudomonas syringae group,,,,,,,
Pseudomonas agarici,AJ279243,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1344,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas agarici,,,,,,,,,,,,,,
Pseudomonas tolaasii,AJ279244,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1345,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,,,,,,,Pseudomonas fluorescens group,,,,,,,
Pseudomonas stutzeri,AJ390581,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1374,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390582,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1375,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390583,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1376,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390584,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1377,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390585,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1378,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390586,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1379,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390587,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1380,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390588,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1381,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390589,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1382,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
Pseudomonas stutzeri,AJ390590,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1383,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,
