Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.species group,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.tribe,Taxonomy.NCBI.subclass,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.suborder,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.subfamily
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_229,--,Yes,root,cellular organisms,Bacteria,Thermotoga maritima MSB8,,,Thermotogales,Thermotogaceae,Thermotoga,,Thermotogae <phylum>,Thermotogae <class>,,,Thermotoga maritima,,,,,,,,
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_230,--,Yes,root,cellular organisms,Bacteria,Thermotoga maritima MSB8,,,Thermotogales,Thermotogaceae,Thermotoga,,Thermotogae <phylum>,Thermotogae <class>,,,Thermotoga maritima,,,,,,,,
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_231,--,Yes,root,cellular organisms,Bacteria,Thermotoga maritima MSB8,,,Thermotogales,Thermotogaceae,Thermotoga,,Thermotogae <phylum>,Thermotogae <class>,,,Thermotoga maritima,,,,,,,,
Treponema pallidum subsp. pallidum str. Nichols,AE000520,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_233,--,Yes,root,cellular organisms,Bacteria,Treponema pallidum subsp. pallidum str. Nichols,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,Spirochaetes <phylum>,Treponema pallidum,,,Treponema pallidum subsp. pallidum,,,,,,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_263,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae TIGR4,,,,,,,,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_264,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae TIGR4,,,,,,,,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_265,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae TIGR4,,,,,,,,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_266,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae TIGR4,,,,,,,,,,
Streptococcus pneumoniae R6,AE008386,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_292,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae R6,,,,,,,,,,
Streptococcus pneumoniae R6,AE008537,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_293,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae R6,,,,,,,,,,
Streptococcus pneumoniae R6,AE008546,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_294,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae R6,,,,,,,,,,
Streptococcus pneumoniae R6,AE008552,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_295,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus pneumoniae,,Streptococcus pneumoniae R6,,,,,,,,,,
Leptospira interrogans serovar Lai str. 56601,AE010300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_323,--,Yes,root,cellular organisms,Bacteria,Leptospira interrogans serovar Lai,,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,Spirochaetes <phylum>,Leptospira interrogans,Leptospira interrogans serovar Lai str. 56601,,,,,,,,,,
Buchnera aphidicola str. Sg (Schizaphis graminum),AE013218,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_336,--,Yes,root,cellular organisms,Bacteria,Buchnera aphidicola (Schizaphis graminum),Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,,Buchnera <proteobacteria>,Buchnera aphidicola,Buchnera aphidicola str. Sg (Schizaphis graminum),,,,,,,,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_359,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus mutans,,Streptococcus mutans UA159,,,,,,,,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_360,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus mutans,,Streptococcus mutans UA159,,,,,,,,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_361,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus mutans,,Streptococcus mutans UA159,,,,,,,,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_362,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus mutans,,Streptococcus mutans UA159,,,,,,,,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_363,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus mutans,,Streptococcus mutans UA159,,,,,,,,,,
Streptococcus agalactiae 2603V/R,AE014191,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_365,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014192,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_366,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014195,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_367,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014198,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_368,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014202,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_369,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014207,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_370,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Streptococcus agalactiae 2603V/R,AE014210,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_371,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,Streptococcus agalactiae serogroup V,,,Streptococcus agalactiae 2603V/R,,,,,,,
Bifidobacterium longum NCC2705,AE014295,73,29,44,No,0,tRNA,0,(()()()),(()((()))()),--,No,CRW,--,CRW_t_B_372,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,,,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacterium longum NCC2705,,Bifidobacterium longum,,,,,,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_406,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_407,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_408,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_409,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_410,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Vibrio vulnificus CMCP6,AE016796,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_411,--,Yes,root,cellular organisms,Bacteria,Vibrio vulnificus CMCP6,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrio vulnificus,,,,,,,,,,,,
Buchnera aphidicola str. Bp (Baizongia pistaciae),AE016826,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_429,--,Yes,root,cellular organisms,Bacteria,Buchnera aphidicola (Baizongia pistaciae),Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,,Buchnera <proteobacteria>,Buchnera aphidicola,Buchnera aphidicola str. Bp (Baizongia pistaciae),,,,,,,,,,
Buchnera aphidicola str. Bp (Baizongia pistaciae),AE016826,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_430,--,Yes,root,cellular organisms,Bacteria,Buchnera aphidicola (Baizongia pistaciae),Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,,Buchnera <proteobacteria>,Buchnera aphidicola,Buchnera aphidicola str. Bp (Baizongia pistaciae),,,,,,,,,,
Coxiella burnetii RSA 493,AE016828,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_435,--,Yes,root,cellular organisms,Bacteria,Coxiella burnetii RSA 493,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,,Coxiella <Bacteria>,Coxiella burnetii,,,,,,,,,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_437,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecalis,,Enterococcus faecalis V583,,,,,,,,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_438,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecalis,,Enterococcus faecalis V583,,,,,,,,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_439,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecalis,,Enterococcus faecalis V583,,,,,,,,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_448,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus cereus,Bacillus cereus ATCC 14579,,,,,,,,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_449,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus cereus,Bacillus cereus ATCC 14579,,,,,,,,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_452,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus cereus,Bacillus cereus ATCC 14579,,,,,,,,,,
Bacillus cereus ATCC 10987,AE017194,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_472,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus cereus,Bacillus cereus ATCC 10987,,,,,,,,,,
Bacillus cereus ATCC 10987,AE017194,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_474,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus cereus,Bacillus cereus ATCC 10987,,,,,,,,,,
Treponema denticola ATCC 35405,AE017226,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_495,--,Yes,root,cellular organisms,Bacteria,Treponema denticola ATCC 35405,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,Spirochaetes <phylum>,Treponema denticola,,,,,,,,,,,
Wolbachia endosymbiont strain TRS of Brugia malayi,AE017321,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_513,--,Yes,root,cellular organisms,Bacteria,Wolbachia endosymbiont strain TRS of Brugia malayi,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,,Wolbachia endosymbiont of Brugia malayi,,,,,,Wolbachieae,,,,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_518,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus anthracis,Bacillus anthracis str. 'Ames Ancestor',,,,,,,,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_519,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus anthracis,Bacillus anthracis str. 'Ames Ancestor',,,,,,,,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_521,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus cereus group,Bacillus <bacterium>,Bacillus anthracis,Bacillus anthracis str. 'Ames Ancestor',,,,,,,,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_522,--,Yes,root,cellular organisms,Bacteria,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,Idiomarina loihiensis,,,,,,,,,,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_523,--,Yes,root,cellular organisms,Bacteria,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,Idiomarina loihiensis,,,,,,,,,,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_524,--,Yes,root,cellular organisms,Bacteria,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,Idiomarina loihiensis,,,,,,,,,,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_525,--,Yes,root,cellular organisms,Bacteria,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,Idiomarina loihiensis,,,,,,,,,,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_526,--,Yes,root,cellular organisms,Bacteria,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,Idiomarina loihiensis,,,,,,,,,,,,
Enterococcus faecium,AF003921,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_536,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecium,,,,,,,,,,,,
Bacillus subtilis,AF008220,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_541,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,,Bacillus subtilis group,Bacillus <bacterium>,Bacillus subtilis,,,,,,,,,,,
Streptococcus agalactiae,AF064441,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_574,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus agalactiae,,,,,,,,,,,,
Enterococcus faecium,AF070676,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_579,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecium,,,,,,,,,,,,
Enterococcus faecium,AF070678,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_580,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecium,,,,,,,,,,,,
Enterococcus faecium,AF082292,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_615,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecium,,,,,,,,,,,,
Enterococcus faecium,AF082294,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_616,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Enterococcus faecium,,,,,,,,,,,,
Synechococcus elongatus PCC 7942,AF105125,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_621,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,Synechococcus elongatus,,Cyanobacteria/Melainabacteria group,,,Synechococcus elongatus PCC 7942,,,,,,,
Anabaena cylindrica,AF105130,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_626,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,,Anabaena <cyanobacteria>,Anabaena cylindrica,Cyanobacteria/Melainabacteria group,,,,,,,,,,
