Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.order,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.class,Taxonomy.NCBI.family,Taxonomy.NCBI.phylum,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.species group,Taxonomy.NCBI.tribe,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subclass
Campylobacter jejuni,AF074833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_588,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_589,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_590,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_591,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter coli,AF074837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_592,--,Yes,root,cellular organisms,Bacteria,,Campylobacter coli,,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter coli,AF074838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_593,--,Yes,root,cellular organisms,Bacteria,,Campylobacter coli,,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter coli,AF074839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_594,--,Yes,root,cellular organisms,Bacteria,,Campylobacter coli,,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter coli,AF074840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_595,--,Yes,root,cellular organisms,Bacteria,,Campylobacter coli,,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_861,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Bradyrhizobium denitrificans,AF338161,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_862,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_863,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_866,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_868,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Bradyrhizobium denitrificans,AF338168,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_869,--,Yes,root,cellular organisms,Bacteria,,Bradyrhizobium denitrificans,,Rhizobiales,,Bradyrhizobium,,,Alphaproteobacteria,Bradyrhizobiaceae,Proteobacteria,,,,,,,,,
Rhodobacter sphaeroides,AF338182,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_879,--,Yes,root,cellular organisms,Bacteria,,Rhodobacter sphaeroides,,Rhodobacterales,,Rhodobacter,,,Alphaproteobacteria,Rhodobacteraceae,Proteobacteria,,,,,,,,,
Pseudomonas aeruginosa,AJ439388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1413,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Pseudomonas aeruginosa,AJ439389,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1414,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Pseudomonas aeruginosa,AJ439390,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1415,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Pseudomonas aeruginosa,AJ439391,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1416,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Pseudomonas aeruginosa,AJ439392,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1417,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3936,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Gramella forsetii,Flavobacteriales,Bacteroidetes/Chlorobi group,Gramella,,Gramella forsetii KT0803,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3937,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Gramella forsetii,Flavobacteriales,Bacteroidetes/Chlorobi group,Gramella,,Gramella forsetii KT0803,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3938,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Gramella forsetii,Flavobacteriales,Bacteroidetes/Chlorobi group,Gramella,,Gramella forsetii KT0803,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
uncultured marine bacterium Ant39E11,DQ295241,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4106,--,Yes,root,cellular organisms,Bacteria,,environmental samples <Bacteria>,uncultured marine bacterium Ant39E11,,,,,,,,,,,,,,,,,
Riemerella anatipestifer,DQ399763,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4197,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399764,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4198,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399765,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4199,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399766,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4200,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399767,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4201,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399768,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4202,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399769,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4203,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399770,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4204,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399771,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4205,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399772,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4206,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399773,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4207,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399774,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4208,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399775,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4209,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399776,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4210,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399777,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4211,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399778,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4212,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4213,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399780,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4214,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399781,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4215,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399782,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4216,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399783,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4217,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399784,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4218,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399785,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4219,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399786,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4220,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Riemerella anatipestifer,DQ399787,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4221,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Riemerella anatipestifer,Flavobacteriales,Bacteroidetes/Chlorobi group,Riemerella,,,Flavobacteriia,Flavobacteriaceae,,,,,,,,,,
Xylophilus ampelinus,U76357,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4535,--,Yes,root,cellular organisms,Bacteria,unclassified Burkholderiales,Xylophilus ampelinus,,Burkholderiales,Burkholderiales Genera incertae sedis,Xylophilus,,,Betaproteobacteria,,Proteobacteria,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4631,--,Yes,root,cellular organisms,Bacteria,Xylella fastidiosa 9a5c,Xylella fastidiosa,,Xanthomonadales,,Xylella,,,Gammaproteobacteria,Xanthomonadaceae,Proteobacteria,,,,,,,,,
Xylella fastidiosa Temecula1,AE009442,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4665,--,Yes,root,cellular organisms,Bacteria,Xylella fastidiosa Temecula1,Xylella fastidiosa,,Xanthomonadales,,Xylella,,,Gammaproteobacteria,Xanthomonadaceae,Proteobacteria,,,,,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_B_4725,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Porphyromonas gingivalis,Bacteroidales,Bacteroidetes/Chlorobi group,Porphyromonas,,Porphyromonas gingivalis W83,Bacteroidia,Porphyromonadaceae,,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4729,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroidales,Bacteroidetes/Chlorobi group,,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroidia,Bacteroidaceae,,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4730,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroidales,Bacteroidetes/Chlorobi group,,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroidia,Bacteroidaceae,,,,,,,,,,
Yersinia pestis,AF069749,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4831,--,Yes,root,cellular organisms,Bacteria,,Yersinia <bacteria>,Yersinia pestis,Enterobacterales,,,,,Gammaproteobacteria,Yersiniaceae,Proteobacteria,,Yersinia pseudotuberculosis complex,,,,,,,
Escherichia coli,AF135406,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4833,--,Yes,root,cellular organisms,Bacteria,,Escherichia coli,,Enterobacterales,,Escherichia,,,Gammaproteobacteria,Enterobacteriaceae,Proteobacteria,,,,,,,,,
Pseudomonas aeruginosa,AF236052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4841,--,Yes,root,cellular organisms,Bacteria,,Pseudomonas aeruginosa,,Pseudomonadales,,Pseudomonas,,,Gammaproteobacteria,Pseudomonadaceae,Proteobacteria,,Pseudomonas aeruginosa group,,,,,,,
Xanthomonas campestris pv. vesicatoria str. 85-10,AM039952,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4924,--,Yes,root,cellular organisms,Bacteria,Xanthomonas campestris pv. vesicatoria str. 85-10,Xanthomonas euvesicatoria,,Xanthomonadales,,Xanthomonas,,,Gammaproteobacteria,Xanthomonadaceae,Proteobacteria,,,,,,,,,
Bacteroides fragilis YCH46,AP006841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4986,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroidales,Bacteroidetes/Chlorobi group,,Bacteroides fragilis,Bacteroides fragilis YCH46,Bacteroidia,Bacteroidaceae,,,,,,,,,,
Xanthomonas oryzae pv. oryzae MAFF 311018,AP008229,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5021,--,Yes,root,cellular organisms,Bacteria,Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae,,Xanthomonadales,Xanthomonas oryzae pv. oryzae MAFF 311018,Xanthomonas,,,Gammaproteobacteria,Xanthomonadaceae,Proteobacteria,,,,,,,,,
Bartonella quintana str. Toulouse,BX897700,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5159,--,Yes,root,cellular organisms,Bacteria,Bartonella quintana str. Toulouse,Bartonella quintana,,Rhizobiales,,Bartonella,,,Alphaproteobacteria,Bartonellaceae,Proteobacteria,,,,,,,,,
