Organism name,Length,Benchmark ID,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.class
Methanothermobacter thermautotrophicus,74,CRW_t_A_1854,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanococcus vannielii,73,CRW_t_A_1855,Archaea,Euryarchaeota,Methanococcales,Methanococci
Pyrobaculum aerophilum,72,CRW_t_A_1856,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Pyrococcus woesei,78,CRW_t_A_2212,Archaea,Euryarchaeota,Thermococcales,Thermococci
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2305,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2306,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2307,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Pyrococcus horikoshii OT3,78,CRW_t_A_2993,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus horikoshii OT3,78,CRW_t_A_2994,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus horikoshii OT3,77,CRW_t_A_2995,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermoplasma volcanium GSS1,72,CRW_t_A_3012,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Thermoplasma volcanium GSS1,72,CRW_t_A_3013,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Thermoplasma volcanium GSS1,72,CRW_t_A_3014,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
uncultured archaeon,72,CRW_t_A_3145,Archaea,,,
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3286,Archaea,Crenarchaeota,Sulfolobales,Thermoprotei
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3287,Archaea,Crenarchaeota,Sulfolobales,Thermoprotei
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3338,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3339,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_3340,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3341,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3342,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3343,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3344,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanospirillum hungatei JF-1,72,CRW_t_A_3477,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanospirillum hungatei JF-1,73,CRW_t_A_3478,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanospirillum hungatei JF-1,73,CRW_t_A_3479,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanospirillum hungatei JF-1,73,CRW_t_A_3480,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanospirillum hungatei JF-1,72,CRW_t_A_3481,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanospirillum hungatei JF-1,73,CRW_t_A_3482,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3526,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,75,CRW_t_A_3527,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3528,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3529,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,72,CRW_t_A_3530,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3772,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3773,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3774,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3780,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3781,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Methanocorpusculum labreanum Z,73,CRW_t_A_3856,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanocorpusculum labreanum Z,72,CRW_t_A_3857,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanocorpusculum labreanum Z,72,CRW_t_A_3858,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanocorpusculum labreanum Z,73,CRW_t_A_3859,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanocorpusculum labreanum Z,73,CRW_t_A_3860,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
uncultured archaeon,76,CRW_t_A_3891,Archaea,,,
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3908,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3909,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3910,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
uncultured archaeon,72,CRW_t_A_4063,Archaea,,,
uncultured archaeon,72,CRW_t_A_4064,Archaea,,,
Haloquadratum walsbyi,72,CRW_t_A_4110,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi,72,CRW_t_A_4111,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halobacterium salinarum,72,CRW_t_A_4357,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Halobacterium salinarum,77,CRW_t_A_4358,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii,71,CRW_t_A_4359,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloferax volcanii,75,CRW_t_A_4360,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloferax volcanii,75,CRW_t_A_4361,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloferax volcanii,75,CRW_t_A_4362,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halobacterium salinarum,75,CRW_t_A_4363,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax mediterranei,72,CRW_t_A_4364,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4368,Archaea,Euryarchaeota,Methanococcales,Methanococci
Methanocaldococcus jannaschii DSM 2661,74,CRW_t_A_4369,Archaea,Euryarchaeota,Methanococcales,Methanococci
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4370,Archaea,Euryarchaeota,Methanococcales,Methanococci
Methanospirillum hungatei,73,CRW_t_A_4381,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Natronococcus amylolyticus,76,CRW_t_A_4386,Archaea,Euryarchaeota,Natrialbales,Halobacteria
Pyrococcus furiosus,78,CRW_t_A_4406,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermococcus celer,77,CRW_t_A_4431,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanococcus vannielii,73,CRW_t_A_4459,Archaea,Euryarchaeota,Methanococcales,Methanococci
Halobacterium salinarum,75,CRW_t_A_4464,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Halobacterium salinarum,72,CRW_t_A_4466,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Thermoproteus tenax,72,CRW_t_A_4470,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Thermoproteus tenax,72,CRW_t_A_4471,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Methanothermobacter thermautotrophicus,75,CRW_t_A_4477,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosarcina mazei,73,CRW_t_A_4497,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Natrialba magadii,75,CRW_t_A_4502,Archaea,Euryarchaeota,Natrialbales,Halobacteria
Halococcus morrhuae,63,CRW_t_A_4504,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_4621,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Methanosarcina mazei Go1,73,CRW_t_A_4654,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,73,CRW_t_A_4655,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Pyrococcus furiosus DSM 3638,76,CRW_t_A_4674,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanopyrus kandleri AV19,78,CRW_t_A_4676,Archaea,Euryarchaeota,Methanopyrales,Methanopyri
Thermoplasma acidophilum,73,CRW_t_A_4893,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
uncultured methanogenic archaeon,73,CRW_t_A_4929,Archaea,Euryarchaeota,,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_4932,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermococcus kodakarensis KOD1,76,CRW_t_A_4988,Archaea,Euryarchaeota,Thermococcales,Thermococci
Haloarcula marismortui ATCC 43049,73,CRW_t_A_5058,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Pyrococcus horikoshii OT3,76,CRW_t_A_5073,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermoplasma volcanium GSS1,73,CRW_t_A_5084,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5258,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5259,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5260,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5261,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanospirillum hungatei JF-1,73,CRW_t_A_5328,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanococcoides burtonii DSM 6242,73,CRW_t_A_5358,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Hyperthermus butylicus DSM 5456,76,CRW_t_A_5492,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Methanocorpusculum labreanum Z,73,CRW_t_A_5534,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Natronomonas pharaonis DSM 2160,73,CRW_t_A_5596,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii DS2,76,CRW_t_A_5697,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_5703,Archaea,Euryarchaeota,Methanococcales,Methanococci
Halobacterium salinarum,76,CRW_t_A_5710,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Methanothermobacter thermautotrophicus,78,CRW_t_A_5735,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Halobacterium salinarum,76,CRW_t_A_5767,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Methanothermobacter thermautotrophicus,78,CRW_t_A_5770,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosarcina mazei Go1,73,CRW_t_A_5919,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Pyrococcus furiosus DSM 3638,78,CRW_t_A_5936,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanopyrus kandleri AV19,78,CRW_t_A_5938,Archaea,Euryarchaeota,Methanopyrales,Methanopyri
Thermoplasma acidophilum,73,CRW_t_A_6164,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
uncultured methanogenic archaeon,73,CRW_t_A_6199,Archaea,Euryarchaeota,,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_6203,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermococcus kodakarensis KOD1,78,CRW_t_A_6254,Archaea,Euryarchaeota,Thermococcales,Thermococci
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6356,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6357,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Pyrococcus horikoshii OT3,78,CRW_t_A_6446,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermoplasma volcanium GSS1,73,CRW_t_A_6455,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Sulfolobus acidocaldarius DSM 639,70,CRW_t_A_6626,Archaea,Crenarchaeota,Sulfolobales,Thermoprotei
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_6652,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosphaera stadtmanae DSM 3091,72,CRW_t_A_6653,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanococcoides burtonii DSM 6242,73,CRW_t_A_6762,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Hyperthermus butylicus DSM 5456,78,CRW_t_A_6902,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Methanocorpusculum labreanum Z,73,CRW_t_A_6942,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanocorpusculum labreanum Z,73,CRW_t_A_6943,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Natronomonas pharaonis DSM 2160,73,CRW_t_A_7019,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii,76,CRW_t_A_7048,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanobacterium formicicum,74,CRW_t_A_7050,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanococcus vannielii,75,CRW_t_A_7051,Archaea,Euryarchaeota,Methanococcales,Methanococci
Haloferax volcanii,76,CRW_t_A_7126,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_7129,Archaea,Euryarchaeota,Methanococcales,Methanococci
Thermococcus celer,78,CRW_t_A_7154,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanococcus vannielii,76,CRW_t_A_7181,Archaea,Euryarchaeota,Methanococcales,Methanococci
Methanococcus vannielii,75,CRW_t_A_7182,Archaea,Euryarchaeota,Methanococcales,Methanococci
Thermococcus celer,78,CRW_t_A_7193,Archaea,Euryarchaeota,Thermococcales,Thermococci
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_7310,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Methanosarcina mazei Go1,72,CRW_t_A_7326,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,72,CRW_t_A_7327,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,72,CRW_t_A_7328,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Pyrococcus furiosus DSM 3638,75,CRW_t_A_7334,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanopyrus kandleri AV19,78,CRW_t_A_7335,Archaea,Euryarchaeota,Methanopyrales,Methanopyri
uncultured methanogenic archaeon,72,CRW_t_A_7426,Archaea,Euryarchaeota,,
Haloquadratum walsbyi DSM 16790,79,CRW_t_A_7428,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermococcus kodakarensis KOD1,75,CRW_t_A_7452,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus horikoshii OT3,75,CRW_t_A_7538,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7620,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7621,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanospirillum hungatei JF-1,72,CRW_t_A_7661,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7671,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7672,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7673,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Hyperthermus butylicus DSM 5456,79,CRW_t_A_7741,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Methanocorpusculum labreanum Z,72,CRW_t_A_7768,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Natronomonas pharaonis DSM 2160,76,CRW_t_A_7799,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloquadratum walsbyi,76,CRW_t_A_7899,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi,76,CRW_t_A_7900,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halobacterium salinarum,75,CRW_t_A_7925,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Methanocaldococcus jannaschii DSM 2661,72,CRW_t_A_7927,Archaea,Euryarchaeota,Methanococcales,Methanococci
Pyrococcus furiosus DSM 3638,77,CRW_t_A_7997,Archaea,Euryarchaeota,Thermococcales,Thermococci
Archaeoglobus fulgidus DSM 4304,75,CRW_t_A_8063,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Methanosarcina mazei Go1,78,CRW_t_A_8103,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,78,CRW_t_A_8104,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,75,CRW_t_A_8105,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8124,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8125,Archaea,Euryarchaeota,Thermococcales,Thermococci
Picrophilus torridus DSM 9790,75,CRW_t_A_8284,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
uncultured methanogenic archaeon,75,CRW_t_A_8630,Archaea,Euryarchaeota,,
uncultured methanogenic archaeon,75,CRW_t_A_8631,Archaea,Euryarchaeota,,
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8636,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8637,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermococcus kodakarensis KOD1,78,CRW_t_A_8690,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermococcus kodakarensis KOD1,78,CRW_t_A_8691,Archaea,Euryarchaeota,Thermococcales,Thermococci
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8834,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8835,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8836,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Pyrococcus horikoshii OT3,78,CRW_t_A_8904,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus horikoshii OT3,78,CRW_t_A_8905,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermoplasma volcanium GSS1,75,CRW_t_A_8917,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Thermoplasma volcanium GSS1,75,CRW_t_A_8918,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9146,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9147,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina barkeri str. Fusaro,75,CRW_t_A_9148,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9149,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9150,Archaea,Euryarchaeota,Methanobacteriales,Methanobacteria
Methanospirillum hungatei JF-1,75,CRW_t_A_9237,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9272,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9273,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9453,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9454,Archaea,Crenarchaeota,Desulfurococcales,Thermoprotei
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9589,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9590,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii,78,CRW_t_A_9695,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloferax volcanii,78,CRW_t_A_9713,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanocaldococcus jannaschii,75,CRW_t_A_9717,Archaea,Euryarchaeota,Methanococcales,Methanococci
Haloferax volcanii,78,CRW_t_A_9746,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloferax volcanii,78,CRW_t_A_9747,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9751,Archaea,Euryarchaeota,Methanococcales,Methanococci
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9752,Archaea,Euryarchaeota,Methanococcales,Methanococci
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9979,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9980,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Methanosarcina mazei Go1,73,CRW_t_A_10016,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
