Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.unknown 0,Taxonomy.ENA.species group
uncultured Bacteroidetes bacterium,AY933628,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2480,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Thiotrichales bacterium,AY934282,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2853,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Thiotrichales bacterium,AY934284,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2854,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Thiotrichales bacterium,AY934285,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2855,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Chromatiales bacterium,AY934286,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2856,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured gamma proteobacterium,AY934292,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2857,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934293,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2858,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934294,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2859,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Chromatiales bacterium,AY934295,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2860,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934296,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2861,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934299,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2862,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934300,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2863,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934301,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2864,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934302,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2865,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934303,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2866,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934304,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2867,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Marinobacter sp.,AY934306,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2869,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured Marinobacter sp.,AY934308,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2871,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured Chromatiales bacterium,AY934312,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2875,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934313,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2876,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Marinobacter sp.,AY934318,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2879,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured Chromatiales bacterium,AY934319,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2880,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934320,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2881,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured gamma proteobacterium,AY934321,76,36,40,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_2882,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934323,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2883,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Marinobacter sp.,AY934326,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2885,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured Chromatiales bacterium,AY934330,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2889,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934331,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2890,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured gamma proteobacterium,AY934332,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2891,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Chromatiales bacterium,AY934334,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2892,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934335,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2893,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934337,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2894,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured gamma proteobacterium,AY934338,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2895,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Chromatiales bacterium,AY934340,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2897,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934341,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2898,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured gamma proteobacterium,AY934343,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2899,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Marinobacter sp.,AY934345,76,40,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2900,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured Chromatiales bacterium,AY934348,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2903,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Marinobacter sp.,AY934349,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2904,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured gamma proteobacterium,AY934350,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2905,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Marinobacter sp.,AY934353,76,42,34,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2908,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured gamma proteobacterium,AY934354,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2909,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Marinobacter sp.,AY934358,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2911,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,
uncultured gamma proteobacterium,AY934359,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2912,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Thiotrichales bacterium,AY934364,76,36,40,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2914,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Chromatiales bacterium,AY934365,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2915,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934366,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2916,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Pseudoalteromonas sp.,AY934367,76,36,40,No,0,tRNA,0,(()()()),((()()())),--,No,CRW,--,CRW_t_B_2917,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,
uncultured Thiotrichales bacterium,AY934369,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2919,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Thiotrichales bacterium,AY934370,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2920,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Chromatiales bacterium,AY934373,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2923,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934374,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2924,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Chromatiales bacterium,AY934375,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2925,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Thiotrichales bacterium,AY934377,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2927,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Chromatiales bacterium,AY934378,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2928,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Thiotrichales bacterium,AY934380,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2930,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Pseudoalteromonas sp.,AY934384,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2934,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,
uncultured Thiotrichales bacterium,AY934388,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2937,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Thiotrichales,,,,
uncultured Shewanellaceae bacterium,AY934392,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2940,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Shewanellaceae,,,
uncultured gamma proteobacterium,AY934394,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2941,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934399,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2944,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Chromatiales bacterium,AY934400,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2945,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Chromatiales,,,,
uncultured Pseudoalteromonas sp.,AY934402,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2947,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,
uncultured Pseudoalteromonas sp.,AY934405,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2949,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,
uncultured gamma proteobacterium,AY934408,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2951,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934413,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2956,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934414,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2957,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934415,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2958,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934416,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2959,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934418,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2960,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Shewanellaceae bacterium,AY934420,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2962,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Shewanellaceae,,,
uncultured gamma proteobacterium,AY934425,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2966,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
Lactobacillus sakei subsp. sakei 23K,CR936503,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3911,--,Yes,Bacteria,Firmicutes,,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,
Candidatus Liberibacter asiaticus,U61359,76,42,34,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4371,--,Yes,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,Candidatus Liberibacter,
Burkholderia cepacia,L28151,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4394,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,Burkholderia cepacia complex
Burkholderia cepacia,L28152,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4395,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,Burkholderia cepacia complex
Burkholderia cepacia,L28154,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4396,--,Yes,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,Burkholderia cepacia complex
Thermus thermophilus HB27,AE017221,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6052,--,Yes,Bacteria,Deinococcus-Thermus,,Deinococci,Thermales,Thermaceae,Thermus,,
Geobacillus kaustophilus HTA426,BA000043,76,46,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6495,--,Yes,Bacteria,Firmicutes,,Bacilli,Bacillales,Bacillaceae,Geobacillus,,Geobacillus thermoleovorans group
Geobacillus kaustophilus HTA426,BA000043,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6496,--,Yes,Bacteria,Firmicutes,,Bacilli,Bacillales,Bacillaceae,Geobacillus,,Geobacillus thermoleovorans group
Erwinia amylovora,AF290419,77,41,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8393,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,
Buchnera aphidicola str. APS (Acyrthosiphon pisum),BA000003,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_14772,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,
uncultured delta proteobacterium,AY934014,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18283,--,Yes,Bacteria,Proteobacteria,environmental samples,Deltaproteobacteria,,,,,
uncultured marine bacterium,AY934042,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18308,--,Yes,Bacteria,,environmental samples,,,,,,
uncultured gamma proteobacterium,AY934048,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18314,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934054,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18320,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured gamma proteobacterium,AY934135,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18380,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Pseudoalteromonas sp.,AY934136,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18381,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,
uncultured Colwelliaceae bacterium,AY934151,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18396,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Colwelliaceae,,,
uncultured gamma proteobacterium,AY934183,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18428,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
uncultured Shewanellaceae bacterium,AY934404,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18626,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,Alteromonadales,Shewanellaceae,,,
uncultured gamma proteobacterium,AY934419,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18640,--,Yes,Bacteria,Proteobacteria,environmental samples,Gammaproteobacteria,,,,,
Geobacillus kaustophilus HTA426,BA000043,77,41,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18721,--,Yes,Bacteria,Firmicutes,,Bacilli,Bacillales,Bacillaceae,Geobacillus,,Geobacillus thermoleovorans group
Geobacillus kaustophilus HTA426,BA000043,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20948,--,Yes,Bacteria,Firmicutes,,Bacilli,Bacillales,Bacillaceae,Geobacillus,,Geobacillus thermoleovorans group
Xylella fastidiosa 9a5c,AE003849,77,39,38,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_22048,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,
Pseudomonas aeruginosa PAO1,AE004091,77,39,38,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_22050,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,
Xylella fastidiosa Temecula1,AE009442,77,39,38,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_22084,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,
Porphyromonas gingivalis W83,AE015924,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22162,--,Yes,Bacteria,Bacteroidetes,,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22206,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,
Francisella tularensis subsp. holarctica LVS,AM233362,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22521,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,,
Xanthomonas oryzae pv. oryzae MAFF 311018,AP008229,76,38,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22619,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,
Buchnera aphidicola str. APS (Acyrthosiphon pisum),BA000003,77,39,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22681,--,Yes,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,
