Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.genus,Taxonomy.ENA.class,Taxonomy.ENA.family,Taxonomy.ENA.no rank 0,Taxonomy.ENA.unknown 0,Taxonomy.ENA.tribe,Taxonomy.ENA.species group,Taxonomy.ENA.suborder,Taxonomy.ENA.subgenus,Taxonomy.ENA.subclass
Campylobacter jejuni,AF074833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_588,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_589,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_590,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_591,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter coli,AF074837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_592,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter coli,AF074838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_593,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter coli,AF074839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_594,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter coli,AF074840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_595,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_861,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338161,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_862,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_863,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_866,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_868,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Bradyrhizobium denitrificans,AF338168,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_869,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bradyrhizobium,Alphaproteobacteria,Bradyrhizobiaceae,,,,,,,
Rhodobacter sphaeroides,AF338182,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_879,--,Yes,Bacteria,Proteobacteria,Rhodobacterales,Rhodobacter,Alphaproteobacteria,Rhodobacteraceae,,,,,,,
Pseudomonas aeruginosa,AJ439388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1413,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Pseudomonas aeruginosa,AJ439389,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1414,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Pseudomonas aeruginosa,AJ439390,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1415,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Pseudomonas aeruginosa,AJ439391,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1416,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Pseudomonas aeruginosa,AJ439392,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1417,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3936,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Gramella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3937,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Gramella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3938,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Gramella,Flavobacteriia,Flavobacteriaceae,,,,,,,
uncultured marine bacterium Ant39E11,DQ295241,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4106,--,Yes,Bacteria,,,,,,environmental samples,,,,,,
Riemerella anatipestifer,DQ399763,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4197,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399764,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4198,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399765,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4199,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399766,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4200,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399767,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4201,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399768,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4202,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399769,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4203,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399770,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4204,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399771,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4205,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399772,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4206,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399773,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4207,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399774,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4208,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399775,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4209,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399776,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4210,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399777,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4211,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399778,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4212,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4213,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399780,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4214,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399781,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4215,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399782,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4216,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399783,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4217,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399784,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4218,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399785,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4219,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399786,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4220,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Riemerella anatipestifer,DQ399787,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4221,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Riemerella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Xylophilus ampelinus,U76357,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4535,--,Yes,Bacteria,Proteobacteria,Burkholderiales,Xylophilus,Betaproteobacteria,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4631,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xylella,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Xylella fastidiosa Temecula1,AE009442,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4665,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xylella,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_B_4725,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Porphyromonas,Bacteroidia,Porphyromonadaceae,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4729,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroidia,Bacteroidaceae,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4730,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroidia,Bacteroidaceae,,,,,,,
Yersinia pestis,AF069749,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4831,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Yersinia,Gammaproteobacteria,Yersiniaceae,,,,,,,
Escherichia coli,AF135406,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4833,--,Yes,Bacteria,Proteobacteria,,Escherichia,Gammaproteobacteria,Enterobacteriaceae,,Enterobacteriales,,,,,
Pseudomonas aeruginosa,AF236052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4841,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Xanthomonas campestris pv. vesicatoria str. 85-10,AM039952,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4924,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xanthomonas,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Bacteroides fragilis YCH46,AP006841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4986,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroidia,Bacteroidaceae,,,,,,,
Xanthomonas oryzae pv. oryzae MAFF 311018,AP008229,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5021,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xanthomonas,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Bartonella quintana str. Toulouse,BX897700,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5159,--,Yes,Bacteria,Proteobacteria,Rhizobiales,Bartonella,Alphaproteobacteria,Bartonellaceae,,,,,,,
Xanthomonas campestris pv. campestris str. 8004,CP000050,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5226,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xanthomonas,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5397,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5398,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Bacteroides fragilis NCTC 9343,CR626927,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5588,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroidia,Bacteroidaceae,,,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5600,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5601,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5602,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5603,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Pseudoalteromonas,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5611,--,Yes,Bacteria,Bacteroidetes,Flavobacteriales,Gramella,Flavobacteriia,Flavobacteriaceae,,,,,,,
Escherichia coli,M35841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5674,--,Yes,Bacteria,Proteobacteria,,Escherichia,Gammaproteobacteria,Enterobacteriaceae,,Enterobacteriales,,,,,
Vibrio cholerae,AE004132,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5720,--,Yes,Bacteria,Proteobacteria,Vibrionales,Vibrio,Gammaproteobacteria,Vibrionaceae,,,,,,,
Acholeplasma laidlawii,X61066,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5784,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Acholeplasma,Mollicutes,Acholeplasmataceae,,,,,,,
Bacillus halodurans,AB031213,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5834,--,Yes,Bacteria,Firmicutes,Bacillales,Bacillus,Bacilli,Bacillaceae,,,,,,,
Bacillus halodurans,AB031215,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5835,--,Yes,Bacteria,Firmicutes,Bacillales,Bacillus,Bacilli,Bacillaceae,,,,,,,
Campylobacter lari,AB211985,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5843,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Xylella fastidiosa 9a5c,AE003849,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5893,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xylella,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Pseudomonas aeruginosa PAO1,AE004091,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5897,--,Yes,Bacteria,Proteobacteria,Pseudomonadales,Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,,,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5909,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5910,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5911,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Xylella fastidiosa Temecula1,AE009442,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5926,--,Yes,Bacteria,Proteobacteria,Xanthomonadales,Xylella,Gammaproteobacteria,Xanthomonadaceae,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5948,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5949,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5950,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Shigella,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5954,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Escherichia,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5955,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Escherichia,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5956,--,Yes,Bacteria,Proteobacteria,Enterobacterales,Escherichia,Gammaproteobacteria,Enterobacteriaceae,,,,,,,
Bifidobacterium longum NCC2705,AE014295,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5966,--,Yes,Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacterium,,Bifidobacteriaceae,,,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5971,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Shewanella,Gammaproteobacteria,Shewanellaceae,,,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5972,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Shewanella,Gammaproteobacteria,Shewanellaceae,,,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5973,--,Yes,Bacteria,Proteobacteria,Alteromonadales,Shewanella,Gammaproteobacteria,Shewanellaceae,,,,,,,
