Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.tribe,Taxonomy.ENA.species group,Taxonomy.ENA.species subgroup,Taxonomy.ENA.subgenus,Taxonomy.ENA.no rank 0,Taxonomy.ENA.unknown 0,Taxonomy.ENA.subclass,Taxonomy.ENA.suborder,Taxonomy.ENA.no rank 1
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_398,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_399,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_400,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_401,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_402,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,,,,
Rickettsia typhi str. Wilmington,AE017197,75,31,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_476,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsieae,typhus group,,,,,,,
Thermus thermophilus HB27,AE017221,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_485,--,Yes,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,
Treponema denticola ATCC 35405,AE017226,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_496,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,
Xanthomonas campestris pv. campestris,AF064520,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_578,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,,,,
Pseudomonas fluorescens,AF134704,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_652,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
spirochete isolate 1-9185MED,AF179256,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_747,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,,,,,,,,,,
spirochete isolate 2-1498,AF179262,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_750,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,,,,,,,,,,
Treponema denticola,AF179264,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_751,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,
Treponema phagedenis,AF179266,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_752,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,
Treponema vincentii,AF209195,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_778,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,
Neisseria gonorrhoeae,AF223396,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_783,--,Yes,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,,,,,,,,
Neisseria gonorrhoeae,AF223397,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_784,--,Yes,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,,,,,,,,
Neisseria gonorrhoeae,AF223398,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_785,--,Yes,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,,,,,,,,
Neisseria gonorrhoeae,AF223399,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_786,--,Yes,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,,,,,,,,
Pectobacterium wasabiae,AF234277,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_789,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,,,,,,,,,
Carnobacterium gallinarum,AF374288,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_952,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,,,,,,,
Carnobacterium mobile,AF374290,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_953,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,,,,,,,
Candidatus Kuenenia stuttgartiensis,AF375995,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_959,--,Yes,Bacteria,Planctomycetes,Planctomycetia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Kuenenia,,,,,,,,,
Treponema medium,AF378326,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_960,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,
Corynebacterium glutamicum,AF435074,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1064,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,,,,,,,,
Bacillus amyloliquefaciens,AF478079,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1096,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,Bacillus amyloliquefaciens group,,,,,,
Bacillus licheniformis,AF478087,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1098,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,,,,
Brevibacillus borstelensis,AF478092,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1099,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,,,,,,,,
Brevibacillus borstelensis,AF478093,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1100,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,,,,,,,,
Brevibacillus parabrevis,AF478097,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1101,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,,,,,,,,
Bacillus lentus,AF478110,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1102,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,,,,
Lactobacillus farciminis,AF500491,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1106,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,
Lactobacillus alimentarius,AF500493,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1107,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,
Acetobacter aceti,AJ007831,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1299,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,,,,Acetobacter subgen. Acetobacter,,,,,
Gluconacetobacter liquefaciens,AJ007833,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1301,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,,,,,,,,,
Acetobacter pasteurianus,AJ007834,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1302,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,,,,,,,,,
Streptomyces violaceoruber,AJ011500,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1303,--,Yes,Bacteria,Actinobacteria,,Streptomycetales,Streptomycetaceae,Streptomyces,,,,,,,,,
Pseudomonas stutzeri,AJ251900,75,33,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_1327,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251901,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1328,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251902,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1329,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251903,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1330,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251904,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1331,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251905,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1332,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251906,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1333,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251907,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1334,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251908,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1335,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251909,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1336,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ251910,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1337,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas balearica,AJ279238,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1340,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas balearica,AJ279239,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1341,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas chlororaphis,AJ279240,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1342,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas cichorii,AJ279242,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1343,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas agarici,AJ279243,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1344,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas tolaasii,AJ279244,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1345,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390581,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1374,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390582,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1375,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390583,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1376,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390584,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1377,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390585,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1378,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390586,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1379,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390587,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1380,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390588,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1381,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390589,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1382,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ390590,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1383,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Bartonella henselae,AJ441256,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1437,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,,,,,,,
Bartonella henselae,AJ441257,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1438,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,,,,,,,
Limnothrix redekei CCAP 1443/1,AJ580007,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1462,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Pseudanabaenaceae,Limnothrix,,,,,,,,,
Pseudomonas stutzeri,AJ635305,75,33,42,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_1483,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635306,75,33,42,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_1484,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635307,75,33,42,No,0,tRNA,0,(()()),(()()),--,No,CRW,--,CRW_t_B_1485,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635308,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1486,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635309,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1487,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635310,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1488,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635311,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1489,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635312,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1490,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Pseudomonas stutzeri,AJ635313,75,33,42,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_B_1491,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,
Caulobacter vibrioides,L00194,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1862,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,,,,,,,,
uncultured Pseudomonas sp.,AY239616,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2066,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,environmental samples,,,,
Vibrio parahaemolyticus,AY245224,74,34,40,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2078,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,,,,,,,
uncultured Acidobacteria bacterium,AY281352,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2101,--,Yes,Bacteria,Acidobacteria,,,,,,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY579976,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2270,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,,environmental samples,,,,
uncultured Synechococcus sp.,AY579978,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2272,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,,,environmental samples,,,,
Streptococcus suis,AY585196,74,34,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2300,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,,,,
Streptococcus suis,AY585199,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2303,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,,,,
Dysgonomonas wimpennyi,AY704409,74,38,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2346,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,,,,,,,,,
Borrelia hermsii,AY836547,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2420,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Borreliaceae,Borrelia,,,,,,,,,
Borrelia garinii,AY836549,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2422,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Borreliaceae,Borreliella,,,,,,,,,
uncultured Bacteroidetes bacterium,AY933605,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2470,--,Yes,Bacteria,Bacteroidetes,,,,,,,,,environmental samples,,,,
uncultured Bacteroidetes bacterium,AY933611,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2474,--,Yes,Bacteria,Bacteroidetes,,,,,,,,,environmental samples,,,,
uncultured Bacteroidetes bacterium,AY933612,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2475,--,Yes,Bacteria,Bacteroidetes,,,,,,,,,environmental samples,,,,
uncultured Bacteroidetes bacterium,AY933614,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2476,--,Yes,Bacteria,Bacteroidetes,,,,,,,,,environmental samples,,,,
uncultured Bacteroidetes bacterium,AY933620,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2477,--,Yes,Bacteria,Bacteroidetes,,,,,,,,,environmental samples,,,,
uncultured gamma proteobacterium,AY934054,74,38,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2675,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,,,,environmental samples,,,,
