Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.species group,Taxonomy.ENA.unknown 0,Taxonomy.ENA.no rank 0,Taxonomy.ENA.suborder
Nocardia farcinica IFM 10152,AP006618,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7442,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Nocardiaceae,Nocardia,,,,
Symbiobacterium thermophilum IAM 14863,AP006840,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7448,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,,,,
Symbiobacterium thermophilum IAM 14863,AP006840,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7449,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,,,,
Geobacter sulfurreducens PCA,AE017180,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8251,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8273,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8278,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8279,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9038,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9043,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9044,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Pelobacter carbinolicus DSM 2380,CP000142,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9179,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,,,
Pelobacter carbinolicus DSM 2380,CP000142,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9180,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,,,
Geobacter metallireducens GS-15,CP000148,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9181,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,,,,
Salinibacter ruber DSM 13855,CP000159,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9191,--,Yes,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,,,,
Cytophaga hutchinsonii ATCC 33406,CP000383,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9318,--,Yes,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,,,,
Cytophaga hutchinsonii ATCC 33406,CP000383,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9319,--,Yes,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,,,,
Syntrophobacter fumaroxidans MPOB,CP000478,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9433,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,,,,
Pelobacter propionicus DSM 2379,CP000482,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9441,--,Yes,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9442,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9443,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9448,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Leifsonia xyli subsp. xyli str. CTCB07,AE016822,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_10100,--,Yes,Bacteria,Actinobacteria,,Micrococcales,Microbacteriaceae,Leifsonia,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10144,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10145,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10146,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10147,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10460,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10461,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10462,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10463,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10756,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10757,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10758,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10759,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_11499,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_11501,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_11504,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_12352,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_12354,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_12357,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13000,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13002,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13005,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13006,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
Escherichia coli,M29107,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13406,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Enterobacteriaceae,Escherichia,,Enterobacteriales,,
Campylobacter jejuni,Y17167,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13653,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_14981,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,,,,
Acinetobacter genomosp. 13,U60281,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15486,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,
Bradyrhizobium elkanii,AB100744,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15539,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Bradyrhizobium elkanii,AB100745,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15540,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Acinetobacter baumannii,U60279,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15654,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,
Acinetobacter calcoaceticus,U60278,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15675,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,
Sugarcane yellows phytoplasma type I,AF090169,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16012,--,Yes,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,,,,
Candidatus Phytoplasma ziziphi,AF305240,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16271,--,Yes,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,16SrV (Elm yellows group),,,
Bradyrhizobium denitrificans,AF338168,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16308,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
'Helichrysum bracteatum' phytoplasma,AF515771,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16714,--,Yes,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,,,,
Weeping tea tree witches'-broom phytoplasma,AF521672,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16717,--,Yes,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,,,,
Bacillus thuringiensis,AJ420059,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16863,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,,,
uncultured Acidobacteria bacterium,AY281352,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17423,--,Yes,Bacteria,Acidobacteria,,,,,,,environmental samples,
Bradyrhizobium japonicum,AY386713,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17470,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Bradyrhizobium genosp. beta,AY386715,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17472,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Bradyrhizobium genosp. beta,AY386721,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17476,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Bradyrhizobium genosp. beta,AY386722,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17477,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Bradyrhizobium yuanmingense,AY386734,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17478,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,
Rhizobium leguminosarum bv. viciae,AY491944,78,34,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_17508,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,Rhizobium/Agrobacterium group,
Rhizobium leguminosarum bv. viciae,AY491945,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17509,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,Rhizobium/Agrobacterium group,
Rhizobium leguminosarum bv. viciae,AY491946,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17510,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,Rhizobium/Agrobacterium group,
Rhizobium leguminosarum bv. viciae,AY491947,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17511,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,Rhizobium/Agrobacterium group,
