Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.no rank 0,Taxonomy.ENA.subclass,Taxonomy.ENA.unknown 0
Buchnera aphidicola,U10501,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8982,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,,
Lactobacillus delbrueckii,X15246,68,28,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9722,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,
Lactobacillus delbrueckii,X15246,67,27,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9829,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,
Bacillus subtilis subsp. subtilis str. 168,Z99104,69,29,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9886,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,
Bacillus subtilis,AB002150,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9894,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,
Bradyrhizobium japonicum,AB282940,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9940,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282941,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9941,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282942,60,38,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9942,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Shigella sonnei Ss046,CP000038,70,28,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_12438,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,
Campylobacter jejuni,AF074828,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15979,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074829,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15980,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074830,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15981,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074831,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15982,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074832,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15983,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074833,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15984,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074834,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15985,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074835,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15986,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter jejuni,AF074836,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15987,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter coli,AF074837,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15988,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter coli,AF074838,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15989,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter coli,AF074840,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15990,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Campylobacter lari,AF074841,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15991,--,Yes,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,
Microcystis aeruginosa,AF102138,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16018,--,Yes,Bacteria,Cyanobacteria,,Chroococcales,Microcystaceae,Microcystis,,Oscillatoriophycideae,
Synechococcus elongatus PCC 7942,AF105125,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16019,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,,
Anabaena cylindrica,AF105130,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16024,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,,,
Nostoc sp. PCC 7120,AF105132,70,34,36,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_16026,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,
Fischerella muscicola,AF105134,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16028,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Hapalosiphonaceae,Fischerella,,,
Nostoc linckia,AF105138,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16032,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,
Pseudomonas fluorescens,AF134704,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16053,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,
Pseudomonas fluorescens,AF134705,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16054,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,
Listeria monocytogenes,AF514305,68,36,32,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16700,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,,,
Listeria monocytogenes,AF514306,63,41,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16701,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,,,
Listonella anguillarum,AY227665,51,31,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17372,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,
uncultured Pseudomonas sp.,AY239616,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17377,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,environmental samples,,
Weissella halotolerans,AY342328,60,40,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17447,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,,,
Ralstonia solanacearum,AY383556,69,39,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17459,--,Yes,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,,,
Nostoc sp. PCC 7120,AY768368,63,37,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17761,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,
Leptolyngbya sp. PCC 7410,AY768369,63,37,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17762,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Leptolyngbyaceae,Leptolyngbya,,,
Nostoc punctiforme,AY768370,54,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17763,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,,,
Gloeobacter violaceus PCC 7421,AY768373,56,34,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17766,--,Yes,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,,,
Lyngbya aestuarii PCC 7419,AY768375,55,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17768,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Lyngbya,,Oscillatoriophycideae,
Microcoleus sp. PCC 8701,AY768377,57,35,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17770,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus,,Oscillatoriophycideae,
Oscillatoria sancta PCC 7515,AY768378,57,35,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17771,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,,Oscillatoriophycideae,
Nodularia harveyana,AY768379,55,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17772,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Aphanizomenonaceae,Nodularia,,,
Oscillatoria sp. CCAP 1459/26,AY768380,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17773,--,Yes,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,,Oscillatoriophycideae,
Anabaena sp. PCC 9109,AY768382,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17775,--,Yes,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,,,
uncultured gamma proteobacterium,AY934128,70,44,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18373,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,environmental samples,,
uncultured gamma proteobacterium,AY934406,65,41,24,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18628,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,environmental samples,,
uncultured proteobacterium,DQ834353,60,40,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19740,--,Yes,Bacteria,Proteobacteria,,,,,environmental samples,,
Listeria monocytogenes,S83265,64,38,26,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_19933,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,,,
Bradyrhizobium japonicum,AB282946,68,38,30,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_20213,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282947,68,38,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20214,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282948,67,37,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20215,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Vibrio cholerae,AY847461,58,36,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22670,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,
Bradyrhizobium japonicum,AB282937,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24310,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282938,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24311,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB282939,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24312,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Salmonella enterica subsp. enterica serovar Typhi,AL627282,64,42,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_26972,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Enterobacteriaceae,Salmonella,,,Enterobacteriales
Escherichia coli,DQ023207,69,39,30,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_30367,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Enterobacteriaceae,Escherichia,,,Enterobacteriales
Escherichia coli,DQ023212,67,37,30,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_30368,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Enterobacteriaceae,Escherichia,,,Enterobacteriales
Bradyrhizobium japonicum,AB282950,62,42,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_31417,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Zymomonas mobilis,AF180145,67,39,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31716,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Zymomonas,,,
Streptococcus agalactiae,AF302130,69,29,40,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_32993,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,
Streptococcus agalactiae,AF302131,70,28,42,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_32994,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,
Acholeplasma laidlawii,--,70,30,40,No,0,tRNA,0,(()()()),(()()(())),--,No,RFAM,--,RFAM_t_B_35278,--,Yes,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,
