Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.phylum,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.class,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Campylobacter coli,AF074838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_593,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter coli,AF074839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_594,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter coli,AF074840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_595,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_861,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338161,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_862,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_863,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_866,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_868,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Bradyrhizobium denitrificans,AF338168,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_869,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Alphaproteobacteria,,,,,
Rhodobacter sphaeroides,AF338182,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_879,--,Yes,Bacteria,,Proteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Alphaproteobacteria,,,,,
Pseudomonas aeruginosa,AJ439388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1413,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa,AJ439389,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1414,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa,AJ439390,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1415,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa,AJ439391,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1416,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa,AJ439392,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1417,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3936,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,Flavobacteriaceae,Gramella,Bacteroidia,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3937,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,Flavobacteriaceae,Gramella,Bacteroidia,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3938,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,Flavobacteriaceae,Gramella,Bacteroidia,,,,,
uncultured marine bacterium Ant39E11,DQ295241,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4106,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,Cryomorphaceae,,Bacteroidia,Ant39E11,,,,
Riemerella anatipestifer,DQ399763,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4197,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399764,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4198,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399765,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4199,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399766,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4200,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399767,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4201,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399768,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4202,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399769,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4203,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399770,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4204,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399771,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4205,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399772,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4206,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399773,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4207,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399774,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4208,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399775,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4209,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399776,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4210,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399777,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4211,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399778,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4212,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4213,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399780,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4214,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399781,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4215,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399782,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4216,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399783,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4217,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399784,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4218,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399785,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4219,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399786,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4220,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Riemerella anatipestifer,DQ399787,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4221,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,,Riemerella,Bacteroidia,Weeksellaceae,,,,
Xylophilus ampelinus,U76357,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4535,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Xylophilus,Gammaproteobacteria,,,,,
Xylella fastidiosa 9a5c,AE003849,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4631,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Gammaproteobacteria,,,,,
Xylella fastidiosa Temecula1,AE009442,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4665,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Gammaproteobacteria,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_B_4725,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Porphyromonadaceae,Porphyromonas,Bacteroidia,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4729,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidia,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4730,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidia,,,,,
Yersinia pestis,AF069749,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4831,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Gammaproteobacteria,,,,,
Escherichia coli,AF135406,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4833,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa,AF236052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4841,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Xanthomonas campestris pv. vesicatoria str. 85-10,AM039952,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4924,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Gammaproteobacteria,,,,,
Bacteroides fragilis YCH46,AP006841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4986,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidia,,,,,
Xanthomonas oryzae pv. oryzae MAFF 311018,AP008229,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5021,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Gammaproteobacteria,,,,,
Bartonella quintana str. Toulouse,BX897700,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5159,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Alphaproteobacteria,,,,,
Xanthomonas campestris pv. campestris str. 8004,CP000050,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5226,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5397,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5398,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Bacteroides fragilis NCTC 9343,CR626927,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5588,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidia,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5600,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Gammaproteobacteria,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5601,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Gammaproteobacteria,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5602,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Gammaproteobacteria,,,,,
Pseudoalteromonas haloplanktis TAC125,CR954246,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5603,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Gammaproteobacteria,,,,,
Gramella forsetii KT0803,CU207366,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5611,--,Yes,Bacteria,Bacteroidota,,Flavobacteriales,Flavobacteriaceae,Gramella,Bacteroidia,,,,,
Escherichia coli,M35841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5674,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Vibrio cholerae,AE004132,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5720,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Gammaproteobacteria,,,,,
Acholeplasma laidlawii,X61066,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5784,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Bacilli,,,,,
Bacillus halodurans,AB031213,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5834,--,Yes,Bacteria,,Firmicutes,Bacillales,Bacillaceae,Bacillus,Bacilli,,,,,
Bacillus halodurans,AB031215,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5835,--,Yes,Bacteria,,Firmicutes,Bacillales,Bacillaceae,Bacillus,Bacilli,,,,,
Campylobacter lari,AB211985,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5843,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Xylella fastidiosa 9a5c,AE003849,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5893,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Gammaproteobacteria,,,,,
Pseudomonas aeruginosa PAO1,AE004091,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5897,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5909,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5910,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 301,AE005674,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5911,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Xylella fastidiosa Temecula1,AE009442,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5926,--,Yes,Bacteria,,Proteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5948,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5949,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Shigella flexneri 2a str. 2457T,AE014073,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5950,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5954,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5955,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Escherichia coli CFT073,AE014075,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5956,--,Yes,Bacteria,Escherichia-Shigella,Proteobacteria,Enterobacterales,Enterobacteriaceae,,Gammaproteobacteria,,,,,
Bifidobacterium longum NCC2705,AE014295,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5966,--,Yes,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5971,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5972,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5973,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella oneidensis MR-1,AE014299,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5974,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
