Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.family,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_230,--,Yes,Bacteria,Thermotogae,,Thermotogales,Thermotogota,Thermotogaceae,,Thermotoga,,,
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_231,--,Yes,Bacteria,Thermotogae,,Thermotogales,Thermotogota,Thermotogaceae,,Thermotoga,,,
Treponema pallidum subsp. pallidum str. Nichols,AE000520,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_233,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetota,Spirochaetaceae,,Treponema,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_263,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_264,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_265,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae TIGR4,AE005672,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_266,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae R6,AE008386,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_292,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae R6,AE008537,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_293,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae R6,AE008546,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_294,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus pneumoniae R6,AE008552,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_295,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Leptospira interrogans serovar Lai str. 56601,AE010300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_323,--,Yes,Bacteria,,,Leptospirales,Spirochaetota,Leptospiraceae,Leptospirae,Leptospira,,,
Buchnera aphidicola str. Sg (Schizaphis graminum),AE013218,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_336,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Morganellaceae,,Buchnera,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_359,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_360,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_361,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_362,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus mutans UA159,AE014133,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_363,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014191,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_365,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014192,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_366,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014195,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_367,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014198,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_368,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014202,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_369,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014207,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_370,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Streptococcus agalactiae 2603V/R,AE014210,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_371,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Bifidobacterium longum NCC2705,AE014295,73,29,44,No,0,tRNA,0,(()()()),(()((()))()),--,No,CRW,--,CRW_t_B_372,--,Yes,Bacteria,Actinobacteria,,Bifidobacteriales,Actinobacteriota,Bifidobacteriaceae,,Bifidobacterium,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_406,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_407,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_408,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_409,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Vibrio vulnificus CMCP6,AE016795,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_410,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Vibrio vulnificus CMCP6,AE016796,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_411,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Vibrionaceae,,Vibrio,,,
Buchnera aphidicola str. Bp (Baizongia pistaciae),AE016826,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_429,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Morganellaceae,,Buchnera,,,
Buchnera aphidicola str. Bp (Baizongia pistaciae),AE016826,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_430,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Morganellaceae,,Buchnera,,,
Coxiella burnetii RSA 493,AE016828,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_435,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Coxiellales,Coxiellaceae,,Coxiella,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_437,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_438,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Enterococcus faecalis V583,AE016830,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_439,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_448,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_449,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus cereus ATCC 14579,AE016877,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_452,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus cereus ATCC 10987,AE017194,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_472,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus cereus ATCC 10987,AE017194,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_474,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Treponema denticola ATCC 35405,AE017226,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_495,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetota,Spirochaetaceae,,Treponema,,,
Wolbachia endosymbiont strain TRS of Brugia malayi,AE017321,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_513,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,Anaplasmataceae,,Wolbachia,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_518,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_519,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Bacillus anthracis str. 'Ames Ancestor',AE017334,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_521,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_522,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Idiomarinaceae,,Idiomarina,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_523,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Idiomarinaceae,,Idiomarina,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_524,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Idiomarinaceae,,Idiomarina,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_525,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Idiomarinaceae,,Idiomarina,,,
Idiomarina loihiensis L2TR,AE017340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_526,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,Idiomarinaceae,,Idiomarina,,,
Enterococcus faecium,AF003921,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_536,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Bacillus subtilis,AF008220,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_541,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Bacillus,,,
Cyanidium caldarium,AF022186,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_543,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Guillardia theta,AF041468,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_561,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Guillardia theta,AF041468,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_562,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Streptococcus agalactiae,AF064441,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_574,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Streptococcaceae,,Streptococcus,,,
Enterococcus faecium,AF070676,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_579,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Enterococcus faecium,AF070678,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_580,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Enterococcus faecium,AF082292,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_615,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Enterococcus faecium,AF082294,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_616,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,,Enterococcaceae,,Enterococcus,,,
Synechococcus elongatus PCC 7942,AF105125,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_621,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Cyanobacteriia,Synechococcaceae,Synechococcus PCC-7942,,,,
Anabaena cylindrica,AF105130,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_626,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Anabaena PCC-7122,,
Nostoc sp. PCC 7120,AF105132,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_628,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Fischerella muscicola,AF105134,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_630,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Fischerella PCC-9339,,
Nostoc linckia,AF105138,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_634,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Desmonostoc PCC-7422,,
Pseudomonas tolaasii,AF127578,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_638,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas tolaasii,AF127579,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_639,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas reactans,AF127580,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_640,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas reactans,AF127581,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_641,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas reactans,AF127582,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_642,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas gingeri,AF127583,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_643,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas gingeri,AF127584,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_644,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF127585,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_645,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF127586,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_646,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF127587,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_647,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF127588,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_648,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas agarici,AF127589,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_649,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas reactans,AF127590,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_650,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF127591,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_651,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF134705,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_653,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Pseudomonas fluorescens,AF148208,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_662,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Pseudomonadaceae,,Pseudomonas,,,
Mesostigma viride,AF166114,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_742,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Mesostigma viride,AF166114,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_743,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Nostoc sp. PCC 7120,AF180968,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_753,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,Nostoc PCC-7524,,
Alcanivorax borkumensis,AF197570,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_756,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,,,Alcanivorax,,,
Alcanivorax borkumensis SK2,AF197571,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_757,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,,,Alcanivorax,,,
Scytonema hyalinum,AF236651,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_803,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,Nostocaceae,Cyanobacteriales,,uncultured,,
Microcoleus vaginatus,AF236653,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_805,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Cyanobacteriales,,Phormidiaceae,Tychonema CCAP 1459-11B,
