Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3
Actinobacillus seminis,AF013275,69,31,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8326,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Actinobacillus,,,,
Oenothera elata subsp. hookeri,AJ271079,70,26,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8481,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Vibrio parahaemolyticus,AY245226,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8789,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,
Vibrio parahaemolyticus,AY245232,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8793,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,
Vibrio parahaemolyticus,AY245237,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8796,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,
Bacillus subtilis,L23497,68,30,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8971,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
Buchnera aphidicola,U10501,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8982,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Buchnera,,,,
Bigelowiella natans,DQ158856,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_9631,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Lactobacillus delbrueckii,X15246,68,28,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9722,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,
Lactobacillus delbrueckii,X15246,67,27,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9829,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,
Antithamnion sp.,Z21642,69,31,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_9864,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Bacillus subtilis subsp. subtilis str. 168,Z99104,69,29,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9886,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
Bacillus subtilis,AB002150,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9894,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
Bradyrhizobium japonicum,AB282940,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9940,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282941,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9941,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282942,60,38,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9942,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Oryza nivara,AP006728,65,33,32,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_11859,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Hibiscus cannabinus,AY727475,70,26,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_12073,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Liriodendron tulipifera,AY727485,70,26,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_12083,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Glyptostrobus pensilis,AY727492,70,26,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_12090,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Shigella sonnei Ss046,CP000038,70,28,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_12438,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,
Porphyra purpurea,U38804,64,32,32,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_13544,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Porphyra purpurea,U38804,70,28,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_13545,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Diphyscium foliosum,AY312899,55,35,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_14661,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Mielichhoferia elongata,AY312907,62,42,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_14668,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Campylobacter jejuni,AF074828,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15979,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074829,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15980,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074830,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15981,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074831,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15982,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074832,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15983,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074833,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15984,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074834,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15985,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074835,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15986,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter jejuni,AF074836,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15987,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter coli,AF074837,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15988,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter coli,AF074838,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15989,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter coli,AF074840,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15990,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Campylobacter lari,AF074841,57,39,18,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15991,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,
Microcystis aeruginosa,AF102138,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16018,--,Yes,Bacteria,Cyanobacteria,,,Microcystaceae,,Cyanobacteriia,Cyanobacteriales,Microcystis PCC-7914,
Synechococcus elongatus PCC 7942,AF105125,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16019,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,,Cyanobacteriia,Synechococcus PCC-7942,,
Anabaena cylindrica,AF105130,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16024,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Anabaena PCC-7122,
Nostoc sp. PCC 7120,AF105132,70,34,36,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_16026,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Nostoc PCC-7524,
Fischerella muscicola,AF105134,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16028,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Fischerella PCC-9339,
Nostoc linckia,AF105138,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16032,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Desmonostoc PCC-7422,
Pseudomonas fluorescens,AF134704,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16053,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,
Pseudomonas fluorescens,AF134705,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16054,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,
Listeria monocytogenes,AF514305,68,36,32,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16700,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,,,,
Listeria monocytogenes,AF514306,63,41,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16701,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,,,,
Listonella anguillarum,AY227665,51,31,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17372,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,
uncultured Pseudomonas sp.,AY239616,69,33,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17377,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,
Weissella halotolerans,AY342328,60,40,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17447,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,,,,
Ralstonia solanacearum,AY383556,69,39,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17459,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,,,,
Nostoc sp. PCC 7120,AY768368,63,37,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17761,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Nostoc PCC-7524,
Leptolyngbya sp. PCC 7410,AY768369,63,37,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17762,--,Yes,Bacteria,Cyanobacteria,,,Leptolyngbyaceae,,Cyanobacteriia,Leptolyngbyales,Leptolyngbya PCC-6306,
Nostoc punctiforme,AY768370,54,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17763,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,Tolypothrix,Cyanobacteriia,Cyanobacteriales,,
Gloeobacter violaceus PCC 7421,AY768373,56,34,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17766,--,Yes,Bacteria,Cyanobacteria,,Gloeobacterales,Gloeobacteraceae,,Cyanobacteriia,Gloeobacter PCC-7421,,
Lyngbya aestuarii PCC 7419,AY768375,55,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17768,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Lyngbya PCC-7419
Microcoleus sp. PCC 8701,AY768377,57,35,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17770,--,Yes,Bacteria,Cyanobacteria,,,Coleofasciculaceae,,Cyanobacteriia,Cyanobacteriales,Microcoleus PCC-7113,
Oscillatoria sancta PCC 7515,AY768378,57,35,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17771,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Trichodesmium IMS101
Nodularia harveyana,AY768379,55,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17772,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,,Cyanobacteriia,Cyanobacteriales,Nodularia PCC-9350,
Oscillatoria sp. CCAP 1459/26,AY768380,59,37,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17773,--,Yes,Bacteria,Cyanobacteria,,,,Oscillatoria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,
Anabaena sp. PCC 9109,AY768382,70,34,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17775,--,Yes,Bacteria,Cyanobacteria,,,Nostocaceae,Anabaena,Cyanobacteriia,Cyanobacteriales,,
uncultured gamma proteobacterium,AY934128,70,44,26,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18373,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,,
uncultured gamma proteobacterium,AY934406,65,41,24,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18628,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,,
uncultured proteobacterium,DQ834353,60,40,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19740,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,Magnetospirillaceae,,,
Listeria monocytogenes,S83265,64,38,26,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_19933,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,,,,
Bradyrhizobium japonicum,AB282946,68,38,30,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_20213,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282947,68,38,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20214,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282948,67,37,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20215,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Vibrio cholerae,AY847461,58,36,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22670,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,
Abies homolepis,AB029740,58,38,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_23820,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Pyrus pyrifolia,AB204876,60,40,20,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_24039,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Bradyrhizobium japonicum,AB282937,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24310,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282938,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24311,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Bradyrhizobium japonicum,AB282939,63,41,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_24312,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Funaria hygrometrica,AF023716,51,31,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_24484,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Diphyscium foliosum,AF229891,56,36,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_25065,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Physcomitrella patens,AF229901,53,33,20,No,0,tRNA,0,(()()),(()()),--,No,CRW,--,CRW_t_E_25074,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Dicranum scoparium,AF234159,54,34,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_25119,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Lepidium virginicum,AF451582,60,40,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_25565,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Funaria hygrometrica,AJ847853,61,39,22,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_26665,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Salmonella enterica subsp. enterica serovar Typhi,AL627282,64,42,22,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_26972,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,
Anomodon attenuatus,AY009851,59,39,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_27297,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Bryum argenteum,AY078291,54,34,20,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_27421,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Frullania dilatata,AY144469,59,39,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_27667,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Blasia pusilla,AY463547,51,31,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_28699,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Blepharostoma trichophyllum,AY463548,51,31,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_28700,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Calypogeia integristipula,AY463550,51,31,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_28702,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Calypogeia muelleriana,AY463551,51,31,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_28703,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Lepidogyna hodgsoniae,AY463569,51,31,20,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_28719,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Trichocolea tomentella,AY463590,51,31,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_28737,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Tritomaria quinquedentata,AY463592,51,31,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_28739,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Orontium aquaticum,AY555154,60,40,20,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_E_28902,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
