Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_349,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_356,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_357,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Escherichia coli CFT073,AE014075,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_358,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_384,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_385,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_386,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_387,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Shewanella oneidensis MR-1,AE014299,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_388,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_389,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_390,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_391,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_392,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,AE014613,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_393,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_395,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 15,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_396,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 15,,,,,
Clostridium tetani E88,AE015927,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_397,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 15,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_403,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_404,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Staphylococcus epidermidis ATCC 12228,AE015929,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_405,--,Yes,Bacteria,Firmicutes,Bacilli,,Staphylococcaceae,Staphylococcus,Staphylococcales,,,,,
Leifsonia xyli subsp. xyli str. CTCB07,AE016822,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_415,--,Yes,Bacteria,Actinobacteria,,Micrococcales,Microbacteriaceae,Leifsonia,Actinobacteriota,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_418,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_419,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_420,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_421,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_422,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_423,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_424,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_425,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_426,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_427,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Chromobacterium violaceum ATCC 12472,AE016825,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_428,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,,,,,,
Coxiella burnetii RSA 493,AE016828,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_436,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Coxiellaceae,Coxiella,Coxiellales,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_440,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_441,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_442,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_443,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_444,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_445,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas syringae pv. tomato str. DC3000,AE016853,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_446,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Bacillus cereus ATCC 14579,AE016877,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_447,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus cereus ATCC 14579,AE016877,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_450,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus cereus ATCC 14579,AE016877,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_451,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Yersinia pestis biovar Microtus str. 91001,AE017042,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_458,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis biovar Microtus str. 91001,AE017042,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_459,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis biovar Microtus str. 91001,AE017042,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_460,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis biovar Microtus str. 91001,AE017042,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_461,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Yersinia pestis biovar Microtus str. 91001,AE017042,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_462,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,,
Geobacter sulfurreducens PCA,AE017180,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_469,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter sulfurreducens PCA,AE017180,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_470,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Geobacter sulfurreducens PCA,AE017180,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_471,--,Yes,Bacteria,,,,Geobacteraceae,Geobacter,Desulfobacterota,Desulfuromonadia,Geobacterales,,,
Bacillus cereus ATCC 10987,AE017194,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_473,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Wolbachia endosymbiont of Drosophila melanogaster,AE017196,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_475,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,,,,,,
Thermus thermophilus HB27,AE017221,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_484,--,Yes,Bacteria,,Deinococci,Thermales,Thermaceae,Thermus,Deinococcota,,,,,
Bacillus anthracis str. Sterne,AE017225,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_491,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
