Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.no rank 0
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_402,--,Yes,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidota,,,,,
Rickettsia typhi str. Wilmington,AE017197,75,31,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_476,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,,,,
Thermus thermophilus HB27,AE017221,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_485,--,Yes,Bacteria,,Deinococci,Thermales,Thermaceae,Thermus,Deinococcota,,,,,
Treponema denticola ATCC 35405,AE017226,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_496,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Xanthomonas campestris pv. campestris,AF064520,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_578,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Pseudomonas fluorescens,AF134704,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_652,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
spirochete isolate 1-9185MED,AF179256,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_747,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
spirochete isolate 2-1498,AF179262,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_750,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Treponema denticola,AF179264,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_751,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Treponema phagedenis,AF179266,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_752,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Treponema vincentii,AF209195,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_778,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Neisseria gonorrhoeae,AF223396,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_783,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,,,,,
Neisseria gonorrhoeae,AF223397,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_784,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,,,,,
Neisseria gonorrhoeae,AF223398,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_785,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,,,,,
Neisseria gonorrhoeae,AF223399,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_786,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,,,,,
Pectobacterium wasabiae,AF234277,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_789,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,,,,,,
Carnobacterium gallinarum,AF374288,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_952,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,,,,
Carnobacterium mobile,AF374290,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_953,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,,,,
Candidatus Kuenenia stuttgartiensis,AF375995,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_959,--,Yes,Bacteria,,,,,Candidatus Kuenenia,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,,
Treponema medium,AF378326,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_960,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetota,,,,,
Corynebacterium glutamicum,AF435074,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1064,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Actinobacteriota,,,,,
Bacillus amyloliquefaciens,AF478079,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1096,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus licheniformis,AF478087,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1098,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Brevibacillus borstelensis,AF478092,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1099,--,Yes,Bacteria,Firmicutes,Bacilli,,,Brevibacillus,Brevibacillales,Brevibacillaceae,,,,
Brevibacillus borstelensis,AF478093,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1100,--,Yes,Bacteria,Firmicutes,Bacilli,,,Brevibacillus,Brevibacillales,Brevibacillaceae,,,,
Brevibacillus parabrevis,AF478097,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1101,--,Yes,Bacteria,Firmicutes,Bacilli,,,Brevibacillus,Brevibacillales,Brevibacillaceae,,,,
Bacillus lentus,AF478110,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1102,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Lactobacillus farciminis,AF500491,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1106,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,Companilactobacillus,,,,,
Lactobacillus alimentarius,AF500493,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1107,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,Companilactobacillus,,,,,
Acetobacter aceti,AJ007831,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1299,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,,Acetobacteraceae,Acetobacter,Acetobacterales,,,,,
Gluconacetobacter liquefaciens,AJ007833,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1301,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,,Acetobacteraceae,Gluconacetobacter,Acetobacterales,,,,,
Acetobacter pasteurianus,AJ007834,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1302,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,,Acetobacteraceae,Acetobacter,Acetobacterales,,,,,
Streptomyces violaceoruber,AJ011500,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1303,--,Yes,Bacteria,Actinobacteria,,Streptomycetales,Streptomycetaceae,Streptomyces,Actinobacteriota,,,,,
Pseudomonas stutzeri,AJ251900,75,33,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_1327,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251901,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1328,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251902,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1329,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251903,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1330,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251904,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1331,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251905,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1332,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251906,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1333,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251907,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1334,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251908,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1335,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251909,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1336,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ251910,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1337,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas balearica,AJ279238,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1340,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas balearica,AJ279239,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1341,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas chlororaphis,AJ279240,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1342,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas cichorii,AJ279242,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1343,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas agarici,AJ279243,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1344,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas tolaasii,AJ279244,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1345,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390581,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1374,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390582,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1375,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390583,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1376,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390584,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1377,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390585,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1378,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390586,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1379,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390587,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1380,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390588,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1381,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390589,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1382,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ390590,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1383,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Bartonella henselae,AJ441256,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1437,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,,,,,,
Bartonella henselae,AJ441257,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1438,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,,,,,,
Limnothrix redekei CCAP 1443/1,AJ580007,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1462,--,Yes,Bacteria,Cyanobacteria,,,Pseudanabaenaceae,,Cyanobacteriia,Pseudanabaenales,Pseudanabaena PCC-7429,,,
Pseudomonas stutzeri,AJ635305,75,33,42,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_1483,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635306,75,33,42,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_1484,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635307,75,33,42,No,0,tRNA,0,(()()),(()()),--,No,CRW,--,CRW_t_B_1485,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635308,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1486,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635309,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1487,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635310,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1488,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635311,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1489,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635312,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1490,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Pseudomonas stutzeri,AJ635313,75,33,42,No,0,tRNA,0,(()()()),((())()()),--,No,CRW,--,CRW_t_B_1491,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Caulobacter vibrioides,L00194,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1862,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,,,,,
Pinus koraiensis,AY228468,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_E_2063,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,,,
uncultured Pseudomonas sp.,AY239616,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2066,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Vibrio parahaemolyticus,AY245224,74,34,40,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2078,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
uncultured Acidobacteria bacterium,AY281352,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2101,--,Yes,Bacteria,,Vicinamibacteria,,,,Acidobacteriota,Vicinamibacterales,uncultured,,,
uncultured Synechococcus sp.,AY579976,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2270,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,,,Cyanobacteriia,Cyanobiaceae,Synechococcus CC9902,,,
uncultured Synechococcus sp.,AY579978,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2272,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,,,Cyanobacteriia,Cyanobiaceae,Synechococcus CC9902,,,
Streptococcus suis,AY585196,74,34,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2300,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Streptococcus suis,AY585199,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2303,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,
Dysgonomonas wimpennyi,AY704409,74,38,36,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2346,--,Yes,Bacteria,,Bacteroidia,Bacteroidales,,Dysgonomonas,Bacteroidota,Dysgonomonadaceae,,,,
Emiliania huxleyi,AY741371,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_2369,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,,,
Emiliania huxleyi,AY741371,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_2370,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,,,
Borrelia hermsii,AY836547,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2420,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,Spirochaetota,,,,,
Borrelia garinii,AY836549,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2422,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Borreliella,Spirochaetota,,,,,
uncultured Bacteroidetes bacterium,AY933605,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2470,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,,,,
uncultured Bacteroidetes bacterium,AY933611,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2474,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,,,,
uncultured Bacteroidetes bacterium,AY933612,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2475,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,,,,
uncultured Bacteroidetes bacterium,AY933614,75,35,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2476,--,Yes,Bacteria,,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,Bacteroidota,,,,,
