Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1
Haloferax volcanii,K02507,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_224,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Pyrobaculum aerophilum,AE009773,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_225,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,,Pyrobaculum aerophilum
Archaeoglobus fulgidus DSM 4304,AE000782,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_238,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Archaeoglobus fulgidus DSM 4304,AE000782,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_239,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Archaeoglobus fulgidus DSM 4304,AE000782,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_240,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_289,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_290,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_291,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrobaculum aerophilum str. IM2,AE009773,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_310,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,Pyrobaculum aerophilum str. IM2,Pyrobaculum aerophilum
Pyrobaculum aerophilum str. IM2,AE009910,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_311,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,Pyrobaculum aerophilum str. IM2,Pyrobaculum aerophilum
Pyrococcus furiosus DSM 3638,AE010139,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_320,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Pyrococcus furiosus DSM 3638,AE010200,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_321,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Pyrococcus furiosus DSM 3638,AE010209,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_322,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Methanopyrus kandleri AV19,AE010305,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_324,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
Methanopyrus kandleri AV19,AE010344,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_325,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
Haloarcula marismortui,AF034619,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_559,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,,
Haloferax volcanii,K02506,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1295,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Thermoplasma acidophilum,AL445067,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1589,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,,
Thermoplasma acidophilum,AL445067,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1590,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,,
uncultured methanogenic archaeon,AM114193,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1649,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1650,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1651,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1658,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Haloquadratum walsbyi DSM 16790,AM180088,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1659,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Haloquadratum walsbyi DSM 16790,AM180088,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1660,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Haloquadratum walsbyi DSM 16790,AM180088,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1661,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1770,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Thermococcus kodakarensis KOD1,AP006878,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1771,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1772,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Archaeoglobus fulgidus,M19340,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1847,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Archaeoglobus fulgidus,AE000965,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1848,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Haloferax volcanii,K02508,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1849,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Methanospirillum hungatei,M19342,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1853,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,,
Methanothermobacter thermautotrophicus,AE000940,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1854,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,,
Methanococcus vannielii,X00083,73,29,44,No,0,tRNA,0,(()()()),(()((()))()),--,No,CRW,--,CRW_t_A_1855,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,,
Pyrobaculum aerophilum,AE009773,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_1856,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,,Pyrobaculum aerophilum
Pyrococcus woesei,AY519654,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2212,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus woesei,,
Haloarcula marismortui ATCC 43049,AY596297,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2305,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Haloarcula marismortui ATCC 43049,AY596297,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2306,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Haloarcula marismortui ATCC 43049,AY596297,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2307,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2993,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2994,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Pyrococcus horikoshii OT3,BA000001,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_2995,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Thermoplasma volcanium GSS1,BA000011,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3012,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Thermoplasma volcanium GSS1,BA000011,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3013,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Thermoplasma volcanium GSS1,BA000011,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3014,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
uncultured archaeon,BX649197,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3145,--,Yes,root,cellular organisms,Archaea,,,,,,,environmental samples <Archaea>,,uncultured archaeon
Sulfolobus acidocaldarius DSM 639,CP000077,71,31,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3286,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,Sulfolobus acidocaldarius DSM 639,Sulfolobus acidocaldarius
Sulfolobus acidocaldarius DSM 639,CP000077,71,31,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3287,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,Sulfolobus acidocaldarius DSM 639,Sulfolobus acidocaldarius
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3338,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3339,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3340,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3341,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3342,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3343,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3344,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3477,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3478,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3479,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3480,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3481,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3482,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3526,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3527,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3528,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3529,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3530,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Hyperthermus butylicus DSM 5456,CP000493,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3772,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Hyperthermus butylicus DSM 5456,CP000493,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3773,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Hyperthermus butylicus DSM 5456,CP000493,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3774,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Pyrobaculum islandicum DSM 4184,CP000504,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_3780,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,Pyrobaculum islandicum DSM 4184,Pyrobaculum islandicum
