Organism name,Length,Benchmark ID,Taxonomy.join.superkingdom,Taxonomy.join.phylum
uncultured Staphylococcus sp.,926,CRW_16S_B_10331,Bacteria,Firmicutes
uncultured Staphylococcus sp.,926,CRW_16S_B_10332,Bacteria,Firmicutes
Staphylococcus epidermidis,847,CRW_16S_B_10606,Bacteria,Firmicutes
Halobacillus salinus,904,CRW_16S_B_10614,Bacteria,Firmicutes
Halobacillus trueperi,910,CRW_16S_B_10619,Bacteria,Firmicutes
Bacillus subtilis,836,CRW_16S_B_10621,Bacteria,Firmicutes
Bacillus cereus,943,CRW_16S_B_10637,Bacteria,Firmicutes
Bacillus cereus,949,CRW_16S_B_10638,Bacteria,Firmicutes
Bacillus cereus,960,CRW_16S_B_10639,Bacteria,Firmicutes
Bacillus cereus,937,CRW_16S_B_10640,Bacteria,Firmicutes
Bacillus subtilis,961,CRW_16S_B_10642,Bacteria,Firmicutes
Bacillus subtilis,939,CRW_16S_B_10644,Bacteria,Firmicutes
Bacillus subtilis,939,CRW_16S_B_10645,Bacteria,Firmicutes
Bacillus subtilis,804,CRW_16S_B_10647,Bacteria,Firmicutes
Bacillus subtilis,804,CRW_16S_B_10649,Bacteria,Firmicutes
Bacillus subtilis,811,CRW_16S_B_10651,Bacteria,Firmicutes
Bacillus pumilus,809,CRW_16S_B_10658,Bacteria,Firmicutes
Bacillus pumilus,805,CRW_16S_B_10659,Bacteria,Firmicutes
Bacillus pumilus,956,CRW_16S_B_10660,Bacteria,Firmicutes
Bacillus pumilus,957,CRW_16S_B_10661,Bacteria,Firmicutes
Staphylococcus epidermidis,802,CRW_16S_B_10798,Bacteria,Firmicutes
Bacillus cereus,802,CRW_16S_B_10800,Bacteria,Firmicutes
uncultured Staphylococcus sp.,837,CRW_16S_B_10834,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_10836,Bacteria,Firmicutes
uncultured Streptococcus sp.,801,CRW_16S_B_10840,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_10842,Bacteria,Firmicutes
uncultured Staphylococcus sp.,808,CRW_16S_B_10849,Bacteria,Firmicutes
uncultured Staphylococcus sp.,803,CRW_16S_B_10851,Bacteria,Firmicutes
uncultured Staphylococcus sp.,807,CRW_16S_B_10853,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_10855,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_10859,Bacteria,Firmicutes
uncultured Staphylococcus sp.,801,CRW_16S_B_10865,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_10869,Bacteria,Firmicutes
uncultured Streptococcus sp.,807,CRW_16S_B_10870,Bacteria,Firmicutes
uncultured Streptococcus sp.,840,CRW_16S_B_10871,Bacteria,Firmicutes
uncultured Staphylococcus sp.,866,CRW_16S_B_10872,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_10873,Bacteria,Firmicutes
uncultured Staphylococcus sp.,872,CRW_16S_B_10874,Bacteria,Firmicutes
uncultured Staphylococcus sp.,872,CRW_16S_B_10875,Bacteria,Firmicutes
uncultured Staphylococcus sp.,862,CRW_16S_B_10876,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_10877,Bacteria,Firmicutes
uncultured Staphylococcus sp.,872,CRW_16S_B_10878,Bacteria,Firmicutes
uncultured Staphylococcus sp.,880,CRW_16S_B_10879,Bacteria,Firmicutes
uncultured Staphylococcus sp.,881,CRW_16S_B_10880,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_10881,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_10883,Bacteria,Firmicutes
uncultured Staphylococcus sp.,861,CRW_16S_B_10885,Bacteria,Firmicutes
uncultured Staphylococcus sp.,862,CRW_16S_B_10886,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_10887,Bacteria,Firmicutes
uncultured Enterococcus sp.,852,CRW_16S_B_10888,Bacteria,Firmicutes
uncultured Streptococcus sp.,840,CRW_16S_B_10889,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_10892,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_10893,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_10894,Bacteria,Firmicutes
uncultured Staphylococcus sp.,864,CRW_16S_B_10895,Bacteria,Firmicutes
Bacillus licheniformis,905,CRW_16S_B_11011,Bacteria,Firmicutes
Staphylococcus aureus,958,CRW_16S_B_11019,Bacteria,Firmicutes
Geobacillus stearothermophilus,994,CRW_16S_B_11570,Bacteria,Firmicutes
Bacillus subtilis,953,CRW_16S_B_11574,Bacteria,Firmicutes
Bacillus subtilis,853,CRW_16S_B_11752,Bacteria,Firmicutes
uncultured Staphylococcus sp.,900,CRW_16S_B_11799,Bacteria,Firmicutes
Bacillus cereus,885,CRW_16S_B_12031,Bacteria,Firmicutes
Geobacillus stearothermophilus,955,CRW_16S_B_12042,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12046,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12047,Bacteria,Firmicutes
uncultured Staphylococcus sp.,882,CRW_16S_B_12048,Bacteria,Firmicutes
uncultured Staphylococcus sp.,807,CRW_16S_B_12049,Bacteria,Firmicutes
uncultured Staphylococcus sp.,863,CRW_16S_B_12050,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12051,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12054,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12057,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_12058,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12062,Bacteria,Firmicutes
uncultured Staphylococcus sp.,837,CRW_16S_B_12063,Bacteria,Firmicutes
uncultured Staphylococcus sp.,802,CRW_16S_B_12066,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12069,Bacteria,Firmicutes
uncultured Staphylococcus sp.,806,CRW_16S_B_12073,Bacteria,Firmicutes
uncultured Staphylococcus sp.,824,CRW_16S_B_12075,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12076,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12077,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12078,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12081,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12082,Bacteria,Firmicutes
uncultured Staphylococcus sp.,894,CRW_16S_B_12084,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12085,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12087,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12088,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12089,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12090,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12091,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12092,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12093,Bacteria,Firmicutes
uncultured Staphylococcus sp.,884,CRW_16S_B_12094,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12095,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12096,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12097,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12098,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12099,Bacteria,Firmicutes
uncultured Staphylococcus sp.,813,CRW_16S_B_12100,Bacteria,Firmicutes
uncultured Staphylococcus sp.,831,CRW_16S_B_12101,Bacteria,Firmicutes
uncultured Staphylococcus sp.,886,CRW_16S_B_12102,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12105,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12106,Bacteria,Firmicutes
uncultured Staphylococcus sp.,830,CRW_16S_B_12107,Bacteria,Firmicutes
uncultured Staphylococcus sp.,839,CRW_16S_B_12109,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12110,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12113,Bacteria,Firmicutes
uncultured Staphylococcus sp.,841,CRW_16S_B_12114,Bacteria,Firmicutes
uncultured Staphylococcus sp.,805,CRW_16S_B_12115,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12116,Bacteria,Firmicutes
uncultured Staphylococcus sp.,830,CRW_16S_B_12124,Bacteria,Firmicutes
uncultured Staphylococcus sp.,829,CRW_16S_B_12128,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_12134,Bacteria,Firmicutes
uncultured Staphylococcus sp.,809,CRW_16S_B_12165,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12166,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12168,Bacteria,Firmicutes
uncultured Staphylococcus sp.,820,CRW_16S_B_12169,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12170,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12171,Bacteria,Firmicutes
uncultured Staphylococcus sp.,805,CRW_16S_B_12172,Bacteria,Firmicutes
uncultured Staphylococcus sp.,801,CRW_16S_B_12173,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12174,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12176,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_12177,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12178,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12179,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_12181,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12182,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12183,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12185,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12186,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12187,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_12188,Bacteria,Firmicutes
uncultured Staphylococcus sp.,843,CRW_16S_B_12192,Bacteria,Firmicutes
uncultured Staphylococcus sp.,838,CRW_16S_B_12193,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12195,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12197,Bacteria,Firmicutes
uncultured Staphylococcus sp.,841,CRW_16S_B_12198,Bacteria,Firmicutes
uncultured Staphylococcus sp.,802,CRW_16S_B_12199,Bacteria,Firmicutes
uncultured Staphylococcus sp.,841,CRW_16S_B_12200,Bacteria,Firmicutes
uncultured Staphylococcus sp.,831,CRW_16S_B_12201,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_12202,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12203,Bacteria,Firmicutes
uncultured Staphylococcus sp.,810,CRW_16S_B_12204,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12205,Bacteria,Firmicutes
uncultured Staphylococcus sp.,837,CRW_16S_B_12206,Bacteria,Firmicutes
uncultured Staphylococcus sp.,838,CRW_16S_B_12207,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_12209,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12210,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12211,Bacteria,Firmicutes
uncultured Staphylococcus sp.,812,CRW_16S_B_12212,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12213,Bacteria,Firmicutes
uncultured Staphylococcus sp.,802,CRW_16S_B_12215,Bacteria,Firmicutes
uncultured Staphylococcus sp.,817,CRW_16S_B_12217,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12218,Bacteria,Firmicutes
uncultured Staphylococcus sp.,847,CRW_16S_B_12219,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12220,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12221,Bacteria,Firmicutes
uncultured Staphylococcus sp.,818,CRW_16S_B_12222,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12224,Bacteria,Firmicutes
uncultured Staphylococcus sp.,836,CRW_16S_B_12226,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12228,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12230,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12231,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12232,Bacteria,Firmicutes
uncultured Staphylococcus sp.,812,CRW_16S_B_12234,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12236,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12237,Bacteria,Firmicutes
uncultured Staphylococcus sp.,820,CRW_16S_B_12238,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12239,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12241,Bacteria,Firmicutes
uncultured Staphylococcus sp.,819,CRW_16S_B_12242,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12243,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12244,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12245,Bacteria,Firmicutes
uncultured Staphylococcus sp.,824,CRW_16S_B_12247,Bacteria,Firmicutes
uncultured Staphylococcus sp.,801,CRW_16S_B_12248,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12249,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12250,Bacteria,Firmicutes
uncultured Staphylococcus sp.,813,CRW_16S_B_12251,Bacteria,Firmicutes
uncultured Staphylococcus sp.,818,CRW_16S_B_12253,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12254,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_12255,Bacteria,Firmicutes
uncultured Staphylococcus sp.,810,CRW_16S_B_12256,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_12257,Bacteria,Firmicutes
uncultured Staphylococcus sp.,809,CRW_16S_B_12259,Bacteria,Firmicutes
uncultured Staphylococcus sp.,815,CRW_16S_B_12260,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12261,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12262,Bacteria,Firmicutes
uncultured Staphylococcus sp.,824,CRW_16S_B_12263,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12264,Bacteria,Firmicutes
uncultured Staphylococcus sp.,819,CRW_16S_B_12265,Bacteria,Firmicutes
uncultured Staphylococcus sp.,847,CRW_16S_B_12266,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12267,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12268,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12269,Bacteria,Firmicutes
uncultured Staphylococcus sp.,836,CRW_16S_B_12272,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12306,Bacteria,Firmicutes
uncultured Staphylococcus sp.,880,CRW_16S_B_12307,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12308,Bacteria,Firmicutes
uncultured Staphylococcus sp.,858,CRW_16S_B_12309,Bacteria,Firmicutes
uncultured Staphylococcus sp.,816,CRW_16S_B_12310,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12312,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12313,Bacteria,Firmicutes
uncultured Staphylococcus sp.,819,CRW_16S_B_12314,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12319,Bacteria,Firmicutes
uncultured Staphylococcus sp.,847,CRW_16S_B_12320,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12321,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12322,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12323,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12327,Bacteria,Firmicutes
uncultured Staphylococcus sp.,820,CRW_16S_B_12328,Bacteria,Firmicutes
uncultured Staphylococcus sp.,807,CRW_16S_B_12329,Bacteria,Firmicutes
uncultured Staphylococcus sp.,819,CRW_16S_B_12330,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12332,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12333,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12335,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12336,Bacteria,Firmicutes
uncultured Staphylococcus sp.,813,CRW_16S_B_12338,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12339,Bacteria,Firmicutes
uncultured Staphylococcus sp.,829,CRW_16S_B_12341,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12342,Bacteria,Firmicutes
uncultured Staphylococcus sp.,838,CRW_16S_B_12345,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12346,Bacteria,Firmicutes
uncultured Staphylococcus sp.,811,CRW_16S_B_12347,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12350,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_12353,Bacteria,Firmicutes
uncultured Staphylococcus sp.,842,CRW_16S_B_12354,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12355,Bacteria,Firmicutes
uncultured Staphylococcus sp.,815,CRW_16S_B_12356,Bacteria,Firmicutes
uncultured Staphylococcus sp.,808,CRW_16S_B_12357,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_12358,Bacteria,Firmicutes
uncultured Staphylococcus sp.,806,CRW_16S_B_12359,Bacteria,Firmicutes
uncultured Staphylococcus sp.,819,CRW_16S_B_12361,Bacteria,Firmicutes
uncultured Staphylococcus sp.,849,CRW_16S_B_12362,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12364,Bacteria,Firmicutes
uncultured Staphylococcus sp.,838,CRW_16S_B_12365,Bacteria,Firmicutes
uncultured Staphylococcus sp.,818,CRW_16S_B_12369,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12370,Bacteria,Firmicutes
uncultured Staphylococcus sp.,801,CRW_16S_B_12371,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12372,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12373,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12374,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12376,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12377,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12379,Bacteria,Firmicutes
uncultured Staphylococcus sp.,818,CRW_16S_B_12380,Bacteria,Firmicutes
uncultured Staphylococcus sp.,818,CRW_16S_B_12381,Bacteria,Firmicutes
uncultured Staphylococcus sp.,814,CRW_16S_B_12382,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12383,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12384,Bacteria,Firmicutes
uncultured Staphylococcus sp.,843,CRW_16S_B_12388,Bacteria,Firmicutes
uncultured Staphylococcus sp.,835,CRW_16S_B_12389,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12390,Bacteria,Firmicutes
uncultured Staphylococcus sp.,830,CRW_16S_B_12391,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12392,Bacteria,Firmicutes
uncultured Staphylococcus sp.,851,CRW_16S_B_12393,Bacteria,Firmicutes
uncultured Staphylococcus sp.,823,CRW_16S_B_12394,Bacteria,Firmicutes
uncultured Staphylococcus sp.,837,CRW_16S_B_12396,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_12397,Bacteria,Firmicutes
uncultured Staphylococcus sp.,843,CRW_16S_B_12398,Bacteria,Firmicutes
uncultured Staphylococcus sp.,828,CRW_16S_B_12399,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12400,Bacteria,Firmicutes
uncultured Staphylococcus sp.,837,CRW_16S_B_12401,Bacteria,Firmicutes
uncultured Staphylococcus sp.,850,CRW_16S_B_12402,Bacteria,Firmicutes
uncultured Staphylococcus sp.,844,CRW_16S_B_12403,Bacteria,Firmicutes
uncultured Staphylococcus sp.,853,CRW_16S_B_12404,Bacteria,Firmicutes
uncultured Staphylococcus sp.,825,CRW_16S_B_12405,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12406,Bacteria,Firmicutes
uncultured Staphylococcus sp.,830,CRW_16S_B_12407,Bacteria,Firmicutes
uncultured Staphylococcus sp.,843,CRW_16S_B_12408,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12409,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12410,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12411,Bacteria,Firmicutes
uncultured Staphylococcus sp.,845,CRW_16S_B_12413,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_12414,Bacteria,Firmicutes
uncultured Staphylococcus sp.,811,CRW_16S_B_12415,Bacteria,Firmicutes
uncultured Staphylococcus sp.,843,CRW_16S_B_12418,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_12421,Bacteria,Firmicutes
uncultured Staphylococcus sp.,827,CRW_16S_B_12424,Bacteria,Firmicutes
uncultured Staphylococcus sp.,846,CRW_16S_B_12425,Bacteria,Firmicutes
uncultured Staphylococcus sp.,817,CRW_16S_B_12426,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12429,Bacteria,Firmicutes
uncultured Staphylococcus sp.,848,CRW_16S_B_12430,Bacteria,Firmicutes
uncultured Staphylococcus sp.,841,CRW_16S_B_12431,Bacteria,Firmicutes
uncultured Staphylococcus sp.,834,CRW_16S_B_12433,Bacteria,Firmicutes
uncultured Staphylococcus sp.,833,CRW_16S_B_12434,Bacteria,Firmicutes
uncultured Staphylococcus sp.,822,CRW_16S_B_12436,Bacteria,Firmicutes
uncultured Staphylococcus sp.,826,CRW_16S_B_12438,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12451,Bacteria,Firmicutes
uncultured Staphylococcus sp.,889,CRW_16S_B_12452,Bacteria,Firmicutes
uncultured Staphylococcus sp.,884,CRW_16S_B_12453,Bacteria,Firmicutes
uncultured Staphylococcus sp.,832,CRW_16S_B_12454,Bacteria,Firmicutes
uncultured Staphylococcus sp.,880,CRW_16S_B_12455,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_12456,Bacteria,Firmicutes
uncultured Staphylococcus sp.,878,CRW_16S_B_12457,Bacteria,Firmicutes
uncultured Staphylococcus sp.,874,CRW_16S_B_12458,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12459,Bacteria,Firmicutes
uncultured Staphylococcus sp.,854,CRW_16S_B_12460,Bacteria,Firmicutes
uncultured Staphylococcus sp.,859,CRW_16S_B_12461,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_12462,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_12463,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12464,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12465,Bacteria,Firmicutes
uncultured Staphylococcus sp.,887,CRW_16S_B_12466,Bacteria,Firmicutes
uncultured Staphylococcus sp.,879,CRW_16S_B_12467,Bacteria,Firmicutes
uncultured Staphylococcus sp.,877,CRW_16S_B_12468,Bacteria,Firmicutes
