Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
Rhodococcus erythropolis,1325,CRW_16S_B_1432,Bacteria,Actinobacteria
Rhodococcus erythropolis,1365,CRW_16S_B_1528,Bacteria,Actinobacteria
Mycobacterium peregrinum,1399,CRW_16S_B_1543,Bacteria,Actinobacteria
Actinoplanes teichomyceticus,1365,CRW_16S_B_1555,Bacteria,Actinobacteria
Mycobacterium austroafricanum,1180,CRW_16S_B_1562,Bacteria,Actinobacteria
Arthrobacter ramosus,1363,CRW_16S_B_1589,Bacteria,Actinobacteria
Mycobacterium murale,1386,CRW_16S_B_1593,Bacteria,Actinobacteria
Arthrobacter citreus,1268,CRW_16S_B_1630,Bacteria,Actinobacteria
Kocuria marina,1209,CRW_16S_B_1632,Bacteria,Actinobacteria
Actinoplanes couchii,1371,CRW_16S_B_1645,Bacteria,Actinobacteria
Pseudonocardia nitrificans,1255,CRW_16S_B_1646,Bacteria,Actinobacteria
Actinocorallia aurantiaca,1344,CRW_16S_B_1649,Bacteria,Actinobacteria
Actinocorallia glomerata,1350,CRW_16S_B_1655,Bacteria,Actinobacteria
Actinomadura madurae,1341,CRW_16S_B_1662,Bacteria,Actinobacteria
Actinomadura verrucosospora,1339,CRW_16S_B_1664,Bacteria,Actinobacteria
Amycolatopsis azurea,1300,CRW_16S_B_1668,Bacteria,Actinobacteria
Amycolatopsis methanolica,1343,CRW_16S_B_1671,Bacteria,Actinobacteria
Actinoplanes philippinensis,1286,CRW_16S_B_1703,Bacteria,Actinobacteria
Brachybacterium conglomeratum,1326,CRW_16S_B_1802,Bacteria,Actinobacteria
Arthrobacter globiformis,1327,CRW_16S_B_1805,Bacteria,Actinobacteria
Micrococcus luteus,1328,CRW_16S_B_1806,Bacteria,Actinobacteria
Nocardia nova,1383,CRW_16S_B_1831,Bacteria,Actinobacteria
Nocardia veterana,1395,CRW_16S_B_1834,Bacteria,Actinobacteria
Corynebacterium freneyi,1225,CRW_16S_B_1871,Bacteria,Actinobacteria
Streptomyces lateritius,1347,CRW_16S_B_1921,Bacteria,Actinobacteria
Streptacidiphilus jiangxiensis,1324,CRW_16S_B_1966,Bacteria,Actinobacteria
Kitasatospora nipponensis,1390,CRW_16S_B_2069,Bacteria,Actinobacteria
Kitasatospora kifunensis,1380,CRW_16S_B_2070,Bacteria,Actinobacteria
Nocardia mexicana,1329,CRW_16S_B_2212,Bacteria,Actinobacteria
Nocardia mexicana,1330,CRW_16S_B_2214,Bacteria,Actinobacteria
Nocardia mexicana,1330,CRW_16S_B_2215,Bacteria,Actinobacteria
Mycobacterium simiae,1203,CRW_16S_B_2266,Bacteria,Actinobacteria
Mycobacterium asiaticum,1025,CRW_16S_B_2330,Bacteria,Actinobacteria
Micrococcus lylae,1318,CRW_16S_B_2333,Bacteria,Actinobacteria
Rhodococcus erythropolis,1334,CRW_16S_B_2334,Bacteria,Actinobacteria
Mycobacterium flavescens,1180,CRW_16S_B_2335,Bacteria,Actinobacteria
Mycobacterium flavescens,1180,CRW_16S_B_2336,Bacteria,Actinobacteria
Mycobacterium flavescens,1179,CRW_16S_B_2337,Bacteria,Actinobacteria
Mycobacterium triviale,1384,CRW_16S_B_2338,Bacteria,Actinobacteria
Mycobacterium triviale,1387,CRW_16S_B_2339,Bacteria,Actinobacteria
Mycobacterium triviale,1395,CRW_16S_B_2340,Bacteria,Actinobacteria
Mycobacterium austroafricanum,1339,CRW_16S_B_2440,Bacteria,Actinobacteria
Rhodococcus erythropolis,1377,CRW_16S_B_2452,Bacteria,Actinobacteria
Rhodococcus erythropolis,1386,CRW_16S_B_2453,Bacteria,Actinobacteria
Rhodococcus erythropolis,1344,CRW_16S_B_2478,Bacteria,Actinobacteria
Rhodococcus erythropolis,1341,CRW_16S_B_2479,Bacteria,Actinobacteria
Streptomyces griseus,1397,CRW_16S_B_2518,Bacteria,Actinobacteria
Streptomyces bikiniensis,1382,CRW_16S_B_2535,Bacteria,Actinobacteria
Streptomyces globisporus subsp. globisporus,1348,CRW_16S_B_256,Bacteria,Actinobacteria
Streptomyces fradiae,1304,CRW_16S_B_257,Bacteria,Actinobacteria
Streptomyces vinaceus,1151,CRW_16S_B_2614,Bacteria,Actinobacteria
Streptomyces anulatus,1353,CRW_16S_B_2633,Bacteria,Actinobacteria
Streptomyces flaveolus,1192,CRW_16S_B_2635,Bacteria,Actinobacteria
Streptomyces griseoaurantiacus,1397,CRW_16S_B_2708,Bacteria,Actinobacteria
Streptomyces canarius,1318,CRW_16S_B_2732,Bacteria,Actinobacteria
Streptomyces carpinensis,1285,CRW_16S_B_2734,Bacteria,Actinobacteria
Streptomyces costaricanus,1311,CRW_16S_B_2736,Bacteria,Actinobacteria
Streptomyces filipinensis,1367,CRW_16S_B_2739,Bacteria,Actinobacteria
Streptomyces flaveus,1363,CRW_16S_B_274,Bacteria,Actinobacteria
Streptomyces flavotricini,1315,CRW_16S_B_2740,Bacteria,Actinobacteria
Streptomyces fulvissimus,1322,CRW_16S_B_2743,Bacteria,Actinobacteria
Streptomyces gancidicus,1377,CRW_16S_B_2744,Bacteria,Actinobacteria
Streptomyces netropsis,1318,CRW_16S_B_2746,Bacteria,Actinobacteria
Streptomyces polychromogenes,1326,CRW_16S_B_2747,Bacteria,Actinobacteria
Streptomyces spectabilis,1317,CRW_16S_B_2750,Bacteria,Actinobacteria
Catenuloplanes japonicus,1192,CRW_16S_B_2835,Bacteria,Actinobacteria
Catenuloplanes japonicus,1128,CRW_16S_B_2836,Bacteria,Actinobacteria
Catenuloplanes japonicus,1145,CRW_16S_B_2837,Bacteria,Actinobacteria
Couchioplanes caeruleus,1148,CRW_16S_B_2838,Bacteria,Actinobacteria
Corynebacterium accolens,1393,CRW_16S_B_2866,Bacteria,Actinobacteria
Corynebacterium ammoniagenes,1311,CRW_16S_B_2871,Bacteria,Actinobacteria
Corynebacterium argentoratense,1314,CRW_16S_B_2876,Bacteria,Actinobacteria
Corynebacterium amycolatum,1322,CRW_16S_B_2877,Bacteria,Actinobacteria
Corynebacterium bovis,1387,CRW_16S_B_2879,Bacteria,Actinobacteria
Corynebacterium callunae,1322,CRW_16S_B_2882,Bacteria,Actinobacteria
Corynebacterium cystitidis,1322,CRW_16S_B_2886,Bacteria,Actinobacteria
Rhodococcus equi,1306,CRW_16S_B_2902,Bacteria,Actinobacteria
Corynebacterium jeikeium,1333,CRW_16S_B_2903,Bacteria,Actinobacteria
Corynebacterium kutscheri,1331,CRW_16S_B_2906,Bacteria,Actinobacteria
Corynebacterium kutscheri,1338,CRW_16S_B_2907,Bacteria,Actinobacteria
Corynebacterium macginleyi,1393,CRW_16S_B_2908,Bacteria,Actinobacteria
Corynebacterium matruchotii,1346,CRW_16S_B_2909,Bacteria,Actinobacteria
Corynebacterium matruchotii,1327,CRW_16S_B_2910,Bacteria,Actinobacteria
Corynebacterium minutissimum,1400,CRW_16S_B_2912,Bacteria,Actinobacteria
Corynebacterium mycetoides,1396,CRW_16S_B_2914,Bacteria,Actinobacteria
Corynebacterium pilosum,1381,CRW_16S_B_2917,Bacteria,Actinobacteria
Corynebacterium pilosum,1306,CRW_16S_B_2918,Bacteria,Actinobacteria
Corynebacterium propinquum,1396,CRW_16S_B_2920,Bacteria,Actinobacteria
Corynebacterium pseudodiphtheriticum,1396,CRW_16S_B_2922,Bacteria,Actinobacteria
Corynebacterium pseudotuberculosis,1396,CRW_16S_B_2927,Bacteria,Actinobacteria
Corynebacterium pseudotuberculosis,1396,CRW_16S_B_2929,Bacteria,Actinobacteria
Corynebacterium renale,1289,CRW_16S_B_2931,Bacteria,Actinobacteria
Corynebacterium renale,1389,CRW_16S_B_2932,Bacteria,Actinobacteria
Corynebacterium renale,1399,CRW_16S_B_2934,Bacteria,Actinobacteria
Corynebacterium renale,1395,CRW_16S_B_2936,Bacteria,Actinobacteria
Corynebacterium renale,1366,CRW_16S_B_2937,Bacteria,Actinobacteria
Corynebacterium glucuronolyticum,1323,CRW_16S_B_2939,Bacteria,Actinobacteria
Corynebacterium striatum,1324,CRW_16S_B_2942,Bacteria,Actinobacteria
Corynebacterium ulcerans,1314,CRW_16S_B_2945,Bacteria,Actinobacteria
Corynebacterium ulcerans,1395,CRW_16S_B_2946,Bacteria,Actinobacteria
Corynebacterium xerosis,1324,CRW_16S_B_2953,Bacteria,Actinobacteria
Corynebacterium xerosis,1317,CRW_16S_B_2954,Bacteria,Actinobacteria
Dactylosporangium aurantiacum,1358,CRW_16S_B_2986,Bacteria,Actinobacteria
Streptomyces filamentosus,1344,CRW_16S_B_3020,Bacteria,Actinobacteria
Streptomyces carpinensis,1327,CRW_16S_B_3051,Bacteria,Actinobacteria
Streptomyces murinus,1364,CRW_16S_B_3053,Bacteria,Actinobacteria
Mycobacterium rhodesiae,1374,CRW_16S_B_3060,Bacteria,Actinobacteria
Mycobacterium triviale,1260,CRW_16S_B_3061,Bacteria,Actinobacteria
Mycobacterium nonchromogenicum,1374,CRW_16S_B_3062,Bacteria,Actinobacteria
Mycobacterium terrae,1374,CRW_16S_B_3063,Bacteria,Actinobacteria
Micromonospora chalcea,1389,CRW_16S_B_3119,Bacteria,Actinobacteria
Micromonospora echinospora,1373,CRW_16S_B_3122,Bacteria,Actinobacteria
Micromonospora matsumotoense,1364,CRW_16S_B_3125,Bacteria,Actinobacteria
Mycobacterium senegalense,1393,CRW_16S_B_3150,Bacteria,Actinobacteria
Kocuria rosea,1309,CRW_16S_B_3187,Bacteria,Actinobacteria
Mycobacterium smegmatis,1349,CRW_16S_B_3243,Bacteria,Actinobacteria
Rhodococcus erythropolis,1373,CRW_16S_B_3260,Bacteria,Actinobacteria
Nocardia abscessus,1321,CRW_16S_B_3335,Bacteria,Actinobacteria
Mycobacterium gilvum,1334,CRW_16S_B_3363,Bacteria,Actinobacteria
Micrococcus luteus,1329,CRW_16S_B_3364,Bacteria,Actinobacteria
Streptomyces rutgersensis,1347,CRW_16S_B_3476,Bacteria,Actinobacteria
Streptomyces lanatus,1347,CRW_16S_B_3478,Bacteria,Actinobacteria
Streptomyces cuspidosporus,1384,CRW_16S_B_3482,Bacteria,Actinobacteria
Micromonospora echinospora,1376,CRW_16S_B_3485,Bacteria,Actinobacteria
Streptomyces spiroverticillatus,1392,CRW_16S_B_3495,Bacteria,Actinobacteria
Streptomyces turgidiscabies,1386,CRW_16S_B_3496,Bacteria,Actinobacteria
Streptomyces albogriseolus,1386,CRW_16S_B_3505,Bacteria,Actinobacteria
Streptomyces scabiei,1396,CRW_16S_B_3506,Bacteria,Actinobacteria
Micrococcus luteus,1373,CRW_16S_B_3514,Bacteria,Actinobacteria
Micrococcus luteus,1270,CRW_16S_B_3548,Bacteria,Actinobacteria
Micrococcus luteus,1186,CRW_16S_B_3596,Bacteria,Actinobacteria
Dietzia maris,1316,CRW_16S_B_3707,Bacteria,Actinobacteria
Gordonia aichiensis,1320,CRW_16S_B_3800,Bacteria,Actinobacteria
Gordonia amarae,1367,CRW_16S_B_3803,Bacteria,Actinobacteria
Gordonia bronchialis,1262,CRW_16S_B_3806,Bacteria,Actinobacteria
Gordonia bronchialis,1393,CRW_16S_B_3807,Bacteria,Actinobacteria
Gordonia rubripertincta,1400,CRW_16S_B_3810,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3812,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3813,Bacteria,Actinobacteria
Gordonia sputi,1320,CRW_16S_B_3814,Bacteria,Actinobacteria
Gordonia terrae,1319,CRW_16S_B_3817,Bacteria,Actinobacteria
Gordonia terrae,1356,CRW_16S_B_3818,Bacteria,Actinobacteria
Kineococcus aurantiacus,1394,CRW_16S_B_3852,Bacteria,Actinobacteria
Kutzneria viridogrisea,1311,CRW_16S_B_3855,Bacteria,Actinobacteria
Leucobacter komagatae,1340,CRW_16S_B_3857,Bacteria,Actinobacteria
Luteococcus japonicus,1207,CRW_16S_B_3858,Bacteria,Actinobacteria
Mycobacterium celatum,1339,CRW_16S_B_3876,Bacteria,Actinobacteria
Mycobacterium gordonae,1072,CRW_16S_B_3888,Bacteria,Actinobacteria
Mycobacterium heidelbergense,1358,CRW_16S_B_3890,Bacteria,Actinobacteria
Mycobacterium lentiflavum,1224,CRW_16S_B_3896,Bacteria,Actinobacteria
Mycobacterium lentiflavum,1224,CRW_16S_B_3897,Bacteria,Actinobacteria
Mobiluncus curtisii,1330,CRW_16S_B_3924,Bacteria,Actinobacteria
Mycobacterium peregrinum,1052,CRW_16S_B_3934,Bacteria,Actinobacteria
Mycobacterium septicum,1327,CRW_16S_B_3940,Bacteria,Actinobacteria
Mycobacterium chelonae,1357,CRW_16S_B_3957,Bacteria,Actinobacteria
Mycobacterium asiaticum,1371,CRW_16S_B_3961,Bacteria,Actinobacteria
Mycobacterium aurum,1352,CRW_16S_B_3963,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1365,CRW_16S_B_3966,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1362,CRW_16S_B_3967,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1372,CRW_16S_B_3968,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1365,CRW_16S_B_3969,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1367,CRW_16S_B_3970,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1336,CRW_16S_B_3971,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1369,CRW_16S_B_3972,Bacteria,Actinobacteria
Mycobacterium avium subsp. paratuberculosis,1367,CRW_16S_B_3973,Bacteria,Actinobacteria
Mycobacterium chelonae,1073,CRW_16S_B_3992,Bacteria,Actinobacteria
Mycobacterium chelonae,1073,CRW_16S_B_3993,Bacteria,Actinobacteria
Mycobacterium chelonae,1071,CRW_16S_B_3994,Bacteria,Actinobacteria
Mycobacterium chitae,1360,CRW_16S_B_3995,Bacteria,Actinobacteria
Mycobacterium chlorophenolicum,1317,CRW_16S_B_3999,Bacteria,Actinobacteria
Mycobacterium confluentis,1335,CRW_16S_B_4003,Bacteria,Actinobacteria
Mycobacterium conspicuum,1396,CRW_16S_B_4005,Bacteria,Actinobacteria
Mycobacterium fallax,1351,CRW_16S_B_4008,Bacteria,Actinobacteria
Mycobacterium flavescens,1360,CRW_16S_B_4011,Bacteria,Actinobacteria
Mycobacterium gadium,1354,CRW_16S_B_4016,Bacteria,Actinobacteria
Mycobacterium gordonae,1376,CRW_16S_B_4022,Bacteria,Actinobacteria
Mycobacterium intracellulare,1374,CRW_16S_B_4029,Bacteria,Actinobacteria
Mycobacterium intracellulare,1366,CRW_16S_B_4030,Bacteria,Actinobacteria
Mycobacterium intracellulare,1374,CRW_16S_B_4031,Bacteria,Actinobacteria
Mycobacterium intracellulare,1372,CRW_16S_B_4039,Bacteria,Actinobacteria
Mycobacterium intracellulare,1369,CRW_16S_B_4040,Bacteria,Actinobacteria
Mycobacterium kansasii,1371,CRW_16S_B_4043,Bacteria,Actinobacteria
Mycobacterium malmoense,1367,CRW_16S_B_4059,Bacteria,Actinobacteria
Mycobacterium chelonae,1073,CRW_16S_B_4064,Bacteria,Actinobacteria
Mycobacterium neoaurum,1357,CRW_16S_B_4065,Bacteria,Actinobacteria
Mycobacterium nonchromogenicum,1379,CRW_16S_B_4067,Bacteria,Actinobacteria
Mycobacterium phlei,1360,CRW_16S_B_4069,Bacteria,Actinobacteria
Mycobacterium senegalense,1358,CRW_16S_B_4071,Bacteria,Actinobacteria
Mycobacterium szulgai,1379,CRW_16S_B_4087,Bacteria,Actinobacteria
Mycobacterium terrae,1366,CRW_16S_B_4089,Bacteria,Actinobacteria
Mycobacterium thermoresistibile,1361,CRW_16S_B_4092,Bacteria,Actinobacteria
Mycobacterium triviale,1356,CRW_16S_B_4094,Bacteria,Actinobacteria
Mycobacterium xenopi,1376,CRW_16S_B_4108,Bacteria,Actinobacteria
Nocardia asteroides,1372,CRW_16S_B_4125,Bacteria,Actinobacteria
Nocardia brasiliensis,1366,CRW_16S_B_4131,Bacteria,Actinobacteria
Nocardia brevicatena,1367,CRW_16S_B_4134,Bacteria,Actinobacteria
Nocardia carnea,1367,CRW_16S_B_4136,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4139,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4140,Bacteria,Actinobacteria
Nocardia farcinica,1366,CRW_16S_B_4141,Bacteria,Actinobacteria
Nocardia nova,1367,CRW_16S_B_4144,Bacteria,Actinobacteria
Nocardia otitidiscaviarum,1366,CRW_16S_B_4146,Bacteria,Actinobacteria
Nocardia seriolae,1368,CRW_16S_B_4151,Bacteria,Actinobacteria
Nocardia transvalensis,1366,CRW_16S_B_4153,Bacteria,Actinobacteria
Nocardia vaccinii,1367,CRW_16S_B_4156,Bacteria,Actinobacteria
Nocardia paucivorans,1376,CRW_16S_B_4169,Bacteria,Actinobacteria
Pseudonocardia alni,1345,CRW_16S_B_4201,Bacteria,Actinobacteria
Pseudonocardia autotrophica,1332,CRW_16S_B_4202,Bacteria,Actinobacteria
Pseudonocardia compacta,1241,CRW_16S_B_4203,Bacteria,Actinobacteria
Pseudonocardia hydrocarbonoxydans,1310,CRW_16S_B_4204,Bacteria,Actinobacteria
Pseudonocardia petroleophila,1374,CRW_16S_B_4206,Bacteria,Actinobacteria
Pseudonocardia thermophila,1299,CRW_16S_B_4208,Bacteria,Actinobacteria
Pseudonocardia thermophila,1246,CRW_16S_B_4209,Bacteria,Actinobacteria
Rhodococcus coprophilus,1321,CRW_16S_B_4217,Bacteria,Actinobacteria
Rhodococcus equi,1369,CRW_16S_B_4220,Bacteria,Actinobacteria
Rhodococcus equi,1369,CRW_16S_B_4221,Bacteria,Actinobacteria
Rhodococcus equi,1365,CRW_16S_B_4222,Bacteria,Actinobacteria
Rhodococcus equi,1363,CRW_16S_B_4224,Bacteria,Actinobacteria
Rhodococcus erythropolis,1367,CRW_16S_B_4226,Bacteria,Actinobacteria
Rhodococcus erythropolis,1314,CRW_16S_B_4228,Bacteria,Actinobacteria
Rhodococcus erythropolis,1366,CRW_16S_B_4229,Bacteria,Actinobacteria
Rhodococcus fascians,1314,CRW_16S_B_4232,Bacteria,Actinobacteria
Rhodococcus fascians,1316,CRW_16S_B_4233,Bacteria,Actinobacteria
Rhodococcus fascians,1338,CRW_16S_B_4234,Bacteria,Actinobacteria
Rhodococcus globerulus,1315,CRW_16S_B_4237,Bacteria,Actinobacteria
Rhodococcus globerulus,1324,CRW_16S_B_4239,Bacteria,Actinobacteria
Rhodococcus marinonascens,1314,CRW_16S_B_4242,Bacteria,Actinobacteria
Rhodococcus rhodnii,1369,CRW_16S_B_4250,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1319,CRW_16S_B_4253,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1320,CRW_16S_B_4254,Bacteria,Actinobacteria
Rhodococcus rhodochrous,1146,CRW_16S_B_4255,Bacteria,Actinobacteria
Streptomyces purpurogeneiscleroticus,1389,CRW_16S_B_426,Bacteria,Actinobacteria
Rhodococcus zopfii,1319,CRW_16S_B_4268,Bacteria,Actinobacteria
Renibacterium salmoninarum,1054,CRW_16S_B_4269,Bacteria,Actinobacteria
Saccharomonospora viridis,1376,CRW_16S_B_4296,Bacteria,Actinobacteria
Saccharopolyspora erythraea,1316,CRW_16S_B_4304,Bacteria,Actinobacteria
Saccharopolyspora hirsuta,1381,CRW_16S_B_4306,Bacteria,Actinobacteria
Saccharopolyspora hirsuta,1284,CRW_16S_B_4307,Bacteria,Actinobacteria
Saccharopolyspora hordei,1340,CRW_16S_B_4308,Bacteria,Actinobacteria
Saccharopolyspora rectivirgula,1260,CRW_16S_B_4309,Bacteria,Actinobacteria
Saccharopolyspora rectivirgula,1246,CRW_16S_B_4310,Bacteria,Actinobacteria
Streptomyces abikoensis,1177,CRW_16S_B_4363,Bacteria,Actinobacteria
Streptomyces albus,1242,CRW_16S_B_4366,Bacteria,Actinobacteria
Streptomyces brasiliensis,1239,CRW_16S_B_4372,Bacteria,Actinobacteria
Streptomyces mobaraensis,1197,CRW_16S_B_4401,Bacteria,Actinobacteria
Streptomyces mobaraensis,1192,CRW_16S_B_4405,Bacteria,Actinobacteria
Streptomyces purpureus,1190,CRW_16S_B_4413,Bacteria,Actinobacteria
Acrocarpospora corrugata,1341,CRW_16S_B_4470,Bacteria,Actinobacteria
Streptosporangium nondiastaticum,1342,CRW_16S_B_4478,Bacteria,Actinobacteria
Streptomyces fumanus,1341,CRW_16S_B_448,Bacteria,Actinobacteria
Streptosporangium pseudovulgare,1345,CRW_16S_B_4481,Bacteria,Actinobacteria
Streptosporangium roseum,1322,CRW_16S_B_4486,Bacteria,Actinobacteria
Streptomyces griseorubiginosus,1395,CRW_16S_B_450,Bacteria,Actinobacteria
Thermocrispum municipale,1329,CRW_16S_B_4501,Bacteria,Actinobacteria
Tropheryma whipplei,1321,CRW_16S_B_4506,Bacteria,Actinobacteria
Terrabacter tumescens,1399,CRW_16S_B_4508,Bacteria,Actinobacteria
Tsukamurella paurometabola,1341,CRW_16S_B_4515,Bacteria,Actinobacteria
Tsukamurella paurometabola,1324,CRW_16S_B_4516,Bacteria,Actinobacteria
Tsukamurella paurometabola,1341,CRW_16S_B_4520,Bacteria,Actinobacteria
Streptomyces olivaceoviridis,1268,CRW_16S_B_462,Bacteria,Actinobacteria
Streptomyces olivochromogenes,1178,CRW_16S_B_463,Bacteria,Actinobacteria
Streptomyces coeruleorubidus,1478,CRW_16S_B_1000,Bacteria,Actinobacteria
Streptomyces purpurascens,1477,CRW_16S_B_1002,Bacteria,Actinobacteria
Streptomyces mashuensis,1461,CRW_16S_B_1003,Bacteria,Actinobacteria
Streptomyces ipomoeae,1463,CRW_16S_B_1008,Bacteria,Actinobacteria
Streptomyces purpurascens,1473,CRW_16S_B_1010,Bacteria,Actinobacteria
Streptomyces cyaneofuscatus,1436,CRW_16S_B_1011,Bacteria,Actinobacteria
Streptomyces alboflavus,1455,CRW_16S_B_1012,Bacteria,Actinobacteria
Streptomyces griseocarneus,1463,CRW_16S_B_1014,Bacteria,Actinobacteria
Streptomyces ardus,1457,CRW_16S_B_1015,Bacteria,Actinobacteria
Streptomyces orinoci,1469,CRW_16S_B_1017,Bacteria,Actinobacteria
Streptomyces exfoliatus,1452,CRW_16S_B_1019,Bacteria,Actinobacteria
Streptomyces mobaraensis,1473,CRW_16S_B_1021,Bacteria,Actinobacteria
Streptomyces cyaneus,1458,CRW_16S_B_1023,Bacteria,Actinobacteria
Streptomyces purpurascens,1466,CRW_16S_B_1024,Bacteria,Actinobacteria
Streptomyces anulatus,1475,CRW_16S_B_1025,Bacteria,Actinobacteria
Streptomyces chryseus,1477,CRW_16S_B_1026,Bacteria,Actinobacteria
Streptomyces iakyrus,1475,CRW_16S_B_1027,Bacteria,Actinobacteria
Streptomyces variabilis,1479,CRW_16S_B_1034,Bacteria,Actinobacteria
Streptomyces lavendulae subsp. lavendulae,1476,CRW_16S_B_1035,Bacteria,Actinobacteria
Micromonospora chaiyaphumensis,1437,CRW_16S_B_1053,Bacteria,Actinobacteria
Micromonospora chaiyaphumensis,1436,CRW_16S_B_1054,Bacteria,Actinobacteria
Micromonospora chaiyaphumensis,1437,CRW_16S_B_1055,Bacteria,Actinobacteria
Micromonospora marina,1437,CRW_16S_B_1056,Bacteria,Actinobacteria
Micromonospora marina,1435,CRW_16S_B_1057,Bacteria,Actinobacteria
Micromonospora marina,1437,CRW_16S_B_1058,Bacteria,Actinobacteria
Micromonospora krabiensis,1440,CRW_16S_B_1059,Bacteria,Actinobacteria
Micromonospora krabiensis,1437,CRW_16S_B_1060,Bacteria,Actinobacteria
Nocardia brasiliensis,1478,CRW_16S_B_1062,Bacteria,Actinobacteria
Nocardia brasiliensis,1425,CRW_16S_B_1063,Bacteria,Actinobacteria
Nocardia transvalensis,1434,CRW_16S_B_1064,Bacteria,Actinobacteria
Nocardia transvalensis,1414,CRW_16S_B_1065,Bacteria,Actinobacteria
Nocardia otitidiscaviarum,1452,CRW_16S_B_1067,Bacteria,Actinobacteria
Nocardia abscessus,1407,CRW_16S_B_1073,Bacteria,Actinobacteria
Streptomyces kanamyceticus,1474,CRW_16S_B_1077,Bacteria,Actinobacteria
Streptomyces misakiensis,1473,CRW_16S_B_1080,Bacteria,Actinobacteria
Streptomyces purpurascens,1447,CRW_16S_B_1092,Bacteria,Actinobacteria
Actinoplanes capillaceus,1480,CRW_16S_B_11,Bacteria,Actinobacteria
Saccharothrix espanaensis,1409,CRW_16S_B_1109,Bacteria,Actinobacteria
Streptomyces sclerotialus,1437,CRW_16S_B_1110,Bacteria,Actinobacteria
Streptomyces lilacinus,1475,CRW_16S_B_1111,Bacteria,Actinobacteria
Streptomyces peucetius,1453,CRW_16S_B_1112,Bacteria,Actinobacteria
Streptomyces gardneri,1451,CRW_16S_B_1113,Bacteria,Actinobacteria
Streptomyces blastmyceticus,1449,CRW_16S_B_1115,Bacteria,Actinobacteria
Streptomyces netropsis,1449,CRW_16S_B_1116,Bacteria,Actinobacteria
Streptomyces abikoensis,1448,CRW_16S_B_1118,Bacteria,Actinobacteria
Streptomyces thermospinosisporus,1455,CRW_16S_B_1119,Bacteria,Actinobacteria
Streptomyces albus,1451,CRW_16S_B_1120,Bacteria,Actinobacteria
Streptomyces roseofulvus,1451,CRW_16S_B_1121,Bacteria,Actinobacteria
Streptomyces glomeratus,1452,CRW_16S_B_1122,Bacteria,Actinobacteria
