Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.species group,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.tribe,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subfamily,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.kingdom,Taxonomy.NCBI.no rank 6,Taxonomy.NCBI.no rank 7,Taxonomy.NCBI.no rank 8,Taxonomy.NCBI.no rank 9,Taxonomy.NCBI.superclass,Taxonomy.NCBI.subclass,Taxonomy.NCBI.superorder,Taxonomy.NCBI.superfamily,Taxonomy.NCBI.no rank 10,Taxonomy.NCBI.no rank 11,Taxonomy.NCBI.no rank 12,Taxonomy.NCBI.no rank 13,Taxonomy.NCBI.no rank 14,Taxonomy.NCBI.no rank 15,Taxonomy.NCBI.no rank 16,Taxonomy.NCBI.subkingdom,Taxonomy.NCBI.infraclass,Taxonomy.NCBI.cohort,Taxonomy.NCBI.infraorder,Taxonomy.NCBI.varietas,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subtribe,Taxonomy.NCBI.subcohort,Taxonomy.NCBI.parvorder,Taxonomy.NCBI.unknown 4,Taxonomy.NCBI.unknown 5,Taxonomy.NCBI.no rank 17,Taxonomy.NCBI.no rank 18,Taxonomy.NCBI.unknown 6
uncultured archaeon,CR937011,123,47,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_25,--,Yes,root,cellular organisms,Archaea,,,,,,environmental samples <Archaea>,,uncultured archaeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfurococcus mobilis,X07545,133,57,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_26,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,DQ314493,120,44,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_27,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,DQ314494,120,44,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_28,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_N_29,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halobacterium sp.,L27343,119,43,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_30,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloarcula marismortui,AF034620,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_31,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halorubrum distributum,L27169,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_32,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum distributum,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halorubrum distributum,L27236,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_33,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum distributum,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanobacterium formicicum,X62859,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_34,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,Methanomada group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanocaldococcus jannaschii,U67537,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_35,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanomada group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanocaldococcus jannaschii,U67518,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_36,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanomada group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanothermococcus thermolithotrophicus,M34911,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_37,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanohalophilus halophilus,X62860,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_38,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus halophilus,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanohalobium evestigatum,X62861,127,51,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_39,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanolobus tindarius,M34910,128,52,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_40,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanolobus tindarius,X62862,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_41,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanosarcina vacuolata,X62864,127,55,72,No,0,5S,0,(()()),(((((())))((())))),--,No,CRW,--,CRW_5S_A_42,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina vacuolata,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanothermus fervidus,M26976,124,50,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_43,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanothermobacter thermautotrophicus,X15364,129,53,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_44,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,Methanomada group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natrialba magadii,X72495,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_45,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii,NC_003106,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_46,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrodictium occultum,M21086,130,54,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_47,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Crenarchaeota <phylum>,TACK group,Pyrodictium occultum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus woesei,X15329,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_48,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus woesei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus acidocaldarius,V01286,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_49,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,TACK group,Sulfolobus acidocaldarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus acidocaldarius,U05019,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_50,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,TACK group,Sulfolobus acidocaldarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus sp.,X05870,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_51,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota <phylum>,TACK group,Sulfolobus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus,X01588,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_52,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus,Y08257,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_53,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermococcus celer,X07692,127,51,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_54,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermococcus celer,M12711,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_55,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,X02709,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_56,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,Diaforarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,M32297,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_57,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,Diaforarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,AL445066,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_58,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,Diaforarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma volcanium,NC_002689,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_59,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Diaforarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma volcanium GSS1,BA000011,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_60,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Diaforarchaea group,,Thermoplasma volcanium GSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035920,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_61,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035921,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_62,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035922,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_63,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035923,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_64,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035923,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_65,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035924,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_66,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035925,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_67,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035926,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_68,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
