Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.phylum,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.subphylum,Taxonomy.SILVA.subclass,Taxonomy.SILVA.kingdom,Taxonomy.SILVA.subkingdom,Taxonomy.SILVA.no rank 1,Taxonomy.SILVA.no rank 2,Taxonomy.SILVA.unknown 5,Taxonomy.SILVA.no rank 3,Taxonomy.SILVA.unknown 6,Taxonomy.SILVA.infraclass,Taxonomy.SILVA.no rank 4,Taxonomy.SILVA.no rank 5,Taxonomy.SILVA.superclass,Taxonomy.SILVA.unknown 7,Taxonomy.SILVA.suborder,Taxonomy.SILVA.superorder,Taxonomy.SILVA.no rank 6
Pyrococcus abyssi,AJ248284,122,50,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_15,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus abyssi,AJ248285,122,58,64,No,0,5S,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_A_16,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_17,--,Yes,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_18,--,Yes,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_19,--,Yes,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_20,--,Yes,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,,,,,,,,,,,,,,,,,,,,,,
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_21,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_22,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperthermus butylicus DSM 5456,CP000493,130,54,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_23,--,Yes,Archaea,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Staphylothermus marinus F1,CP000575,115,39,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_24,--,Yes,Archaea,,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
uncultured archaeon,CR937011,123,47,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_25,--,Yes,Archaea,Bathyarchaeia,,,,,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Desulfurococcus mobilis,X07545,133,57,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_26,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,DQ314493,120,44,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_27,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Haloquadratum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,DQ314494,120,44,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_28,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Haloquadratum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
null,,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_N_29,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halobacterium sp.,L27343,119,43,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_30,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloarcula marismortui,AF034620,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_31,--,Yes,Archaea,Halobacterota,Halobacteria,,,Haloarcula,,Halobacterales,Halomicrobiaceae,,,,,,,,,,,,,,,,,,,,
Halorubrum distributum,L27169,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_32,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Halorubrum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Halorubrum distributum,L27236,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_33,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Halorubrum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Methanobacterium formicicum,X62859,126,50,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_34,--,Yes,Archaea,,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Methanocaldococcus jannaschii,U67537,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_35,--,Yes,Archaea,,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Methanocaldococcus jannaschii,U67518,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_36,--,Yes,Archaea,,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Methanothermococcus thermolithotrophicus,M34911,120,50,70,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_37,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanohalophilus halophilus,X62860,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_38,--,Yes,Archaea,Halobacterota,,,Methanosarcinaceae,Methanohalophilus,,Methanosarcinia,Methanosarciniales,,,,,,,,,,,,,,,,,,,,
Methanohalobium evestigatum,X62861,127,51,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_39,--,Yes,Archaea,Halobacterota,,,Methanosarcinaceae,Methanohalobium,,Methanosarcinia,Methanosarciniales,,,,,,,,,,,,,,,,,,,,
Methanolobus tindarius,M34910,128,52,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_40,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanolobus tindarius,X62862,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_41,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanosarcina vacuolata,X62864,127,55,72,No,0,5S,0,(()()),(((((())))((())))),--,No,CRW,--,CRW_5S_A_42,--,Yes,Archaea,Halobacterota,,,Methanosarcinaceae,Methanosarcina,,Methanosarcinia,Methanosarciniales,,,,,,,,,,,,,,,,,,,,
Methanothermus fervidus,M26976,124,50,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_43,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanothermobacter thermautotrophicus,X15364,129,53,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_A_44,--,Yes,Archaea,Methanothermobacteriaceae,Methanobacteria,Methanobacteriales,,Methanothermobacter,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Natrialba magadii,X72495,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_45,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Natrialba,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii,NC_003106,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_46,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrodictium occultum,M21086,130,54,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_47,--,Yes,Archaea,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus woesei,X15329,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_48,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus acidocaldarius,V01286,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_49,--,Yes,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus acidocaldarius,U05019,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_50,--,Yes,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus sp.,X05870,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_51,--,Yes,Archaea,,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus,X01588,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_52,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus,Y08257,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_53,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermococcus celer,X07692,127,51,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_54,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Thermococcus celer,M12711,125,49,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_55,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,X02709,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_56,--,Yes,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,M32297,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_57,--,Yes,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma acidophilum,AL445066,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_58,--,Yes,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma volcanium,NC_002689,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_59,--,Yes,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,,,,,,,,,,,,,,,,,,,,,,,
Thermoplasma volcanium GSS1,BA000011,123,47,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_60,--,Yes,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035920,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_61,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035921,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_62,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035922,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_63,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035923,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_64,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035923,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_65,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035924,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_66,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035925,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_67,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Escherichia coli O157,AB035926,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_68,--,Yes,Bacteria,Escherichia-Shigella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045282,87,57,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_69,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045283,87,57,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_70,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045284,86,56,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_71,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045285,86,56,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_72,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045286,87,57,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_73,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045287,87,57,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_74,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045288,86,56,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_75,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045289,86,56,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_76,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,AB045290,86,56,30,No,0,5S,0,(),(((()))),--,No,CRW,--,CRW_5S_B_77,--,Yes,Bacteria,Clostridium sensu stricto 1,Clostridia,Clostridiales,Clostridiaceae,,Firmicutes,,,,,,,,,,,,,,,,,,,,,,
Wigglesworthia glossinidia endosymbiont of Glossin,AB063521,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_78,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglesworthia glossinidia endosymbiont of Glossin,AB063522,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_79,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,AB102732,143,65,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_80,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,AB102733,142,66,76,No,0,5S,0,(()()),(((((()))))(())),--,No,CRW,--,CRW_5S_B_81,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,AB102734,143,65,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_82,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,AB102735,143,65,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_83,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB259168,117,43,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_84,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Gluconacetobacter xylinus,M76572,120,42,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_85,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidiphilium acidophilum,M11546,120,42,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_86,--,Yes,Bacteria,Acetobacterales,Alphaproteobacteria,,Acetobacteraceae,Acidiphilium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Acidiphilium cryptum,M11545,122,44,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_87,--,Yes,Bacteria,Acetobacterales,Alphaproteobacteria,,Acetobacteraceae,Acidiphilium,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Achromobacter cycloclastes,X05521,120,42,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_88,--,Yes,Bacteria,,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Achromobacter piechaudii,AJ131588,115,39,76,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_89,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Acidovorax temperans,AJ131585,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_90,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Acidovorax delafieldii,AJ131583,115,41,74,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_91,--,Yes,Bacteria,,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Aquifex aeolicus VF5,AE000657,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_92,--,Yes,Bacteria,Aquificota,,Aquificales,Aquificaceae,Aquifex,Aquificae,,,,,,,,,,,,,,,,,,,,,,
Aquifex aeolicus VF5,AE000657,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_93,--,Yes,Bacteria,Aquificota,,Aquificales,Aquificaceae,Aquifex,Aquificae,,,,,,,,,,,,,,,,,,,,,,
Aquifex aeolicus VF5,AE000709,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_94,--,Yes,Bacteria,Aquificota,,Aquificales,Aquificaceae,Aquifex,Aquificae,,,,,,,,,,,,,,,,,,,,,,
Aquifex aeolicus VF5,AE000752,120,40,80,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_95,--,Yes,Bacteria,Aquificota,,Aquificales,Aquificaceae,Aquifex,Aquificae,,,,,,,,,,,,,,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_96,--,Yes,Bacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
Xylella fastidiosa 9a5c,AE003849,118,40,78,No,0,5S,0,(()()),((((())))(())),--,No,CRW,--,CRW_5S_B_97,--,Yes,Bacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,
