Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.order,Taxonomy.LTP.family,Taxonomy.LTP.unknown 1,Taxonomy.LTP.unknown 2,Taxonomy.LTP.phylum
Campylobacter coli,AF074838,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_593,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter coli,AF074839,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_594,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter coli,AF074840,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_595,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Bradyrhizobium denitrificans,AF338160,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_861,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium denitrificans,AF338161,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_862,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium denitrificans,AF338162,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_863,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium denitrificans,AF338165,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_866,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium denitrificans,AF338167,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_868,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium denitrificans,AF338168,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_869,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Hyphomicrobiales,Nitrobacteraceae,
Pseudomonas aeruginosa,AJ439388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1413,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas aeruginosa,AJ439389,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1414,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas aeruginosa,AJ439390,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1415,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas aeruginosa,AJ439391,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1416,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas aeruginosa,AJ439392,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1417,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Riemerella anatipestifer,DQ399763,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4197,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399764,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4198,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399765,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4199,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399766,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4200,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399767,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4201,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399768,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4202,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399769,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_4203,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399770,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4204,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399771,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4205,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399772,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4206,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399773,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4207,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399774,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4208,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399775,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4209,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399776,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4210,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399777,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4211,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399778,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4212,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399779,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4213,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399780,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4214,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399781,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4215,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399782,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4216,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399783,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4217,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399784,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4218,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399785,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4219,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399786,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4220,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Riemerella anatipestifer,DQ399787,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4221,--,Yes,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,Weeksellaceae,,
Xylophilus ampelinus,U76357,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4535,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,
Yersinia pestis,AF069749,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4831,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,,,
Escherichia coli,AF135406,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4833,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Pseudomonas aeruginosa,AF236052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4841,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Escherichia coli,M35841,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5674,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Vibrio cholerae,AE004132,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5720,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Acholeplasma laidlawii,X61066,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5784,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
Bacillus subtilis,AF008220,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6096,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Vibrio parahaemolyticus,AF070945,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6105,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Renibacterium salmoninarum,AF242885,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6109,--,Yes,Bacteria,Actinomycetota,,Micrococcales,Micrococcaceae,,,Actinobacteria
Renibacterium salmoninarum,AF242886,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6110,--,Yes,Bacteria,Actinomycetota,,Micrococcales,Micrococcaceae,,,Actinobacteria
Renibacterium salmoninarum,AF242887,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6111,--,Yes,Bacteria,Actinomycetota,,Micrococcales,Micrococcaceae,,,Actinobacteria
Renibacterium salmoninarum,AF242888,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6112,--,Yes,Bacteria,Actinomycetota,,Micrococcales,Micrococcaceae,,,Actinobacteria
Escherichia coli,AJ316554,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6125,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Mycobacterium leprae,AL583924,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6165,--,Yes,Bacteria,Actinomycetota,,,Mycobacteriaceae,Mycobacteriales,,Actinobacteria
Ralstonia solanacearum,AL646052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6182,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,,
Ralstonia solanacearum,AL646052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6183,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,,
Ralstonia solanacearum,AL646052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6184,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,,
Magnetospirillum gryphiswaldense,AM085146,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6197,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,
Bacillus subtilis,D26185,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6497,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus subtilis,K00637,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6498,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus subtilis,L08236,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6499,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus subtilis,K01389,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6500,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus subtilis,K01390,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6501,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bordetella parapertussis,BX640426,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6530,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Bordetella parapertussis,BX640426,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6531,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Escherichia coli,AJ316554,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7053,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Spiroplasma melliferum,X03715,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7056,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,,,
Escherichia coli,J01696,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7110,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,K02846,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7112,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,K00169,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_7114,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,U70214,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_7115,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,U70214,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_7116,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,V00336,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7168,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,V00349,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7169,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Bacillus subtilis,X00889,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7180,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Spiroplasma melliferum,X03715,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_7186,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,,,
Escherichia coli,X14007,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7194,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Pseudomonas aeruginosa,X66051,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7207,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas aeruginosa,X66051,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7208,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Bacillus subtilis,Z82044,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7259,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Haemophilus parainfluenzae,AF045561,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8352,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,,
Escherichia coli,AM158281,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8632,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Mycoplasma pneumoniae,L15240,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9758,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,
Ralstonia solanacearum,AL646052,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10233,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,,
Bordetella parapertussis,BX640425,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_10440,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Pseudomonas putida,AJ617740,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_11653,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Bacillus subtilis,AF008220,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_14037,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus subtilis,K00637,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_14798,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Escherichia coli,K01994,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15331,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,K00211,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15332,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Escherichia coli,M87049,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15333,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
Photobacterium phosphoreum,M31833,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15392,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Photobacterium phosphoreum,M29761,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15393,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Vibrio harveyi,M29762,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15409,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Photobacterium phosphoreum,X12975,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15419,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Photobacterium phosphoreum,X12976,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15420,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Photobacterium phosphoreum,X12976,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_15421,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,
Prevotella ruminicola,AB003402,77,33,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_15489,--,Yes,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,
Xanthomonas campestris,AB004282,77,33,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_15490,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004283,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15491,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004284,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15492,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004285,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15493,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004286,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15494,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004287,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15495,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004288,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15496,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
Xanthomonas campestris,AB004289,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15497,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Lysobacterales,Lysobacteraceae,
