Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.unknown 1,Taxonomy.LTP.family,Taxonomy.LTP.order,Taxonomy.LTP.unknown 2,Taxonomy.LTP.phylum
Streptococcus agalactiae,AF291418,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_825,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus agalactiae,AF291419,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_826,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Alcanivorax venustensis,AF328763,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_846,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Alcanivorax venustensis,AF328765,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_847,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Alcanivorax jadensis,AF328767,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_848,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Bradyrhizobium japonicum,AF338828,67,37,30,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_883,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Nitrobacteraceae,
Legionella pneumophila,AF362959,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_926,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362961,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_927,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362963,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_928,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362965,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_929,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362967,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_930,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362969,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_931,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362971,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_932,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362973,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_933,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362975,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_934,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362977,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_935,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362979,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_936,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362981,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_937,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362983,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_938,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362984,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_939,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Legionella pneumophila,AF362985,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_940,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Legionellaceae,Legionellales,,
Carnobacterium gallinarum,AF374287,63,35,28,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_951,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium mobile,AF374291,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_954,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium divergens,AF374293,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_955,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium divergens,AF374294,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_956,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium maltaromaticum,AF374296,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_957,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium maltaromaticum,AF374297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_958,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Fusobacterium necrophorum subsp. necrophorum,AF410959,72,32,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1028,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriotales,,,Fusobacteriotaceae,
Corynebacterium glutamicum,AF435074,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1065,--,Yes,Bacteria,Actinomycetota,,Mycobacteriales,Corynebacteriaceae,,,Actinobacteria
Corynebacterium glutamicum,AF435074,73,29,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1066,--,Yes,Bacteria,Actinomycetota,,Mycobacteriales,Corynebacteriaceae,,,Actinobacteria
Thermotoga neapolitana,AJ872266,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1555,--,Yes,Bacteria,Thermotogota,,,Thermotogaceae,Thermotogales,,Thermotogae
Thermotoga neapolitana,AJ872267,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1556,--,Yes,Bacteria,Thermotogota,,,Thermotogaceae,Thermotogales,,Thermotogae
Thermotoga petrophila,AJ872269,64,36,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1558,--,Yes,Bacteria,Thermotogota,,,Thermotogaceae,Thermotogales,,Thermotogae
Thermotoga petrophila,AJ872269,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1559,--,Yes,Bacteria,Thermotogota,,,Thermotogaceae,Thermotogales,,Thermotogae
Listeria monocytogenes,AL591980,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1603,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Listeriaceae,,,
Listeria innocua,AL596170,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1607,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Listeriaceae,,,
Persephonella hydrogeniphila,AM259508,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1676,--,Yes,Bacteria,Aquificota,,,Hydrogenothermaceae,Aquificales,,Aquificae
Sulfurihydrogenibium yellowstonense,AM259516,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1684,--,Yes,Bacteria,Aquificota,,,Hydrogenothermaceae,Aquificales,,Aquificae
Hydrogenobacter subterraneus,AM259528,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1691,--,Yes,Bacteria,Aquificota,,,Aquificaceae,Aquificales,,Aquificae
Streptococcus agalactiae,AF291419,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1869,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Pseudomonas fluorescens,AY119683,71,31,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1909,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Carnobacterium funditum,AY170831,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1912,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium funditum,AY170832,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1913,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Streptococcus pneumoniae,AY183471,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1920,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Bacillus cereus,AY224382,73,29,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_2059,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,,,
Bacillus cereus,AY224387,73,29,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_2060,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,,,
Bacillus cereus,AY224388,73,29,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_2061,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,,,
Carnobacterium viridans,AY229994,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2064,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Carnobacterium viridans,AY229995,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2065,--,Yes,Bacteria,Bacillota,Bacilli,,Carnobacteriaceae,Lactobacillales,,
Vibrio alginolyticus,AY245200,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2068,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio alginolyticus,AY245203,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2069,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio alginolyticus,AY245206,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2070,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio alginolyticus,AY245209,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2071,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio alginolyticus,AY245212,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2072,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Arsenophonus nasoniae,AY264674,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2097,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Morganellaceae,Enterobacterales,,
Vibrio parahaemolyticus,AY298799,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2107,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY298803,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2108,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY298804,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2109,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Weissella confusa,AY342324,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2112,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella confusa,AY342325,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2113,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella halotolerans,AY342327,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2114,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella halotolerans,AY342328,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2115,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella hellenica,AY342330,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2116,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella kandleri,AY342332,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2117,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella koreensis,AY342333,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2118,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella minor,AY342334,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2119,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella minor,AY342335,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2120,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella paramesenteroides,AY342337,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2121,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella thailandensis,AY342340,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2122,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella thailandensis,AY342341,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2123,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella viridescens,AY342343,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2124,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella viridescens,AY342344,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2125,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella cibaria,AY342345,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2126,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella cibaria,AY342346,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2127,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella paramesenteroides,AY454527,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2142,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Weissella paramesenteroides,AY454528,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2143,--,Yes,Bacteria,Bacillota,Bacilli,,Leuconostocaceae,Lactobacillales,,
Vibrio parahaemolyticus,AY531062,73,29,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_2219,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531064,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2220,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531065,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2221,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531066,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2222,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531069,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2223,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531070,73,31,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2224,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Vibrio parahaemolyticus,AY531071,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2225,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
Streptococcus suis,AY585197,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2301,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus suis,AY585198,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2302,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus suis,AY585200,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2304,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Alcanivorax dieselolei,AY683532,73,29,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_2337,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Alcanivorax dieselolei,AY683538,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2338,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Edwardsiella ictaluri,AY706745,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2362,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Hafniaceae,Enterobacterales,,
Edwardsiella tarda,AY706746,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2363,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Hafniaceae,Enterobacterales,,
Edwardsiella tarda,AY706747,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2364,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Hafniaceae,Enterobacterales,,
Edwardsiella tarda,AY706748,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2365,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Hafniaceae,Enterobacterales,,
Photobacterium phosphoreum,AY779759,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2399,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Vibrionaceae,Vibrionales,,
