Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.unknown 1,Taxonomy.LTP.unknown 2,Taxonomy.LTP.order,Taxonomy.LTP.family,Taxonomy.LTP.phylum
Bacillus thuringiensis,AJ420059,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16863,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,,,Bacillaceae,
Bradyrhizobium japonicum,AY386713,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17470,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,,
Bradyrhizobium yuanmingense,AY386734,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17478,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,,
Rhizobium tropici,AY491966,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17529,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Rhizobiaceae,
Edwardsiella ictaluri,AY706745,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17728,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Hafniaceae,
Edwardsiella tarda,AY706746,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17729,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Hafniaceae,
Edwardsiella tarda,AY706747,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17730,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Hafniaceae,
Edwardsiella tarda,AY706748,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_17731,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Hafniaceae,
Thermus thermophilus,M25628,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19959,--,Yes,Bacteria,Deinococcota,Deinococci,,,Thermales,Thermaceae,
Pseudomonas aeruginosa,X06693,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20003,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Pseudomonadales,Pseudomonadaceae,
Acidithiobacillus ferrooxidans,X07395,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20004,--,Yes,Bacteria,Pseudomonadota,Acidithiobacillia,,,Acidithiobacillales,Acidithiobacillaceae,
Photobacterium leiognathi,X52969,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23737,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Vibrionales,Vibrionaceae,
Thermotoga maritima,Z11839,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23765,--,Yes,Bacteria,Thermotogota,,,,Thermotogales,Thermotogaceae,Thermotogae
Bacillus subtilis,M87888,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_32017,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,,,Bacillaceae,
Mycoplasma pneumoniae,L15234,78,34,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_B_32671,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,,,Mycoplasmatales,Mycoplasmataceae,
