Organism name,Length,Benchmark ID,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order
Thermococcus kodakarensis KOD1,78,CRW_t_A_1770,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,77,CRW_t_A_1771,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,78,CRW_t_A_1772,Archaea,Euryarchaeota,Thermococci,Thermococcales
Archaeoglobus fulgidus,72,CRW_t_A_1847,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus,72,CRW_t_A_1848,Archaea,,Archaeoglobi,Archaeoglobales
Haloferax volcanii,75,CRW_t_A_1849,Archaea,,Halobacteria,
Methanospirillum hungatei,73,CRW_t_A_1853,Archaea,,Methanomicrobia,Methanomicrobiales
Methanothermobacter thermautotrophicus,74,CRW_t_A_1854,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanococcus vannielii,73,CRW_t_A_1855,Archaea,Euryarchaeota,Methanococci,Methanococcales
Pyrobaculum aerophilum,72,CRW_t_A_1856,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Pyrococcus woesei,78,CRW_t_A_2212,Archaea,Euryarchaeota,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2305,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2306,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2307,Archaea,,Halobacteria,
Pyrococcus horikoshii OT3,78,CRW_t_A_2993,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,78,CRW_t_A_2994,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,77,CRW_t_A_2995,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermoplasma volcanium GSS1,72,CRW_t_A_3012,Archaea,,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,72,CRW_t_A_3013,Archaea,,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,72,CRW_t_A_3014,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured archaeon,72,CRW_t_A_3145,Archaea,Crenarchaeota,,
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3286,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3287,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3338,Archaea,,,
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3339,Archaea,,,
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_3340,Archaea,,,
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3341,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3342,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3343,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3344,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,72,CRW_t_A_3477,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3478,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3479,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3480,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,72,CRW_t_A_3481,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3482,Archaea,,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3526,Archaea,,,
Methanococcoides burtonii DSM 6242,75,CRW_t_A_3527,Archaea,,,
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3528,Archaea,,,
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3529,Archaea,,,
Methanococcoides burtonii DSM 6242,72,CRW_t_A_3530,Archaea,,,
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3772,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3773,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3774,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3780,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3781,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Methanocorpusculum labreanum Z,73,CRW_t_A_3856,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,72,CRW_t_A_3857,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,72,CRW_t_A_3858,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_3859,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_3860,Archaea,,Methanomicrobia,Methanomicrobiales
uncultured archaeon,76,CRW_t_A_3891,Archaea,Crenarchaeota,,
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3908,Archaea,,Halobacteria,
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3909,Archaea,,Halobacteria,
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3910,Archaea,,Halobacteria,
uncultured archaeon,72,CRW_t_A_4063,Archaea,Crenarchaeota,,
uncultured archaeon,72,CRW_t_A_4064,Archaea,Crenarchaeota,,
Haloquadratum walsbyi,72,CRW_t_A_4110,Archaea,,Halobacteria,
Haloquadratum walsbyi,72,CRW_t_A_4111,Archaea,,Halobacteria,
Halobacterium salinarum,72,CRW_t_A_4357,Archaea,,Halobacteria,
Halobacterium salinarum,77,CRW_t_A_4358,Archaea,,Halobacteria,
Haloferax volcanii,71,CRW_t_A_4359,Archaea,,Halobacteria,
Haloferax volcanii,75,CRW_t_A_4360,Archaea,,Halobacteria,
Haloferax volcanii,75,CRW_t_A_4361,Archaea,,Halobacteria,
Haloferax volcanii,75,CRW_t_A_4362,Archaea,,Halobacteria,
Halobacterium salinarum,75,CRW_t_A_4363,Archaea,,Halobacteria,
Haloferax mediterranei,72,CRW_t_A_4364,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4368,Archaea,Euryarchaeota,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,74,CRW_t_A_4369,Archaea,Euryarchaeota,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4370,Archaea,Euryarchaeota,Methanococci,Methanococcales
Methanospirillum hungatei,73,CRW_t_A_4381,Archaea,,Methanomicrobia,Methanomicrobiales
Natronococcus amylolyticus,76,CRW_t_A_4386,Archaea,,Halobacteria,
Pyrococcus furiosus,78,CRW_t_A_4406,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermococcus celer,77,CRW_t_A_4431,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanococcus vannielii,73,CRW_t_A_4459,Archaea,Euryarchaeota,Methanococci,Methanococcales
Halobacterium salinarum,75,CRW_t_A_4464,Archaea,,Halobacteria,
Halobacterium salinarum,72,CRW_t_A_4466,Archaea,,Halobacteria,
Thermoproteus tenax,72,CRW_t_A_4470,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Thermoproteus tenax,72,CRW_t_A_4471,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Methanothermobacter thermautotrophicus,75,CRW_t_A_4477,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosarcina mazei,73,CRW_t_A_4497,Archaea,,,
Natrialba magadii,75,CRW_t_A_4502,Archaea,,Halobacteria,
Halococcus morrhuae,63,CRW_t_A_4504,Archaea,,Halobacteria,
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_4621,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,73,CRW_t_A_4654,Archaea,,,
Methanosarcina mazei Go1,73,CRW_t_A_4655,Archaea,,,
Pyrococcus furiosus DSM 3638,76,CRW_t_A_4674,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_4676,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
Thermoplasma acidophilum,73,CRW_t_A_4893,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured methanogenic archaeon,73,CRW_t_A_4929,Archaea,,,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_4932,Archaea,,Halobacteria,
Thermococcus kodakarensis KOD1,76,CRW_t_A_4988,Archaea,Euryarchaeota,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_5058,Archaea,,Halobacteria,
Pyrococcus horikoshii OT3,76,CRW_t_A_5073,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermoplasma volcanium GSS1,73,CRW_t_A_5084,Archaea,,Thermoplasmata,Thermoplasmatales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5258,Archaea,,,
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5259,Archaea,,,
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5260,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5261,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,73,CRW_t_A_5328,Archaea,,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_5358,Archaea,,,
Hyperthermus butylicus DSM 5456,76,CRW_t_A_5492,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Methanocorpusculum labreanum Z,73,CRW_t_A_5534,Archaea,,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,73,CRW_t_A_5596,Archaea,,Halobacteria,
Haloferax volcanii DS2,76,CRW_t_A_5697,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_5703,Archaea,Euryarchaeota,Methanococci,Methanococcales
Halobacterium salinarum,76,CRW_t_A_5710,Archaea,,Halobacteria,
Methanothermobacter thermautotrophicus,78,CRW_t_A_5735,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Halobacterium salinarum,76,CRW_t_A_5767,Archaea,,Halobacteria,
Methanothermobacter thermautotrophicus,78,CRW_t_A_5770,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosarcina mazei Go1,73,CRW_t_A_5919,Archaea,,,
Pyrococcus furiosus DSM 3638,78,CRW_t_A_5936,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_5938,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
Thermoplasma acidophilum,73,CRW_t_A_6164,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured methanogenic archaeon,73,CRW_t_A_6199,Archaea,,,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_6203,Archaea,,Halobacteria,
Thermococcus kodakarensis KOD1,78,CRW_t_A_6254,Archaea,Euryarchaeota,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6356,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6357,Archaea,,Halobacteria,
Pyrococcus horikoshii OT3,78,CRW_t_A_6446,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermoplasma volcanium GSS1,73,CRW_t_A_6455,Archaea,,Thermoplasmata,Thermoplasmatales
Sulfolobus acidocaldarius DSM 639,70,CRW_t_A_6626,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_6652,Archaea,,,
Methanosphaera stadtmanae DSM 3091,72,CRW_t_A_6653,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_6762,Archaea,,,
Hyperthermus butylicus DSM 5456,78,CRW_t_A_6902,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Methanocorpusculum labreanum Z,73,CRW_t_A_6942,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_6943,Archaea,,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,73,CRW_t_A_7019,Archaea,,Halobacteria,
Haloferax volcanii,76,CRW_t_A_7048,Archaea,,Halobacteria,
Methanobacterium formicicum,74,CRW_t_A_7050,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanococcus vannielii,75,CRW_t_A_7051,Archaea,Euryarchaeota,Methanococci,Methanococcales
Haloferax volcanii,76,CRW_t_A_7126,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_7129,Archaea,Euryarchaeota,Methanococci,Methanococcales
Thermococcus celer,78,CRW_t_A_7154,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanococcus vannielii,76,CRW_t_A_7181,Archaea,Euryarchaeota,Methanococci,Methanococcales
Methanococcus vannielii,75,CRW_t_A_7182,Archaea,Euryarchaeota,Methanococci,Methanococcales
Thermococcus celer,78,CRW_t_A_7193,Archaea,Euryarchaeota,Thermococci,Thermococcales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_7310,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,72,CRW_t_A_7326,Archaea,,,
Methanosarcina mazei Go1,72,CRW_t_A_7327,Archaea,,,
Methanosarcina mazei Go1,72,CRW_t_A_7328,Archaea,,,
Pyrococcus furiosus DSM 3638,75,CRW_t_A_7334,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_7335,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
uncultured methanogenic archaeon,72,CRW_t_A_7426,Archaea,,,
Haloquadratum walsbyi DSM 16790,79,CRW_t_A_7428,Archaea,,Halobacteria,
Thermococcus kodakarensis KOD1,75,CRW_t_A_7452,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,75,CRW_t_A_7538,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7620,Archaea,,,
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7621,Archaea,,,
Methanospirillum hungatei JF-1,72,CRW_t_A_7661,Archaea,,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7671,Archaea,,,
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7672,Archaea,,,
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7673,Archaea,,,
Hyperthermus butylicus DSM 5456,79,CRW_t_A_7741,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Methanocorpusculum labreanum Z,72,CRW_t_A_7768,Archaea,,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,76,CRW_t_A_7799,Archaea,,Halobacteria,
Haloquadratum walsbyi,76,CRW_t_A_7899,Archaea,,Halobacteria,
Haloquadratum walsbyi,76,CRW_t_A_7900,Archaea,,Halobacteria,
Halobacterium salinarum,75,CRW_t_A_7925,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,72,CRW_t_A_7927,Archaea,Euryarchaeota,Methanococci,Methanococcales
Pyrococcus furiosus DSM 3638,77,CRW_t_A_7997,Archaea,Euryarchaeota,Thermococci,Thermococcales
Archaeoglobus fulgidus DSM 4304,75,CRW_t_A_8063,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,78,CRW_t_A_8103,Archaea,,,
Methanosarcina mazei Go1,78,CRW_t_A_8104,Archaea,,,
Methanosarcina mazei Go1,75,CRW_t_A_8105,Archaea,,,
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8124,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8125,Archaea,Euryarchaeota,Thermococci,Thermococcales
Picrophilus torridus DSM 9790,75,CRW_t_A_8284,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured methanogenic archaeon,75,CRW_t_A_8630,Archaea,,,
uncultured methanogenic archaeon,75,CRW_t_A_8631,Archaea,,,
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8636,Archaea,,Halobacteria,
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8637,Archaea,,Halobacteria,
Thermococcus kodakarensis KOD1,78,CRW_t_A_8690,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,78,CRW_t_A_8691,Archaea,Euryarchaeota,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8834,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8835,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8836,Archaea,,Halobacteria,
Pyrococcus horikoshii OT3,78,CRW_t_A_8904,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,78,CRW_t_A_8905,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermoplasma volcanium GSS1,75,CRW_t_A_8917,Archaea,,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,75,CRW_t_A_8918,Archaea,,Thermoplasmata,Thermoplasmatales
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9146,Archaea,,,
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9147,Archaea,,,
Methanosarcina barkeri str. Fusaro,75,CRW_t_A_9148,Archaea,,,
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9149,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9150,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,75,CRW_t_A_9237,Archaea,,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9272,Archaea,,,
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9273,Archaea,,,
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9453,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9454,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9589,Archaea,,Halobacteria,
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9590,Archaea,,Halobacteria,
Haloferax volcanii,78,CRW_t_A_9695,Archaea,,Halobacteria,
Haloferax volcanii,78,CRW_t_A_9713,Archaea,,Halobacteria,
Methanocaldococcus jannaschii,75,CRW_t_A_9717,Archaea,Euryarchaeota,Methanococci,Methanococcales
Haloferax volcanii,78,CRW_t_A_9746,Archaea,,Halobacteria,
Haloferax volcanii,78,CRW_t_A_9747,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9751,Archaea,Euryarchaeota,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9752,Archaea,Euryarchaeota,Methanococci,Methanococcales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9979,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9980,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,73,CRW_t_A_10016,Archaea,,,
Methanosarcina mazei Go1,73,CRW_t_A_10017,Archaea,,,
Pyrobaculum aerophilum str. IM2,76,CRW_t_A_10032,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Pyrococcus furiosus DSM 3638,76,CRW_t_A_10039,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,76,CRW_t_A_10040,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanopyrus kandleri AV19,76,CRW_t_A_10042,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
Thermoplasma acidophilum,73,CRW_t_A_10216,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured methanogenic archaeon,73,CRW_t_A_10248,Archaea,,,
uncultured methanogenic archaeon,73,CRW_t_A_10249,Archaea,,,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_10251,Archaea,,Halobacteria,
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_10252,Archaea,,Halobacteria,
Thermococcus kodakarensis KOD1,76,CRW_t_A_10294,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,76,CRW_t_A_10295,Archaea,Euryarchaeota,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_10349,Archaea,,Halobacteria,
Haloarcula marismortui ATCC 43049,73,CRW_t_A_10350,Archaea,,Halobacteria,
Pyrococcus horikoshii OT3,76,CRW_t_A_10363,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,76,CRW_t_A_10364,Archaea,Euryarchaeota,Thermococci,Thermococcales
Thermoplasma volcanium GSS1,73,CRW_t_A_10377,Archaea,,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,73,CRW_t_A_10378,Archaea,,Thermoplasmata,Thermoplasmatales
Sulfolobus acidocaldarius DSM 639,70,CRW_t_A_10517,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales
Sulfolobus acidocaldarius DSM 639,70,CRW_t_A_10518,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_10532,Archaea,,,
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_10533,Archaea,,,
Methanosphaera stadtmanae DSM 3091,72,CRW_t_A_10534,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_10535,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,73,CRW_t_A_10609,Archaea,,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_10610,Archaea,,Methanomicrobia,Methanomicrobiales
Hyperthermus butylicus DSM 5456,76,CRW_t_A_10764,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Hyperthermus butylicus DSM 5456,78,CRW_t_A_10765,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales
Methanocorpusculum labreanum Z,73,CRW_t_A_10796,Archaea,,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_10797,Archaea,,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,73,CRW_t_A_10845,Archaea,,Halobacteria,
Natronomonas pharaonis DSM 2160,73,CRW_t_A_10846,Archaea,,Halobacteria,
Haloferax volcanii,76,CRW_t_A_10945,Archaea,,Halobacteria,
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_10948,Archaea,Euryarchaeota,Methanococci,Methanococcales
Halobacterium salinarum,76,CRW_t_A_10959,Archaea,,Halobacteria,
Haloferax volcanii,76,CRW_t_A_10960,Archaea,,Halobacteria,
Methanocaldococcus jannaschii,73,CRW_t_A_10971,Archaea,Euryarchaeota,Methanococci,Methanococcales
Halobacterium salinarum,76,CRW_t_A_11013,Archaea,,Halobacteria,
Archaeoglobus fulgidus DSM 4304,71,CRW_t_A_11152,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,71,CRW_t_A_11153,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_11154,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,72,CRW_t_A_11227,Archaea,,,
Methanosarcina mazei Go1,72,CRW_t_A_11228,Archaea,,,
