Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.class,Taxonomy.LTP.order
Halobacterium salinarum,75,CRW_t_A_7925,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,78,CRW_t_A_9695,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,78,CRW_t_A_9713,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,75,CRW_t_A_9717,Archaea,Methanococci,Methanococcales
Methanothermus fervidus,75,CRW_t_A_9718,Archaea,Methanobacteria,Methanobacteriales
Haloferax volcanii,78,CRW_t_A_9746,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,78,CRW_t_A_9747,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,75,CRW_t_A_9754,Archaea,Methanobacteria,Methanobacteriales
Thermoplasma acidophilum,73,CRW_t_A_10216,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,76,CRW_t_A_10945,Archaea,Halobacteria,Haloferacales
Halobacterium salinarum,76,CRW_t_A_10959,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,76,CRW_t_A_10960,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,73,CRW_t_A_10971,Archaea,Methanococci,Methanococcales
Halobacterium salinarum,76,CRW_t_A_11013,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,74,CRW_t_A_13464,Archaea,Halobacteria,Haloferacales
Thermofilum pendens,77,CRW_t_A_13465,Archaea,,
Haloferax volcanii,74,CRW_t_A_13471,Archaea,Halobacteria,Haloferacales
Methanothermobacter thermautotrophicus,78,CRW_t_A_13473,Archaea,Methanobacteria,Methanobacteriales
Haloferax volcanii,74,CRW_t_A_13494,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_13513,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_13514,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_13515,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_13516,Archaea,Halobacteria,Haloferacales
Thermofilum pendens,77,CRW_t_A_13559,Archaea,,
Halobacterium salinarum,74,CRW_t_A_13597,Archaea,Halobacteria,Halobacteriales
Methanothermobacter thermautotrophicus,78,CRW_t_A_13612,Archaea,Methanobacteria,Methanobacteriales
Thermoplasma acidophilum,72,CRW_t_A_14254,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,77,CRW_t_A_15349,Archaea,Halobacteria,Haloferacales
Halobacterium salinarum,76,CRW_t_A_15350,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,76,CRW_t_A_15351,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,75,CRW_t_A_15352,Archaea,Methanococci,Methanococcales
Methanothermus fervidus,75,CRW_t_A_15382,Archaea,Methanobacteria,Methanobacteriales
Halobacterium salinarum,77,CRW_t_A_15415,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,77,CRW_t_A_19844,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,78,CRW_t_A_19845,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,75,CRW_t_A_19852,Archaea,Methanococci,Methanococcales
Methanothermus fervidus,74,CRW_t_A_19853,Archaea,Methanobacteria,Methanobacteriales
Haloferax volcanii,77,CRW_t_A_19860,Archaea,Halobacteria,Haloferacales
Methanococcus maripaludis,74,CRW_t_A_20541,Archaea,Methanococci,Methanococcales
Thermoplasma acidophilum,74,CRW_t_A_20608,Archaea,Thermoplasmata,Thermoplasmatales
Thermoplasma acidophilum,74,CRW_t_A_20609,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,77,CRW_t_A_21800,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,77,CRW_t_A_21801,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,77,CRW_t_A_21818,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,74,CRW_t_A_21820,Archaea,Methanobacteria,Methanobacteriales
Methanococcus maripaludis,74,CRW_t_A_21821,Archaea,Methanococci,Methanococcales
Methanothermus fervidus,74,CRW_t_A_21843,Archaea,Methanobacteria,Methanobacteriales
Methanococcus vannielii,74,CRW_t_A_21899,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,74,CRW_t_A_21900,Archaea,Methanococci,Methanococcales
Halococcus morrhuae,74,CRW_t_A_21942,Archaea,Halobacteria,Halobacteriales
Thermoplasma acidophilum,76,CRW_t_A_23626,Archaea,Thermoplasmata,Thermoplasmatales
Thermofilum pendens,79,CRW_t_A_23627,Archaea,,
Thermofilum pendens,74,CRW_t_A_23628,Archaea,,
Thermofilum pendens,77,CRW_t_A_23629,Archaea,,
Methanothermus fervidus,74,CRW_t_A_23653,Archaea,Methanobacteria,Methanobacteriales
Thermoplasma acidophilum,76,CRW_t_A_23687,Archaea,Thermoplasmata,Thermoplasmatales
Thermoplasma acidophilum,77,CRW_t_A_23718,Archaea,Thermoplasmata,Thermoplasmatales
Thermofilum pendens,79,CRW_t_A_23731,Archaea,,
Thermoplasma acidophilum,74,CRW_t_A_23742,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,77,CRW_t_A_31213,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,74,CRW_t_A_31214,Archaea,Methanococci,Methanococcales
Haloferax volcanii,77,CRW_t_A_31247,Archaea,Halobacteria,Haloferacales
Thermoplasma acidophilum,73,CRW_t_A_31767,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,76,CRW_t_A_32650,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_32651,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,75,CRW_t_A_32662,Archaea,Methanobacteria,Methanobacteriales
Haloferax volcanii,74,CRW_t_A_32679,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,76,CRW_t_A_32691,Archaea,Halobacteria,Haloferacales
Methanocaldococcus jannaschii,77,CRW_t_A_32692,Archaea,Methanococci,Methanococcales
Methanothermus fervidus,75,CRW_t_A_32693,Archaea,Methanobacteria,Methanobacteriales
Methanococcus vannielii,78,CRW_t_A_32694,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,78,CRW_t_A_32755,Archaea,Methanococci,Methanococcales
Haloferax volcanii,77,CRW_t_A_33504,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,74,CRW_t_A_33539,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,77,CRW_t_A_33703,Archaea,Halobacteria,Haloferacales
Thermococcus celer,78,CRW_t_A_33715,Archaea,Thermococci,Thermococcales
Methanococcus vannielii,74,CRW_t_A_33722,Archaea,Methanococci,Methanococcales
Haloferax volcanii,77,CRW_t_A_33767,Archaea,Halobacteria,Haloferacales
Methanococcus vannielii,74,CRW_t_A_33768,Archaea,Methanococci,Methanococcales
Natronomonas pharaonis,72,RFAM_t_A_34416,Archaea,Halobacteria,Halobacteriales
Methanococcus maripaludis,74,RFAM_t_A_34508,Archaea,Methanococci,Methanococcales
Haloferax volcanii,74,RFAM_t_A_34744,Archaea,Halobacteria,Haloferacales
Methanospirillum hungatei,73,RFAM_t_A_34811,Archaea,Methanomicrobia,Methanomicrobiales
Methanothermus fervidus,73,RFAM_t_A_34853,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,75,RFAM_t_A_34854,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,72,RFAM_t_A_34855,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,74,RFAM_t_A_34856,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,83,RFAM_t_A_34857,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,73,RFAM_t_A_34858,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,74,RFAM_t_A_34859,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,74,RFAM_t_A_34860,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,75,RFAM_t_A_34861,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,87,RFAM_t_A_34865,Archaea,Methanobacteria,Methanobacteriales
Methanothermus fervidus,74,RFAM_t_A_34866,Archaea,Methanobacteria,Methanobacteriales
Haloarcula marismortui,85,RFAM_t_A_34924,Archaea,Halobacteria,Halobacteriales
Haloarcula marismortui,85,RFAM_t_A_34925,Archaea,Halobacteria,Halobacteriales
Methanococcus vannielii,73,RFAM_t_A_34964,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,74,RFAM_t_A_34972,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,75,RFAM_t_A_34973,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,74,RFAM_t_A_34974,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,75,RFAM_t_A_34975,Archaea,Methanococci,Methanococcales
Haloferax volcanii,77,RFAM_t_A_35005,Archaea,Halobacteria,Haloferacales
Thermoproteus tenax,85,RFAM_t_A_35061,Archaea,,
Thermofilum pendens,76,RFAM_t_A_35127,Archaea,,
Thermoplasma acidophilum,74,RFAM_t_A_35316,Archaea,Thermoplasmata,Thermoplasmatales
Virgibacillus marismortui,73,CRW_t_B_117,Bacteria,Bacilli,
Enterococcus faecium,73,CRW_t_B_536,Bacteria,Bacilli,Lactobacillales
Bacillus subtilis,73,CRW_t_B_541,Bacteria,Bacilli,
Streptococcus agalactiae,73,CRW_t_B_574,Bacteria,Bacilli,Lactobacillales
Enterococcus faecium,73,CRW_t_B_579,Bacteria,Bacilli,Lactobacillales
Enterococcus faecium,73,CRW_t_B_580,Bacteria,Bacilli,Lactobacillales
Enterococcus faecium,73,CRW_t_B_615,Bacteria,Bacilli,Lactobacillales
Enterococcus faecium,73,CRW_t_B_616,Bacteria,Bacilli,Lactobacillales
Pseudomonas tolaasii,73,CRW_t_B_638,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas tolaasii,73,CRW_t_B_639,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_645,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_646,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_647,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_648,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas agarici,73,CRW_t_B_649,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_651,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_653,Bacteria,Gammaproteobacteria,Pseudomonadales
Pseudomonas fluorescens,73,CRW_t_B_662,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax borkumensis,73,CRW_t_B_756,Bacteria,Gammaproteobacteria,Pseudomonadales
Lactococcus lactis subsp. lactis,73,CRW_t_B_813,Bacteria,Bacilli,Lactobacillales
Lactococcus raffinolactis,73,CRW_t_B_814,Bacteria,Bacilli,Lactobacillales
Streptococcus parauberis,73,CRW_t_B_816,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_818,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_821,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_822,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_824,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_825,Bacteria,Bacilli,Lactobacillales
Streptococcus agalactiae,73,CRW_t_B_826,Bacteria,Bacilli,Lactobacillales
Alcanivorax venustensis,73,CRW_t_B_846,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax venustensis,73,CRW_t_B_847,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax jadensis,73,CRW_t_B_848,Bacteria,Gammaproteobacteria,Pseudomonadales
Bradyrhizobium japonicum,67,CRW_t_B_883,Bacteria,Alphaproteobacteria,
Legionella pneumophila,73,CRW_t_B_926,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_927,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_928,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_929,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_930,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_931,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_932,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_933,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_934,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_935,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_936,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_937,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_938,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_939,Bacteria,Gammaproteobacteria,Legionellales
Legionella pneumophila,73,CRW_t_B_940,Bacteria,Gammaproteobacteria,Legionellales
Carnobacterium gallinarum,63,CRW_t_B_951,Bacteria,Bacilli,Lactobacillales
Carnobacterium mobile,73,CRW_t_B_954,Bacteria,Bacilli,Lactobacillales
Carnobacterium divergens,73,CRW_t_B_955,Bacteria,Bacilli,Lactobacillales
Carnobacterium divergens,73,CRW_t_B_956,Bacteria,Bacilli,Lactobacillales
Carnobacterium maltaromaticum,73,CRW_t_B_957,Bacteria,Bacilli,Lactobacillales
Carnobacterium maltaromaticum,73,CRW_t_B_958,Bacteria,Bacilli,Lactobacillales
Fusobacterium necrophorum subsp. necrophorum,72,CRW_t_B_1028,Bacteria,Fusobacteriia,
Corynebacterium glutamicum,73,CRW_t_B_1065,Bacteria,,
Corynebacterium glutamicum,73,CRW_t_B_1066,Bacteria,,
Thermotoga neapolitana,73,CRW_t_B_1555,Bacteria,,Thermotogales
Thermotoga neapolitana,73,CRW_t_B_1556,Bacteria,,Thermotogales
Thermotoga petrophila,64,CRW_t_B_1558,Bacteria,,Thermotogales
Thermotoga petrophila,73,CRW_t_B_1559,Bacteria,,Thermotogales
Listeria monocytogenes,73,CRW_t_B_1603,Bacteria,Bacilli,
Listeria innocua,73,CRW_t_B_1607,Bacteria,Bacilli,
Persephonella hydrogeniphila,73,CRW_t_B_1676,Bacteria,,Aquificales
Sulfurihydrogenibium yellowstonense,73,CRW_t_B_1684,Bacteria,,Aquificales
Hydrogenobacter subterraneus,72,CRW_t_B_1691,Bacteria,,Aquificales
Streptococcus agalactiae,73,CRW_t_B_1869,Bacteria,Bacilli,Lactobacillales
Pseudomonas fluorescens,71,CRW_t_B_1909,Bacteria,Gammaproteobacteria,Pseudomonadales
Carnobacterium funditum,72,CRW_t_B_1912,Bacteria,Bacilli,Lactobacillales
Carnobacterium funditum,72,CRW_t_B_1913,Bacteria,Bacilli,Lactobacillales
Streptococcus pneumoniae,73,CRW_t_B_1920,Bacteria,Bacilli,Lactobacillales
Bacillus cereus,73,CRW_t_B_2059,Bacteria,Bacilli,
Bacillus cereus,73,CRW_t_B_2060,Bacteria,Bacilli,
Bacillus cereus,73,CRW_t_B_2061,Bacteria,Bacilli,
Carnobacterium viridans,73,CRW_t_B_2064,Bacteria,Bacilli,Lactobacillales
Carnobacterium viridans,73,CRW_t_B_2065,Bacteria,Bacilli,Lactobacillales
Vibrio alginolyticus,73,CRW_t_B_2068,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,73,CRW_t_B_2069,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,73,CRW_t_B_2070,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,73,CRW_t_B_2071,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio alginolyticus,73,CRW_t_B_2072,Bacteria,Gammaproteobacteria,Vibrionales
Arsenophonus nasoniae,73,CRW_t_B_2097,Bacteria,Gammaproteobacteria,Enterobacterales
Vibrio parahaemolyticus,73,CRW_t_B_2107,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2108,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2109,Bacteria,Gammaproteobacteria,Vibrionales
Weissella confusa,73,CRW_t_B_2112,Bacteria,Bacilli,Lactobacillales
Weissella confusa,73,CRW_t_B_2113,Bacteria,Bacilli,Lactobacillales
Weissella halotolerans,73,CRW_t_B_2114,Bacteria,Bacilli,Lactobacillales
Weissella halotolerans,73,CRW_t_B_2115,Bacteria,Bacilli,Lactobacillales
Weissella hellenica,73,CRW_t_B_2116,Bacteria,Bacilli,Lactobacillales
Weissella kandleri,73,CRW_t_B_2117,Bacteria,Bacilli,Lactobacillales
Weissella koreensis,73,CRW_t_B_2118,Bacteria,Bacilli,Lactobacillales
Weissella minor,73,CRW_t_B_2119,Bacteria,Bacilli,Lactobacillales
Weissella minor,73,CRW_t_B_2120,Bacteria,Bacilli,Lactobacillales
Weissella paramesenteroides,73,CRW_t_B_2121,Bacteria,Bacilli,Lactobacillales
Weissella thailandensis,73,CRW_t_B_2122,Bacteria,Bacilli,Lactobacillales
Weissella thailandensis,73,CRW_t_B_2123,Bacteria,Bacilli,Lactobacillales
Weissella viridescens,73,CRW_t_B_2124,Bacteria,Bacilli,Lactobacillales
Weissella viridescens,73,CRW_t_B_2125,Bacteria,Bacilli,Lactobacillales
Weissella cibaria,73,CRW_t_B_2126,Bacteria,Bacilli,Lactobacillales
Weissella cibaria,73,CRW_t_B_2127,Bacteria,Bacilli,Lactobacillales
Weissella paramesenteroides,72,CRW_t_B_2142,Bacteria,Bacilli,Lactobacillales
Weissella paramesenteroides,72,CRW_t_B_2143,Bacteria,Bacilli,Lactobacillales
Vibrio parahaemolyticus,73,CRW_t_B_2219,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2220,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2221,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2222,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2223,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2224,Bacteria,Gammaproteobacteria,Vibrionales
Vibrio parahaemolyticus,73,CRW_t_B_2225,Bacteria,Gammaproteobacteria,Vibrionales
Streptococcus suis,73,CRW_t_B_2301,Bacteria,Bacilli,Lactobacillales
Streptococcus suis,73,CRW_t_B_2302,Bacteria,Bacilli,Lactobacillales
Streptococcus suis,73,CRW_t_B_2304,Bacteria,Bacilli,Lactobacillales
Alcanivorax dieselolei,73,CRW_t_B_2337,Bacteria,Gammaproteobacteria,Pseudomonadales
Alcanivorax dieselolei,73,CRW_t_B_2338,Bacteria,Gammaproteobacteria,Pseudomonadales
Edwardsiella ictaluri,73,CRW_t_B_2362,Bacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2363,Bacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2364,Bacteria,Gammaproteobacteria,Enterobacterales
Edwardsiella tarda,73,CRW_t_B_2365,Bacteria,Gammaproteobacteria,Enterobacterales
Photobacterium phosphoreum,73,CRW_t_B_2399,Bacteria,Gammaproteobacteria,Vibrionales
Photobacterium phosphoreum,73,CRW_t_B_2400,Bacteria,Gammaproteobacteria,Vibrionales
Borrelia japonica,64,CRW_t_B_2421,Bacteria,Spirochaetia,Spirochaetales
Rhodocyclus purpureus,73,CRW_t_B_2986,Bacteria,Betaproteobacteria,Rhodocyclales
Bacillus subtilis,73,CRW_t_B_3067,Bacteria,Bacilli,
Bacillus subtilis,73,CRW_t_B_3069,Bacteria,Bacilli,
Bacillus subtilis,73,CRW_t_B_3072,Bacteria,Bacilli,
Bacillus subtilis,73,CRW_t_B_3073,Bacteria,Bacilli,
Bacillus subtilis,73,CRW_t_B_3091,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3978,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3979,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3980,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3981,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3982,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3983,Bacteria,Bacilli,
Listeria seeligeri,73,CRW_t_B_3984,Bacteria,Bacilli,
Listeria welshimeri,73,CRW_t_B_3985,Bacteria,Bacilli,
Bartonella bacilliformis,73,CRW_t_B_4026,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,73,CRW_t_B_4068,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,73,CRW_t_B_4069,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,73,CRW_t_B_4070,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,73,CRW_t_B_4071,Bacteria,Alphaproteobacteria,
Bartonella bacilliformis,73,CRW_t_B_4072,Bacteria,Alphaproteobacteria,
Burkholderia cepacia,73,CRW_t_B_4095,Bacteria,Betaproteobacteria,Burkholderiales
Burkholderia cepacia,73,CRW_t_B_4096,Bacteria,Betaproteobacteria,Burkholderiales
Streptococcus agalactiae,73,CRW_t_B_4108,Bacteria,Bacilli,Lactobacillales
