Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum,Taxonomy.GTDB.class,Taxonomy.GTDB.order
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1658,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1659,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1660,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1661,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Thermococcus kodakarensis KOD1,78,CRW_t_A_1770,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,77,CRW_t_A_1771,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,78,CRW_t_A_1772,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Archaeoglobus fulgidus,72,CRW_t_A_1847,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus,72,CRW_t_A_1848,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Haloferax volcanii,75,CRW_t_A_1849,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanospirillum hungatei,73,CRW_t_A_1853,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanothermobacter thermautotrophicus,74,CRW_t_A_1854,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Pyrobaculum aerophilum,72,CRW_t_A_1856,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2305,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2306,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloarcula marismortui ATCC 43049,72,CRW_t_A_2307,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrococcus horikoshii OT3,78,CRW_t_A_2993,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,78,CRW_t_A_2994,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,77,CRW_t_A_2995,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Aeropyrum pernix K1,77,CRW_t_A_2996,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Aeropyrum pernix K1,77,CRW_t_A_2997,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Aeropyrum pernix K1,77,CRW_t_A_2998,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Thermoplasma volcanium GSS1,72,CRW_t_A_3012,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,72,CRW_t_A_3013,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,72,CRW_t_A_3014,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
uncultured archaeon,72,CRW_t_A_3145,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales
Methanococcus maripaludis S2,73,CRW_t_A_3167,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanococcus maripaludis S2,74,CRW_t_A_3168,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3286,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Sulfolobus acidocaldarius DSM 639,71,CRW_t_A_3287,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3338,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_3339,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_3340,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3341,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3342,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3343,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,74,CRW_t_A_3344,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,72,CRW_t_A_3477,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3478,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3479,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3480,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,72,CRW_t_A_3481,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanospirillum hungatei JF-1,73,CRW_t_A_3482,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3526,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,75,CRW_t_A_3527,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3528,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_3529,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,72,CRW_t_A_3530,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3772,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3773,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Hyperthermus butylicus DSM 5456,77,CRW_t_A_3774,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3780,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Pyrobaculum islandicum DSM 4184,72,CRW_t_A_3781,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Methanocorpusculum labreanum Z,73,CRW_t_A_3856,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,72,CRW_t_A_3857,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,72,CRW_t_A_3858,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_3859,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_3860,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
uncultured archaeon,76,CRW_t_A_3891,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3908,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3909,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Natronomonas pharaonis DSM 2160,72,CRW_t_A_3910,Archaea,Halobacteriota,Halobacteria,Halobacteriales
uncultured archaeon,72,CRW_t_A_4063,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales
uncultured archaeon,72,CRW_t_A_4064,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales
Haloquadratum walsbyi,72,CRW_t_A_4110,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi,72,CRW_t_A_4111,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halobacterium salinarum,72,CRW_t_A_4357,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halobacterium salinarum,77,CRW_t_A_4358,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,71,CRW_t_A_4359,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_4360,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_4361,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_4362,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halobacterium salinarum,75,CRW_t_A_4363,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4368,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,74,CRW_t_A_4369,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_4370,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanospirillum hungatei,73,CRW_t_A_4381,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Halobacterium salinarum,75,CRW_t_A_4464,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halobacterium salinarum,72,CRW_t_A_4466,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanothermobacter thermautotrophicus,75,CRW_t_A_4477,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosarcina mazei,73,CRW_t_A_4497,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_4621,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,73,CRW_t_A_4654,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,73,CRW_t_A_4655,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrococcus furiosus DSM 3638,76,CRW_t_A_4674,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_4676,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
Pyrococcus abyssi GE5,76,CRW_t_A_4855,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_4932,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Thermococcus kodakarensis KOD1,76,CRW_t_A_4988,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_5058,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrococcus horikoshii OT3,76,CRW_t_A_5073,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Aeropyrum pernix K1,77,CRW_t_A_5074,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Thermoplasma volcanium GSS1,73,CRW_t_A_5084,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Methanococcus maripaludis S2,77,CRW_t_A_5169,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5258,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_5259,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5260,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,76,CRW_t_A_5261,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,73,CRW_t_A_5328,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_5358,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Hyperthermus butylicus DSM 5456,76,CRW_t_A_5492,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanocorpusculum labreanum Z,73,CRW_t_A_5534,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,73,CRW_t_A_5596,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii DS2,76,CRW_t_A_5697,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii DSM 2661,73,CRW_t_A_5703,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Halobacterium salinarum,76,CRW_t_A_5710,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanothermobacter thermautotrophicus,78,CRW_t_A_5735,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Halobacterium salinarum,76,CRW_t_A_5767,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanothermobacter thermautotrophicus,78,CRW_t_A_5770,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosarcina mazei Go1,73,CRW_t_A_5919,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_5936,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_5938,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
Pyrococcus abyssi GE5,78,CRW_t_A_6122,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloquadratum walsbyi DSM 16790,73,CRW_t_A_6203,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Thermococcus kodakarensis KOD1,78,CRW_t_A_6254,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6356,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloarcula marismortui ATCC 43049,73,CRW_t_A_6357,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrococcus horikoshii OT3,78,CRW_t_A_6446,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Aeropyrum pernix K1,78,CRW_t_A_6447,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Thermoplasma volcanium GSS1,73,CRW_t_A_6455,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Methanococcus maripaludis S2,75,CRW_t_A_6547,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanococcus maripaludis S2,75,CRW_t_A_6548,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Sulfolobus acidocaldarius DSM 639,70,CRW_t_A_6626,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanosarcina barkeri str. Fusaro,73,CRW_t_A_6652,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosphaera stadtmanae DSM 3091,72,CRW_t_A_6653,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanococcoides burtonii DSM 6242,73,CRW_t_A_6762,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Hyperthermus butylicus DSM 5456,78,CRW_t_A_6902,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanocorpusculum labreanum Z,73,CRW_t_A_6942,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanocorpusculum labreanum Z,73,CRW_t_A_6943,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,73,CRW_t_A_7019,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,76,CRW_t_A_7048,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanobacterium formicicum,74,CRW_t_A_7050,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Haloferax volcanii,76,CRW_t_A_7126,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_7129,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_7310,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,72,CRW_t_A_7326,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,72,CRW_t_A_7327,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,72,CRW_t_A_7328,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrococcus furiosus DSM 3638,75,CRW_t_A_7334,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Methanopyrus kandleri AV19,78,CRW_t_A_7335,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
Pyrococcus abyssi GE5,75,CRW_t_A_7401,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloquadratum walsbyi DSM 16790,79,CRW_t_A_7428,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Thermococcus kodakarensis KOD1,75,CRW_t_A_7452,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,75,CRW_t_A_7538,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Aeropyrum pernix K1,78,CRW_t_A_7539,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7620,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,72,CRW_t_A_7621,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanospirillum hungatei JF-1,72,CRW_t_A_7661,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7671,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7672,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,72,CRW_t_A_7673,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Hyperthermus butylicus DSM 5456,79,CRW_t_A_7741,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Methanocorpusculum labreanum Z,72,CRW_t_A_7768,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Natronomonas pharaonis DSM 2160,76,CRW_t_A_7799,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi,76,CRW_t_A_7899,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi,76,CRW_t_A_7900,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halobacterium salinarum,75,CRW_t_A_7925,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii DSM 2661,72,CRW_t_A_7927,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Pyrococcus furiosus DSM 3638,77,CRW_t_A_7997,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Archaeoglobus fulgidus DSM 4304,75,CRW_t_A_8063,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,78,CRW_t_A_8103,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,78,CRW_t_A_8104,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,75,CRW_t_A_8105,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8124,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_8125,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Picrophilus torridus DSM 9790,75,CRW_t_A_8284,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Pyrococcus abyssi GE5,78,CRW_t_A_8478,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus abyssi GE5,78,CRW_t_A_8479,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8636,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloquadratum walsbyi DSM 16790,75,CRW_t_A_8637,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Thermococcus kodakarensis KOD1,78,CRW_t_A_8690,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Thermococcus kodakarensis KOD1,78,CRW_t_A_8691,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8834,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8835,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloarcula marismortui ATCC 43049,75,CRW_t_A_8836,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrococcus horikoshii OT3,78,CRW_t_A_8904,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus horikoshii OT3,78,CRW_t_A_8905,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Aeropyrum pernix K1,78,CRW_t_A_8906,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Aeropyrum pernix K1,78,CRW_t_A_8907,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Thermoplasma volcanium GSS1,75,CRW_t_A_8917,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Thermoplasma volcanium GSS1,75,CRW_t_A_8918,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales
Methanococcus maripaludis S2,75,CRW_t_A_9035,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanococcus maripaludis S2,75,CRW_t_A_9036,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9146,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,78,CRW_t_A_9147,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina barkeri str. Fusaro,75,CRW_t_A_9148,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9149,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanosphaera stadtmanae DSM 3091,75,CRW_t_A_9150,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales
Methanospirillum hungatei JF-1,75,CRW_t_A_9237,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9272,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanococcoides burtonii DSM 6242,78,CRW_t_A_9273,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9453,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Hyperthermus butylicus DSM 5456,78,CRW_t_A_9454,Archaea,Thermoproteota,Thermoproteia,Sulfolobales
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9589,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Natronomonas pharaonis DSM 2160,75,CRW_t_A_9590,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,78,CRW_t_A_9695,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,78,CRW_t_A_9713,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii,75,CRW_t_A_9717,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Haloferax volcanii,78,CRW_t_A_9746,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,78,CRW_t_A_9747,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9751,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Methanocaldococcus jannaschii DSM 2661,75,CRW_t_A_9752,Archaea,Methanobacteriota_A,Methanococci,Methanococcales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9979,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,73,CRW_t_A_9980,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,73,CRW_t_A_10016,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,73,CRW_t_A_10017,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrobaculum aerophilum str. IM2,76,CRW_t_A_10032,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Pyrococcus furiosus DSM 3638,76,CRW_t_A_10039,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,76,CRW_t_A_10040,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Methanopyrus kandleri AV19,76,CRW_t_A_10042,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
