Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.kingdom,Taxonomy.ENA.no rank 0,Taxonomy.ENA.phylum,Taxonomy.ENA.subphylum,Taxonomy.ENA.class,Taxonomy.ENA.subclass,Taxonomy.ENA.infraclass,Taxonomy.ENA.unknown 0,Taxonomy.ENA.order,Taxonomy.ENA.suborder,Taxonomy.ENA.infraorder,Taxonomy.ENA.superfamily,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.subgenus,Taxonomy.ENA.no rank 1,Taxonomy.ENA.no rank 2,Taxonomy.ENA.superorder,Taxonomy.ENA.parvorder,Taxonomy.ENA.no rank 3,Taxonomy.ENA.no rank 4,Taxonomy.ENA.no rank 5,Taxonomy.ENA.no rank 6,Taxonomy.ENA.no rank 7,Taxonomy.ENA.subfamily,Taxonomy.ENA.tribe,Taxonomy.ENA.unknown 1,Taxonomy.ENA.subtribe,Taxonomy.ENA.subkingdom,Taxonomy.ENA.superclass,Taxonomy.ENA.subcohort,Taxonomy.ENA.section,Taxonomy.ENA.no rank 8,Taxonomy.ENA.no rank 9,Taxonomy.ENA.no rank 10,Taxonomy.ENA.cohort
Nicotiana tomentosiformis,AB240139,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_104,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Solanales,,,,Solanaceae,Nicotiana,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Nicotianoideae,Nicotianeae,,,,,,,,,,
Caenorhabditis briggsae,AC084451,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_199,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Nematoda,,Chromadorea,,,,Rhabditida,Rhabditina,Rhabditomorpha,Rhabditoidea,Rhabditidae,Caenorhabditis,,,,,,,,,,,Peloderinae,,,,,,,,,,,
Homo sapiens (human),AL121932,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_226,--,Yes,Eukaryota,Metazoa,Vertebrata,Chordata,Craniata,Mammalia,,,,Primates,Haplorrhini,,,Hominidae,Homo,,Euteleostomi,Eutheria,Euarchontoglires,Catarrhini,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_341,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_342,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_343,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE013599,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_344,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014296,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_373,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_374,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_375,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_376,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_377,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_378,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_379,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_380,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_381,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_382,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Drosophila melanogaster (fruit fly),AE014297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_383,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Cyanidium caldarium,AF022186,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_543,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Cyanidiales,,,,Cyanidiaceae,Cyanidium,,,,,,,,,,,,,,,,,,,,,,
Guillardia theta,AF041468,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_561,--,Yes,Eukaryota,,,Cryptophyta,,,,,,Pyrenomonadales,,,,Geminigeraceae,Guillardia,,,,,,,,,,,,,,,,,,,,,,
Guillardia theta,AF041468,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_562,--,Yes,Eukaryota,,,Cryptophyta,,,,,,Pyrenomonadales,,,,Geminigeraceae,Guillardia,,,,,,,,,,,,,,,,,,,,,,
Nephroselmis olivacea,AF137379,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_654,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Nephroselmidophyceae,,,prasinophytes,,,,,,Nephroselmis,,,,,,,,,,,,,,,,,,,,,,
Nephroselmis olivacea,AF137379,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_655,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Nephroselmidophyceae,,,prasinophytes,,,,,,Nephroselmis,,,,,,,,,,,,,,,,,,,,,,
Mesostigma viride,AF166114,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_742,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Mesostigmatophyceae,,,,Mesostigmatales,,,,Mesostigmataceae,Mesostigma,,,,,,,,,,,,,,,,,,,,,,
Mesostigma viride,AF166114,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_743,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Mesostigmatophyceae,,,,Mesostigmatales,,,,Mesostigmataceae,Mesostigma,,,,,,,,,,,,,,,,,,,,,,
Anthoceros punctatus,AF393576,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_964,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Anthocerotopsida,Anthocerotidae,,,Anthocerotales,,,,Anthocerotaceae,Anthoceros,,Anthocerotophyta,,,,,,,,,,,,,,,,,,,,
Chara sp. CL-2002-2,AF393586,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_965,--,Yes,Eukaryota,Viridiplantae,unclassified Chara,Streptophyta,,Charophyceae,,,,Charales,,,,Characeae,Chara,,,,,,,,,,,,,,,,,,,,,,
Coleochaete orbicularis,AF393593,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_966,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Coleochaetophyceae,,,,Coleochaetales,,,,Coleochaetaceae,Coleochaete,,,,,,,,,,,,,,,,,,,,,,
Klebsormidium flaccidum,AF393598,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_967,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Klebsormidiophyceae,,,,Klebsormidiales,,,,Klebsormidiaceae,Klebsormidium,,,,,,,,,,,,,,,,,,,,,,
Pedinomonas minor,AF393605,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_968,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Pedinophyceae,,,,Pedinomonadales,,,,Pedinomonadaceae,Pedinomonas,,,,,,,,,,,,,,,,,,,,,,
Pyramimonas parkeae,AF393608,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_969,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,,,,prasinophytes,Pyramimonadales,,,,,Pyramimonas,,,,,,,,,,,,,,,,,,,,,,
Scherffelia dubia,AF393609,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_970,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Chlorodendrophyceae,,,,Chlorodendrales,,,,Chlorodendraceae,Scherffelia,,,,,,,,,,,,,,,,,,,,,,
Klebsormidium nitens,AF482502,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1103,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Klebsormidiophyceae,,,,Klebsormidiales,,,,Klebsormidiaceae,Klebsormidium,,,,,,,,,,,,,,,,,,,,,,
Chlorokybus atmophyticus,AF482503,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1104,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Chlorokybophyceae,,,,Chlorokybales,,,,Chlorokybaceae,Chlorokybus,,,,,,,,,,,,,,,,,,,,,,
Chaetosphaeridium globosum,AF494278,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1105,--,Yes,Eukaryota,Viridiplantae,,Streptophyta,,Coleochaetophyceae,,,,Coleochaetales,,,,Chaetosphaeridiaceae,Chaetosphaeridium,,,,,,,,,,,,,,,,,,,,,,
Gnetum gnemon,AJ007508,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1298,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,Gnetidae,,,Gnetales,,,,Gnetaceae,Gnetum,,Tracheophyta,Spermatophyta,,,,,,,,,,,,,,,,,,,
Prototheca wickerhamii,AJ222802,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1311,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Trebouxiophyceae,,,,Chlorellales,,,,Chlorellaceae,Prototheca,,,,,,,,,,,,,,,,,,,,,,
Prototheca wickerhamii,AJ245645,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1323,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Trebouxiophyceae,,,,Chlorellales,,,,Chlorellaceae,Prototheca,,,,,,,,,,,,,,,,,,,,,,
Oenothera elata subsp. hookeri,AJ271079,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1338,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Myrtales,,,,Onagraceae,Oenothera,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Onagroideae,Onagreae,,,,,,,,,,
Oenothera elata subsp. hookeri,AJ271079,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1339,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Myrtales,,,,Onagraceae,Oenothera,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Onagroideae,Onagreae,,,,,,,,,,
Euglena longa,AJ294725,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1370,--,Yes,Eukaryota,,Euglenozoa,Euglenida,,,,,,Euglenales,,,,Euglenaceae,Euglena,,,,,,,,,,,,,,,,,,,,,,
Calycanthus floridus var. glaucus,AJ428413,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1411,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Laurales,,,,Calycanthaceae,Calycanthus,,Tracheophyta,Spermatophyta,,,Magnoliidae,,,,,,,,,,,,,,,,
Calycanthus floridus var. glaucus,AJ428413,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1412,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Laurales,,,,Calycanthaceae,Calycanthus,,Tracheophyta,Spermatophyta,,,Magnoliidae,,,,,,,,,,,,,,,,
Amborella trichopoda,AJ506156,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1443,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Amborellales,,,,Amborellaceae,Amborella,,Tracheophyta,Spermatophyta,,,,,,,,,,basal Magnoliophyta,,,,,,,,,
Amborella trichopoda,AJ506156,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1444,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Amborellales,,,,Amborellaceae,Amborella,,Tracheophyta,Spermatophyta,,,,,,,,,,basal Magnoliophyta,,,,,,,,,
Nymphaea alba,AJ627251,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1480,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Nymphaeales,,,,Nymphaeaceae,Nymphaea,,Tracheophyta,Spermatophyta,,,,,,,,,,basal Magnoliophyta,,,,,,,,,
Nymphaea alba,AJ627251,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1481,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Nymphaeales,,,,Nymphaeaceae,Nymphaea,,Tracheophyta,Spermatophyta,,,,,,,,,,basal Magnoliophyta,,,,,,,,,
Acorus calamus,AJ879453,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1567,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,,,,,Acoraceae,Acorus,,Tracheophyta,Spermatophyta,,,,,,,,,,,,,,,,,,,
Acorus calamus,AJ879453,73,29,44,No,0,tRNA,0,(()()()),((()()())),--,No,CRW,--,CRW_t_E_1568,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,,,,,Acoraceae,Acorus,,Tracheophyta,Spermatophyta,,,,,,,,,,,,,,,,,,,
Paulinella chromatophora,AM084273,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1642,--,Yes,Eukaryota,,Rhizaria,Cercozoa,,,,,,Euglyphida,,,,Paulinellidae,Paulinella,,Imbricatea,Silicofilosea,,,,,,,,,,,,,,,,,,,
Glaucocystis nostochinearum,AM084274,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1643,--,Yes,Eukaryota,,,,,Glaucocystophyceae,,,,Glaucocystales,,,,Glaucocystaceae,Glaucocystis,,,,,,,,,,,,,,,,,,,,,,
Cyanoptyche gloeocystis,AM084275,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1644,--,Yes,Eukaryota,,,,,Glaucocystophyceae,,,,,,,,,Cyanoptyche,,,,,,,,,,,,,,,,,,,,,,
Compsopogon caeruleus,AM084276,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1645,--,Yes,Eukaryota,,,Rhodophyta,,Compsopogonophyceae,,,,Compsopogonales,,,,Compsopogonaceae,Compsopogon,,,,,,,,,,,,,,,,,,,,,,
Lotus japonicus,AP002983,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1742,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Fabales,,,,Fabaceae,Lotus,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Papilionoideae,Loteae,,,,,,,,,,
Lotus japonicus,AP002983,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1743,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Fabales,,,,Fabaceae,Lotus,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Papilionoideae,Loteae,,,,,,,,,,
Psilotum nudum,AP004638,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1744,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Polypodiopsida,Ophioglossidae,,,Psilotales,,,,Psilotaceae,Psilotum,,Tracheophyta,,,,,,,,,,,,,,,,,,,,
Psilotum nudum,AP004638,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1745,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Polypodiopsida,Ophioglossidae,,,Psilotales,,,,Psilotaceae,Psilotum,,Tracheophyta,,,,,,,,,,,,,,,,,,,,
Saccharum officinarum,AP006714,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1753,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Saccharum,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,Saccharum officinarum complex,,,Panicoideae,Andropogoneae,,Saccharinae,,,,,,,,
Saccharum officinarum,AP006714,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1754,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Saccharum,,Tracheophyta,Spermatophyta,,,PACMAD clade,Andropogonodae,Saccharum officinarum complex,,,Panicoideae,Andropogoneae,,Saccharinae,,,,,,,,
Oryza nivara,AP006728,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_1760,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,Liliopsida,,,Magnoliophyta,Poales,,,,Poaceae,Oryza,,Tracheophyta,Spermatophyta,,,BOP clade,,,,,Oryzoideae,Oryzeae,,Oryzinae,,,,,,,,
