Organism name,Length,Benchmark ID,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum
Bacillus sp. MSB2047,538,CRW_16S_B_10028,,
Bacillus anthracis,608,CRW_16S_B_13026,Bacteria,Firmicutes
Bacillus sp. MSB2029,538,CRW_16S_B_10029,,
Bacillus sp. WG3,640,CRW_16S_B_13027,,
Bacillus sp. MSB2054,538,CRW_16S_B_10030,,
Bacillus sp. WG-3,640,CRW_16S_B_13028,,
Staphylococcus warneri,536,CRW_16S_B_10031,Bacteria,Firmicutes
Bacillus sp. G5(2005),640,CRW_16S_NA_13029,,
Staphylococcus warneri,536,CRW_16S_B_10032,Bacteria,Firmicutes
uncultured bacterium,503,CRW_16S_B_13034,Bacteria,
Staphylococcus warneri,536,CRW_16S_B_10033,Bacteria,Firmicutes
Staphylococcus sp. MSB2024,536,CRW_16S_B_10034,,
Bacillus sp. WG4,640,CRW_16S_B_13035,,
Staphylococcus sp. MSB2005,536,CRW_16S_B_10035,,
,660,CRW_16S_NA_13041,,
Staphylococcus sp. MSB2032,536,CRW_16S_B_10036,,
Bacillus sp. I,660,CRW_16S_B_13042,,
Bacillus sp. T5-12,671,CRW_16S_B_10043,,
Bacillus sp. B2(2005),660,CRW_16S_NA_13043,,
Bacillus cereus,629,CRW_16S_B_10044,Bacteria,Firmicutes
Halobacillus sp. HPC948,702,CRW_16S_B_13062,,
Bacillus megaterium,537,CRW_16S_B_10045,Bacteria,Firmicutes
Halobacillus sp. HPC972,697,CRW_16S_B_13063,,
Bacillus luciferensis,724,CRW_16S_B_10081,Bacteria,Firmicutes
Bacillus sp. YBC1,668,CRW_16S_B_13104,,
Bacillus luciferensis,676,CRW_16S_B_10082,Bacteria,Firmicutes
Geobacillus sp. MKK-2005,779,CRW_16S_B_13106,,
Bacillus luciferensis,630,CRW_16S_B_10083,Bacteria,Firmicutes
Lactococcus lactis,320,CRW_16S_B_13112,Bacteria,Firmicutes
Bacillus luciferensis,722,CRW_16S_B_10084,Bacteria,Firmicutes
Staphylococcus sp. WG1,798,CRW_16S_B_13126,,
Bacillus luciferensis,648,CRW_16S_B_10085,Bacteria,Firmicutes
Bacillus sp. C18,465,CRW_16S_B_13127,,
Bacillus luciferensis,674,CRW_16S_B_10086,Bacteria,Firmicutes
Bacillus sp. C19,465,CRW_16S_B_13128,,
Bacillus luciferensis,697,CRW_16S_B_10087,Bacteria,Firmicutes
Staphylococcus sp. C20R,465,CRW_16S_B_13129,,
Bacillus luciferensis,646,CRW_16S_B_10088,Bacteria,Firmicutes
Staphylococcus sp. E4,465,CRW_16S_B_13130,,
Bacillus luciferensis,649,CRW_16S_B_10089,Bacteria,Firmicutes
Bacillus sp. E13,465,CRW_16S_B_13131,,
Bacillus luciferensis,674,CRW_16S_B_10090,Bacteria,Firmicutes
Staphylococcus sp. E63,465,CRW_16S_B_13132,,
Bacillus luciferensis,734,CRW_16S_B_10091,Bacteria,Firmicutes
Bacillus sp. Y6,651,CRW_16S_B_13134,,
Bacillus luciferensis,671,CRW_16S_B_10092,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13144,Bacteria,Firmicutes
Bacillus luciferensis,587,CRW_16S_B_10093,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13145,Bacteria,Firmicutes
marine bacterium 13691,466,CRW_16S_B_10102,,
Enterococcus faecalis,546,CRW_16S_B_13146,Bacteria,Firmicutes
Bacillus sphaericus,529,CRW_16S_B_10108,,
Enterococcus faecalis,546,CRW_16S_B_13147,Bacteria,Firmicutes
Staphylococcus aureus,542,CRW_16S_B_10109,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13148,Bacteria,Firmicutes
Bacillus pumilus,705,CRW_16S_B_10119,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13149,Bacteria,Firmicutes
Lactobacillus sp. CL3,728,CRW_16S_B_10120,,
Enterococcus faecalis,546,CRW_16S_B_13150,Bacteria,Firmicutes
Lactobacillus sp. EL6,345,CRW_16S_B_10121,,
Enterococcus faecalis,546,CRW_16S_B_13151,Bacteria,Firmicutes
uncultured Streptococcus sp.,729,CRW_16S_B_10133,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13152,Bacteria,Firmicutes
uncultured Streptococcus sp.,773,CRW_16S_B_10134,Bacteria,Firmicutes
Bacillus megaterium,439,CRW_16S_B_13169,Bacteria,Firmicutes
Bacillus sp. GWS-SE-H136,717,CRW_16S_B_10139,,
Bacillus drentensis,438,CRW_16S_B_13170,Bacteria,Firmicutes
Bacillus sp. GWS-TZ-H236,717,CRW_16S_B_10140,,
Bacillus marisflavi,469,CRW_16S_B_13171,Bacteria,Firmicutes
Staphylococcus sp. pfB23,764,CRW_16S_B_10145,,
Bacillus sp. MN42,550,CRW_16S_B_13172,,
Bacillus pumilus,553,CRW_16S_B_10146,Bacteria,Firmicutes
Bacillus sp. MN43,550,CRW_16S_B_13173,,
Halobacillus sp. NRL-CB1,552,CRW_16S_B_10160,,
Brevibacterium sp. MN44,460,CRW_16S_B_13174,,
Bacillus sp. NRL-TS24,536,CRW_16S_B_10161,,
Bacillus sp. MN46,409,CRW_16S_B_13175,,
Bacillus sp. NRL-SS32,536,CRW_16S_B_10162,,
Bacillus sp. MN48,700,CRW_16S_B_13176,,
uncultured Bacillus sp.,582,CRW_16S_B_10163,Bacteria,Firmicutes
Bacillus sp. MN49,640,CRW_16S_B_13177,,
uncultured Bacillus sp.,609,CRW_16S_B_10187,Bacteria,Firmicutes
Bacillus sp. MN50,800,CRW_16S_B_13178,,
uncultured Bacillus sp.,728,CRW_16S_B_10188,Bacteria,Firmicutes
Bacillus sp. MN53,689,CRW_16S_B_13179,,
Bacillus sp. D727,724,CRW_16S_B_10206,,
Bacillus sp. MN54,800,CRW_16S_B_13180,,
Staphylococcus sp. J318,724,CRW_16S_B_10207,,
Bacillus sp. MN56,689,CRW_16S_B_13181,,
Staphylococcus sp. J688,723,CRW_16S_B_10208,,
Bacillus sp. MN58,800,CRW_16S_B_13182,,
Enterococcus faecalis,312,CRW_16S_B_10224,Bacteria,Firmicutes
Bacillus sp. MN60,800,CRW_16S_B_13183,,
Staphylococcus saprophyticus,616,CRW_16S_B_10225,Bacteria,Firmicutes
Bacillus sp. MN62,800,CRW_16S_B_13184,,
Staphylococcus equorum,618,CRW_16S_B_10226,Bacteria,Firmicutes
Bacillus sp. MN63,724,CRW_16S_B_13185,,
Bacillus sp. MN65,490,CRW_16S_B_13186,,
extreme arid zone bacterium HX-IIF14,581,CRW_16S_B_10229,,
Bacillus sp. MN66,800,CRW_16S_B_13187,,
extreme arid zone bacterium HX-IIF04,581,CRW_16S_B_10230,,
Bacillus sp. MN68,720,CRW_16S_B_13188,,
glacial ice bacterium ML-35,680,CRW_16S_B_10231,,
Bacillus sp. MN73,800,CRW_16S_B_13189,,
glacial ice bacterium ML-A12,680,CRW_16S_B_10232,,
Bacillus sp. MN1,800,CRW_16S_B_13190,,
glacial ice bacterium ML-B4,680,CRW_16S_B_10233,,
Bacillus sp. MN2,800,CRW_16S_B_13191,,
glacial ice bacterium MS-T10-04,680,CRW_16S_B_10234,,
Bacillus sp. MN4,800,CRW_16S_B_13192,,
glacial ice bacterium MS-T10-05,680,CRW_16S_B_10235,,
glacial ice bacterium MS-T23-09,680,CRW_16S_B_10236,,
Bacillus sp. MN5,800,CRW_16S_B_13193,,
Bacillus sp. MN8,800,CRW_16S_B_13194,,
permafrost bacterium DT-IIF30,680,CRW_16S_B_10237,,
uncultured bacterium,494,CRW_16S_B_10244,Bacteria,
Bacillus sp. MN9,800,CRW_16S_B_13195,,
uncultured bacterium,513,CRW_16S_B_10245,Bacteria,
Bacillus sp. MN11,800,CRW_16S_B_13196,,
Bacillus sp. MN12,800,CRW_16S_B_13197,,
uncultured bacterium,505,CRW_16S_B_10246,Bacteria,
uncultured bacterium,505,CRW_16S_B_10247,Bacteria,
Bacillus sp. MN14,800,CRW_16S_B_13198,,
uncultured bacterium,693,CRW_16S_B_10248,Bacteria,
Bacillus sp. MN16,800,CRW_16S_B_13199,,
uncultured bacterium,566,CRW_16S_B_10249,Bacteria,
Bacillus sp. MN17,800,CRW_16S_B_13200,,
uncultured bacterium,566,CRW_16S_B_10250,Bacteria,
Staphylococcus pasteuri,499,CRW_16S_B_10258,Bacteria,Firmicutes
Bacillus sp. MN19,800,CRW_16S_B_13201,,
Bacillus sp. HPB-2,587,CRW_16S_B_10262,,
Bacillus sp. MN21,800,CRW_16S_B_13202,,
Bacillus endophyticus,588,CRW_16S_B_10267,Bacteria,Firmicutes
Bacillus sp. MN26,800,CRW_16S_B_13203,,
Bacillus sp. ICS11203,588,CRW_16S_B_10268,,
Bacillus sp. MN27,800,CRW_16S_B_13204,,
Bacillus sp. ICS11204,587,CRW_16S_B_10269,,
Bacillus sp. MN28,800,CRW_16S_B_13205,,
Bacillus sp. ICS11205,588,CRW_16S_B_10270,,
Bacillus sp. MN29,800,CRW_16S_B_13206,,
Bacillus sp. ICS20415,589,CRW_16S_B_10271,,
Bacillus sp. MN31,800,CRW_16S_B_13207,,
Bacillus sp. ICS20416,587,CRW_16S_B_10272,,
Bacillus sp. MN37,569,CRW_16S_B_13208,,
Bacillus sp. ICS20418,588,CRW_16S_B_10273,,
Bacillus sp. MN38,570,CRW_16S_B_13209,,
Bacillus licheniformis,588,CRW_16S_B_10274,Bacteria,Firmicutes
uncultured Streptomyces sp.,288,CRW_16S_B_1328,Bacteria,
Staphylococcus epidermidis,551,CRW_16S_B_10276,Bacteria,Firmicutes
uncultured bacterium,480,CRW_16S_B_13227,Bacteria,
uncultured Staphylococcus sp.,189,CRW_16S_B_10277,Bacteria,Firmicutes
uncultured bacterium,471,CRW_16S_B_13228,Bacteria,
Bacillus sp. Tf 1-41,536,CRW_16S_B_10278,,
uncultured bacterium,437,CRW_16S_B_13229,Bacteria,
Bacillus sp. Tf 1-42,534,CRW_16S_B_10279,,
Staphylococcus aureus,504,CRW_16S_B_13233,Bacteria,Firmicutes
Bacillus sp. Tf 1-45,476,CRW_16S_B_10280,,
,504,CRW_16S_NA_13234,,
Bacillus sp. Tf 253,538,CRW_16S_B_10281,,
uncultured bacterium,672,CRW_16S_B_13247,Bacteria,
Staphylococcus sp. Tf 254,534,CRW_16S_B_10282,,
uncultured bacterium,642,CRW_16S_B_13248,Bacteria,
Bacillus sp. 83-5C,768,CRW_16S_B_10301,,
Staphylococcus sp. AC8,611,CRW_16S_B_13257,,
Bacillus sp. ES-027,734,CRW_16S_B_10302,,
Bacillus horikoshii,536,CRW_16S_B_13278,Bacteria,Firmicutes
uncultured bacterium,578,CRW_16S_B_10315,Bacteria,
Bacillus megaterium,501,CRW_16S_B_13279,Bacteria,Firmicutes
microbial fuel cell bacterium P4,693,CRW_16S_B_10318,,
Bacillus sp. J3-53,466,CRW_16S_B_13280,,
uncultured compost bacterium,496,CRW_16S_B_10322,Bacteria,
Bacillus sp. BSD-8,527,CRW_16S_B_10326,,
Geobacillus sp. HBB4,571,CRW_16S_B_13291,,
Bacillus pumilus,725,CRW_16S_B_10333,Bacteria,Firmicutes
Bacillus sp. CM10,442,CRW_16S_B_13308,,
Bacillus cereus,349,CRW_16S_B_10334,Bacteria,Firmicutes
Paenibacillus motobuensis,481,CRW_16S_B_13309,Bacteria,Firmicutes
Streptococcus bovis,666,CRW_16S_B_10336,,
Streptococcus bovis,511,CRW_16S_B_13311,,
Bacillaceae bacterium C12,536,CRW_16S_B_10337,,
uncultured Staphylococcus sp.,555,CRW_16S_B_13322,Bacteria,Firmicutes
Bacillaceae bacterium C22,537,CRW_16S_B_10338,,
uncultured Staphylococcus sp.,567,CRW_16S_B_13323,Bacteria,Firmicutes
uncultured Staphylococcus sp.,560,CRW_16S_B_13324,Bacteria,Firmicutes
Bacillaceae bacterium C24,537,CRW_16S_B_10339,,
Staphylococcaceae bacterium C35,535,CRW_16S_B_10340,,
uncultured Staphylococcus sp.,561,CRW_16S_B_13325,Bacteria,Firmicutes
uncultured Staphylococcus sp.,569,CRW_16S_B_13326,Bacteria,Firmicutes
Staphylococcaceae bacterium C36,535,CRW_16S_B_10341,,
uncultured Staphylococcus sp.,562,CRW_16S_B_13327,Bacteria,Firmicutes
Staphylococcaceae bacterium C37,535,CRW_16S_B_10342,,
Staphylococcaceae bacterium C38,535,CRW_16S_B_10343,,
uncultured Staphylococcus sp.,380,CRW_16S_B_13328,Bacteria,Firmicutes
Staphylococcaceae bacterium C39,535,CRW_16S_B_10344,,
uncultured Streptococcus sp.,575,CRW_16S_B_13329,Bacteria,Firmicutes
Staphylococcaceae bacterium C40,535,CRW_16S_B_10345,,
uncultured Staphylococcus sp.,578,CRW_16S_B_13330,Bacteria,Firmicutes
Mycobacterium sp. AMi8,654,CRW_16S_B_1041,,
Staphylococcus aureus,479,CRW_16S_B_13331,Bacteria,Firmicutes
Mycobacterium sp. F24,585,CRW_16S_B_1042,,
Staphylococcus aureus,503,CRW_16S_B_13332,Bacteria,Firmicutes
Staphylococcus sp. iMSN20,504,CRW_16S_B_13333,,
Staphylococcus haemolyticus,459,CRW_16S_B_10360,Bacteria,Firmicutes
Staphylococcus aureus,484,CRW_16S_B_13334,Bacteria,Firmicutes
Staphylococcus sp. Muzt-D84,668,CRW_16S_B_10363,,
uncultured Lactobacillus sp.,711,CRW_16S_B_13335,Bacteria,Firmicutes
uncultured Bacillales bacterium,590,CRW_16S_B_10366,Bacteria,Firmicutes
uncultured Lactobacillus sp.,711,CRW_16S_B_13336,Bacteria,Firmicutes
Mycobacterium sp. F148,564,CRW_16S_B_1043,,
uncultured Lactobacillus sp.,711,CRW_16S_B_13337,Bacteria,Firmicutes
uncultured Streptococcus sp.,494,CRW_16S_B_10377,Bacteria,Firmicutes
Bacillus megaterium,381,CRW_16S_B_10419,Bacteria,Firmicutes
uncultured Lactobacillus sp.,711,CRW_16S_B_13338,Bacteria,Firmicutes
Staphylococcus lentus,671,CRW_16S_B_13342,Bacteria,Firmicutes
uncultured bacterium,559,CRW_16S_B_10420,Bacteria,
Staphylococcus sp. YNLB33-36-191104,759,CRW_16S_B_13349,,
uncultured bacterium,497,CRW_16S_B_10421,Bacteria,
Staphylococcus sp. YNLB19-24-191104,749,CRW_16S_B_13350,,
uncultured bacterium,498,CRW_16S_B_10422,Bacteria,
uncultured bacterium,467,CRW_16S_B_10423,Bacteria,
uncultured bacterium,693,CRW_16S_B_13361,Bacteria,
uncultured bacterium,501,CRW_16S_B_10424,Bacteria,
bacterium S1cc86,722,CRW_16S_B_13362,,
uncultured bacterium,497,CRW_16S_B_10425,Bacteria,
bacterium w2cb3,588,CRW_16S_B_13363,,
uncultured bacterium,479,CRW_16S_B_10426,Bacteria,
bacterium w2cc35,692,CRW_16S_B_13364,,
uncultured low G+C Gram-positive bacterium,438,CRW_16S_B_10436,Bacteria,Firmicutes
bacterium w3ca2,667,CRW_16S_B_13365,,
uncultured low G+C Gram-positive bacterium,438,CRW_16S_B_10437,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,600,CRW_16S_B_13378,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,436,CRW_16S_B_10438,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,609,CRW_16S_B_13379,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,462,CRW_16S_B_10439,Bacteria,Firmicutes
uncultured bacterium,731,CRW_16S_B_13380,Bacteria,
uncultured low G+C Gram-positive bacterium,436,CRW_16S_B_10440,Bacteria,Firmicutes
uncultured Lactobacillus sp.,550,CRW_16S_B_13430,Bacteria,Firmicutes
uncultured Lactococcus sp.,549,CRW_16S_B_13431,Bacteria,Firmicutes
Sporosarcina sp. 34/47,724,CRW_16S_B_10442,,
uncultured Lactobacillus sp.,550,CRW_16S_B_13432,Bacteria,Firmicutes
Bacillus sp. 14III/A01/007,537,CRW_16S_B_10451,,
Staphylococcus sp. 14III/A01/027,538,CRW_16S_B_10452,,
Streptococcus bovis,535,CRW_16S_B_13433,,
Staphylococcus sp. 14III/A01/033,537,CRW_16S_B_10453,,
Streptococcus bovis,535,CRW_16S_B_13434,,
Streptococcus bovis,535,CRW_16S_B_13435,,
Staphylococcus sp. 18III/A01/063,519,CRW_16S_B_10454,,
Streptococcus bovis,535,CRW_16S_B_13436,,
Staphylococcus 9IX/A01/138,568,CRW_16S_B_10455,,
Streptococcus bovis,535,CRW_16S_B_13437,,
Bacillus sp. 5IX/A01/145,573,CRW_16S_B_10456,,
Streptococcus bovis,535,CRW_16S_B_13438,,
Bacillus sp. 12IX/A01/161,783,CRW_16S_B_10457,,
Streptococcus bovis,535,CRW_16S_B_13439,,
uncultured soil bacterium,723,CRW_16S_B_10460,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13440,,
uncultured soil bacterium,726,CRW_16S_B_10461,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13441,,
uncultured soil bacterium,752,CRW_16S_B_10462,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13442,,
uncultured soil bacterium,652,CRW_16S_B_10463,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13443,,
uncultured soil bacterium,741,CRW_16S_B_10464,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13444,,
uncultured soil bacterium,553,CRW_16S_B_10465,Bacteria,
Streptococcus bovis,535,CRW_16S_B_13445,,
Bacillus sp. A98,382,CRW_16S_B_10466,,
Streptococcus bovis,535,CRW_16S_B_13446,,
Streptococcus bovis,535,CRW_16S_B_13447,,
Streptococcus bovis,535,CRW_16S_B_13448,,
Streptococcus bovis,535,CRW_16S_B_13449,,
Bacillus sp. A215,381,CRW_16S_B_10467,,
Streptococcus bovis,535,CRW_16S_B_13450,,
Bacillus sp. A235,384,CRW_16S_B_10468,,
Streptococcus bovis,535,CRW_16S_B_13451,,
Bacillus sp. A359,411,CRW_16S_B_10469,,
Streptococcus bovis,535,CRW_16S_B_13452,,
Bacillus sp. A249,392,CRW_16S_B_10470,,
Streptococcus vestibularis,780,CRW_16S_B_10471,Bacteria,Firmicutes
Enterococcus sp. 3A,523,CRW_16S_B_13456,,
Bacillus sp. A334,408,CRW_16S_B_10472,,
uncultured bacterium,605,CRW_16S_B_13459,Bacteria,
denitrifying bacterium SN170,499,CRW_16S_B_10483,,
uncultured bacterium,399,CRW_16S_B_13466,Bacteria,
denitrifying bacterium M1112,499,CRW_16S_B_10484,,
uncultured bacterium,399,CRW_16S_B_13467,Bacteria,
denitrifying bacterium SN117b,470,CRW_16S_B_10485,,
Williamsia sp. CC-SR4,555,CRW_16S_B_13488,,
denitrifying bacterium M993,470,CRW_16S_B_10486,,
Bacillus sp. ECWp4,573,CRW_16S_B_13492,,
denitrifying bacterium M918,517,CRW_16S_B_10487,,
uncultured bacterium,587,CRW_16S_B_13493,Bacteria,
uncultured bacterium,607,CRW_16S_B_10490,Bacteria,
uncultured bacterium,672,CRW_16S_B_13494,Bacteria,
Bacillus cereus,400,CRW_16S_B_10495,Bacteria,Firmicutes
uncultured actinobacterium,552,CRW_16S_B_1356,Bacteria,
Staphylococcus epidermidis,392,CRW_16S_B_10496,Bacteria,Firmicutes
Staphylococcus equorum,722,CRW_16S_B_13502,Bacteria,Firmicutes
Staphylococcus epidermidis,469,CRW_16S_B_10497,Bacteria,Firmicutes
uncultured actinobacterium,550,CRW_16S_B_1357,Bacteria,
uncultured Staphylococcus sp.,539,CRW_16S_B_10502,Bacteria,Firmicutes
uncultured bacterium,594,CRW_16S_B_13510,Bacteria,
Bacillus sp. 5IX/A01/133,538,CRW_16S_B_10580,,
bacterium SL1.10,668,CRW_16S_B_13516,,
Bacillus sp. 6IX/A01/147,660,CRW_16S_B_10581,,
bacterium SL1.12,572,CRW_16S_B_13517,,
Bacillus subtilis,559,CRW_16S_B_10584,Bacteria,Firmicutes
bacterium SL1.27,607,CRW_16S_B_13518,,
Lactococcus lactis subsp. lactis,614,CRW_16S_B_10588,,
bacterium SL1.38,592,CRW_16S_B_13519,,
uncultured bacterium,696,CRW_16S_B_10591,Bacteria,
uncultured actinobacterium,549,CRW_16S_B_1358,Bacteria,
uncultured bacterium,763,CRW_16S_B_10592,Bacteria,
bacterium SL1.39,608,CRW_16S_B_13520,,
uncultured Bacillus sp.,644,CRW_16S_B_10596,Bacteria,Firmicutes
bacterium SL2.36,698,CRW_16S_B_13521,,
uncultured Staphylococcus sp.,498,CRW_16S_B_10597,Bacteria,Firmicutes
bacterium SL2.40,579,CRW_16S_B_13522,,
uncultured bacterium,397,CRW_16S_B_10600,Bacteria,
bacterium SL2.41,676,CRW_16S_B_13523,,
bacterium SL2.44,540,CRW_16S_B_13524,,
uncultured bacterium,530,CRW_16S_B_10601,Bacteria,
bacterium SL3.48,643,CRW_16S_B_13525,,
uncultured Enterococcus sp.,545,CRW_16S_B_10603,Bacteria,Firmicutes
bacterium SL4.55,704,CRW_16S_B_13526,,
uncultured Staphylococcus sp.,534,CRW_16S_B_10604,Bacteria,Firmicutes
uncultured bacterium,588,CRW_16S_B_13527,Bacteria,
uncultured Streptococcus sp.,505,CRW_16S_B_10605,Bacteria,Firmicutes
Geobacillus sp. LH8,798,CRW_16S_B_13528,,
uncultured low G+C Gram-positive bacterium,430,CRW_16S_B_10610,Bacteria,Firmicutes
uncultured actinobacterium,549,CRW_16S_B_1359,Bacteria,
Staphylococcus saprophyticus,674,CRW_16S_B_10617,Bacteria,Firmicutes
Bacillus sp. O-39,612,CRW_16S_B_13531,,
Bacillus cereus,742,CRW_16S_B_10618,Bacteria,Firmicutes
Staphylococcus sp. W2,745,CRW_16S_B_13537,,
Halobacillus litoralis,796,CRW_16S_B_10622,Bacteria,Firmicutes
uncultured actinobacterium,551,CRW_16S_B_1360,Bacteria,
Bacillaceae bacterium Ellin7010,406,CRW_16S_B_10668,,
uncultured actinobacterium,552,CRW_16S_B_1361,Bacteria,
Bacillaceae bacterium Ellin7011,420,CRW_16S_B_10669,,
uncultured actinobacterium,551,CRW_16S_B_1362,Bacteria,
Bacillaceae bacterium Ellin7251,461,CRW_16S_B_10670,,
uncultured actinobacterium,549,CRW_16S_B_1363,Bacteria,
Bacillaceae bacterium Ellin7253,461,CRW_16S_B_10671,,
uncultured actinobacterium,553,CRW_16S_B_1364,Bacteria,
